N	3gram	Propp_Morf_1	Formalny
1	с точки зрения	2	14
2	не может быть	9	14
3	на самом деле	4	12
4	во всяком случае	2	6
5	и т д	39	6
6	с другой стороны	4	5
7	а вовсе не	1	4
8	подобно тому как	5	4
9	в данном случае	1	4
10	в связи с	8	4
11	бы то ни	3	4
12	то ни было	2	4
13	в большинстве случаев	3	4
14	для того чтобы	2	4
15	по отношению к	4	3
16	точки зрения его	1	3
17	в этом отношении	1	3
18	обстоит дело с	1	3
19	в том что	3	3
20	о том как	1	2
21	мы увидим что	1	2
22	до известной степени	1	2
23	в высшей степени	1	2
24	мы не можем	1	2
25	а и в	1	2
26	к тому что	3	2
27	тем не менее	4	2
28	дело не в	2	2
29	а потому что	1	1
30	хотя и не	1	1
31	нужно иметь в	1	1
32	иметь в виду	1	1
33	находится еще в	1	1
34	в настоящее время	3	1
35	какого бы то	1	1
36	т е не	1	1
37	можно говорить лишь	1	1
38	в этом случае	8	1
39	что же касается	1	1
40	может быть определен	1	1
41	в том или	1	1
42	если же он	1	1
43	ни в коем	1	1
44	друг на друга	2	1
45	в собственном смысле	3	1
46	одна из них	1	1
47	в противном случае	1	1
48	до сих пор	1	1
49	и тем не	1	1
50	и в других	1	1
51	в коем случае	1	1
52	что там где	1	1
53	момент может быть	1	1
54	не потому что	1	1
55	с одной стороны	1	1
56	так же не	1	1
57	самом деле он	1	1
58	и в этой	1	1
59	коем случае не	1	1
60	и пр как	1	1
61	это не значит	2	1
62	все более и	1	1
63	т д таким	1	1
64	собственном смысле слова	3	1
65	в таком случае	1	1
66	в той плоскости	1	1
67	но так как	1	1
68	и пр и	2	1
69	о том что	1	1
70	достигается тем что	1	1
71	как таковой он	1	1
72	с самого начала	1	1
73	более и более	1	1
74	так как эта	1	1
75	но он может	1	1
76	но все же	3	1
77	можно сказать что	1	1
78	мы имеем в	1	1
79	на то что	2	1
80	которые могут быть	1	1
81	всего этого нет	1	1
82	в этих случаях	11	1
83	т е о	1	1
84	тех или иных	1	1
85	друг с другом	1	1
86	это достигается тем	1	1
87	это нисколько не	1	1
88	вовсе не с	1	1
89	как и в	2	1
90	д таким образом	1	1
