N	3gram	Bakhtin_fo_1	Poddanst
1	в то же	6	7
2	то же время	9	7
3	не только в	2	4
4	в том что	2	4
5	с точки зрения	2	3
6	сами по себе	1	3
7	с одной стороны	2	3
8	и как раз	6	2
9	в том числе	4	2
10	одной стороны и	2	2
11	и не только	2	2
12	и в то	5	2
13	но и в	2	2
14	в значительной мере	1	2
15	том что в	1	1
16	в этом мире	2	1
17	мы видим в	1	1
18	что мы и	1	1
19	или хотя бы	1	1
20	и в этом	1	1
21	в отличие от	2	1
22	в последующие века	1	1
23	совершенно ясно что	1	1
24	вместе с тем	2	1
25	и в частности	2	1
26	что во всех	1	1
27	так же как	2	1
28	в противоречии с	1	1
29	в одно и	3	1
30	по сравнению с	2	1
31	во всяком случае	1	1
32	не может быть	3	1
33	и не столько	1	1
34	то что происходит	1	1
35	та или иная	1	1
36	но в то	1	1
37	не входят в	1	1
38	друг с другом	1	1
39	для того чтобы	5	1
40	но в этом	1	1
41	в нем в	2	1
42	том числе и	2	1
