N	2gram	Potebnia_M_2	VeschiIm
1	не есть	6	49
2	не может	12	33
3	не только	15	31
4	может быть	23	29
5	и не	19	28
6	и в	24	26
7	то что	20	24
8	и есть	2	23
9	значит что	1	22
10	и т	6	21
11	т д	3	20
12	а не	18	20
13	есть только	6	17
14	что я	1	16
15	и следовательно	2	15
16	что она	3	14
17	только в	11	14
18	по себе	15	13
19	и что	4	13
20	того что	7	13
21	и то	3	12
22	есть не	5	12
23	все же	5	12
24	в себя	2	12
25	что это	3	12
26	было бы	13	12
27	но и	9	12
28	сказать что	2	12
29	а и	5	11
30	таким образом	11	11
31	с нею	2	11
32	что же	1	11
33	то же	12	10
34	есть нечто	3	10
35	в ней	3	10
36	как бы	9	10
37	что такое	2	10
38	потому что	49	10
39	уже не	4	10
40	что мы	11	10
41	предполагает что	2	9
42	бы то	1	9
43	в самом	4	9
44	то ни	1	9
45	и с	1	9
46	в том	18	9
47	что не	5	9
48	прежде всего	7	9
49	есть явление	3	9
50	ни было	3	9
51	в себе	10	8
52	на то	5	8
53	и это	2	8
54	ничего не	1	8
55	себя и	2	8
56	она есть	2	8
57	но это	3	8
58	если она	1	7
59	в этом	8	7
60	не будет	1	7
61	его в	3	7
62	с другими	5	7
63	том что	8	7
64	в то	6	7
65	что оно	4	7
66	указывает на	2	7
67	как с	1	7
68	д и	1	7
69	и их	5	7
70	так как	10	7
71	если оно	1	7
72	есть и	1	7
73	с собою	1	6
74	со стороны	3	6
75	что они	5	6
76	и как	6	6
77	но в	4	6
78	бы и	1	6
79	это есть	1	6
80	одно и	2	6
81	но если	2	6
82	по крайней	5	6
83	с ним	5	6
84	оно есть	1	6
85	отличается от	1	6
86	должно быть	2	6
87	понимать себя	2	6
88	и только	6	6
89	крайней мере	5	6
90	а если	1	6
91	так что	10	6
92	если мы	3	6
93	ни с	2	6
94	для него	10	6
95	но что	2	6
96	относится к	3	6
97	то не	3	6
98	когда мы	2	6
99	быть только	2	6
100	жизни и	1	6
101	что в	16	6
102	того же	14	5
103	и до	1	5
104	в чем	7	5
105	но не	12	5
106	как к	1	5
107	должна быть	1	5
108	же это	1	5
109	это не	3	5
110	с тем	4	5
111	не в	13	5
112	тем не	6	5
113	есть всегда	1	5
114	не менее	5	5
115	одна из	4	5
116	у нас	2	5
117	для себя	1	5
118	свою очередь	6	5
119	в ее	1	5
120	должны быть	4	5
121	если бы	11	5
122	отлично от	1	5
123	еще не	4	5
124	звук и	6	5
125	или не	5	5
126	что для	3	5
127	ни на	1	5
128	с этой	1	5
129	и для	3	5
130	из себя	2	5
131	а в	8	5
132	в свою	6	5
133	но тогда	1	4
134	собственном смысле	1	4
135	мы не	11	4
136	это что	2	4
137	как я	1	4
138	то это	3	4
139	в их	1	4
140	во всех	7	4
141	для всякого	1	4
142	независимо от	9	4
143	его на	2	4
144	с этим	7	4
145	однако не	1	4
146	с чем	3	4
147	же не	1	4
148	как и	7	4
149	между собою	7	4
150	что значит	1	4
151	с точки	1	4
152	и более	1	4
153	что есть	2	4
154	на себе	1	4
155	же время	2	4
156	точке зрения	2	4
157	есть или	1	4
158	понимает себя	1	4
159	должен быть	1	4
160	и о	1	4
161	только то	1	4
162	о том	5	4
163	определенным образом	1	4
164	с другой	6	4
165	что и	11	4
166	с а	4	4
167	оно и	1	4
168	то и	9	4
169	из них	5	4
170	тем что	7	4
171	и потому	2	4
172	мы говорим	3	4
173	быть не	3	4
174	и все	3	4
175	собственно говоря	1	4
176	от того	5	4
177	между ними	2	4
178	оно не	3	4
179	сам по	4	3
180	самом деле	2	3
181	что смысл	1	3
182	к другому	4	3
183	отношения к	2	3
184	с в	2	3
185	бы что	2	3
186	вопрос о	2	3
187	только это	1	3
188	из того	1	3
189	но даже	3	3
190	собою и	2	3
191	не то	2	3
192	более или	8	3
193	себе не	4	3
194	ее как	1	3
195	как оно	2	3
196	в нем	9	3
197	раз навсегда	1	3
198	перестает быть	2	3
199	что нужно	1	3
200	подобно тому	4	3
201	на этом	2	3
202	могла бы	3	3
203	было в	2	3
204	в жизни	2	3
205	и тогда	3	3
206	или менее	8	3
207	не понимает	1	3
208	все это	2	3
209	есть именно	1	3
210	их в	2	3
211	между прочим	4	3
212	вбирает в	2	3
213	и другое	4	3
214	тогда когда	10	3
215	и притом	3	3
216	само по	2	3
217	того чтобы	2	3
218	или как	1	3
219	к ней	2	3
