N	4gram	Bakhtin_sl_2	VLabPisa
1	в то же время	4	5
2	и в то же	1	3
3	с одной стороны и	3	2
4	в том числе и	1	2
5	и не может быть	1	2
6	в точном смысле слова	1	2
7	хотя бы и не	1	2
8	не обязательно должен быть	1	1
9	до сих пор не	2	1
10	и т п все	3	1
11	одну и ту же	1	1
12	никак не могут быть	1	1
13	но в то же	3	1
14	именно в том что	1	1
15	а в том что	1	1
16	в той или иной	3	1
17	с большей или меньшей	1	1
18	т п все это	2	1
19	и т п это	1	1
20	этой проблемы в плане	1	1
21	никогда не может быть	2	1
