N	2gram	Bakhtin_Pr_3	NovoeSre
1	а не	9	17
2	и в	34	16
3	не может	19	16
4	совсем не	3	12
5	и не	29	11
6	что в	7	9
7	как не	1	8
8	в том	3	8
9	жизни и	3	8
10	он не	15	8
11	в этом	16	7
12	может быть	19	7
13	как и	18	7
14	высшей степени	3	6
15	с его	6	6
16	не в	9	6
17	ни в	4	6
18	в высшей	3	6
19	никогда не	8	6
20	лишь в	5	6
21	но это	4	6
22	не знает	6	6
23	должен быть	1	5
24	с ее	3	5
25	в ней	3	5
26	и к	12	5
27	не только	10	5
28	в жизни	2	5
29	все это	16	5
30	в нем	19	5
31	со всех	1	4
32	о том	2	4
33	всех сторон	1	4
34	и мы	1	4
35	в них	2	4
36	то что	11	4
37	это не	5	4
38	прежде всего	15	4
39	не было	2	4
40	должно быть	3	4
41	есть лишь	1	4
42	и потому	2	4
43	по своему	3	4
44	не менее	3	4
45	и для	8	4
46	и все	19	4
47	потому что	12	4
48	с другой	4	3
49	в ее	3	3
50	вопрос о	2	3
51	человека и	1	3
52	еще не	4	3
53	во всех	2	3
54	за пределы	2	3
55	лицом к	1	3
56	как в	4	3
57	конечно не	2	3
58	подобно тому	2	3
59	в мире	4	3
60	но и	12	3
61	это было	3	3
62	и пр	1	3
63	стремится к	6	3
64	с тем	5	3
65	я ищу	1	3
66	бога и	1	3
67	к лицу	1	3
68	в своей	3	3
69	тому как	2	3
70	в прошлом	1	3
71	она не	1	3
72	что такое	2	3
73	в основе	1	3
74	к тому	5	3
75	сказать что	2	3
76	и это	4	2
77	нем нет	1	2
78	силы и	1	2
79	это и	2	2
80	время как	1	2
81	роль в	1	2
82	в нашу	1	2
83	ведь и	3	2
84	можно было	1	2
85	так и	6	2
86	времени и	1	2
87	к самой	1	2
88	и с	15	2
89	для этого	3	2
90	еще до	2	2
91	но она	1	2
92	я не	7	2
93	и должно	2	2
94	и что	5	2
95	и на	6	2
96	должно было	1	2
97	на протяжении	5	2
98	но не	4	2
99	к богу	1	2
100	все время	5	2
101	в центре	1	2
102	с этим	2	2
103	во вне	1	2
104	хотя и	3	2
105	но в	16	2
106	все эти	4	2
107	с одной	1	2
108	себя в	1	2
109	с их	1	2
110	в себе	6	2
111	уже не	2	2
112	не могла	1	2
113	у него	4	2
114	и заключается	1	2
115	что все	4	2
116	нет и	3	2
117	и даже	7	2
118	этом смысле	4	2
119	народ русский	1	2
120	и было	1	2
121	но я	2	2
122	том что	3	2
123	вместе с	4	2
124	так же	8	2
125	я уже	2	2
126	не знал	2	2
127	другой стороны	3	2
128	том и	1	2
129	как будто	7	2
130	возвращается к	1	2
131	будет и	1	2
132	призыв к	1	2
133	такой же	3	2
134	но для	3	2
135	в то	12	2
136	одна из	1	2
137	мысли в	1	2
138	того чтобы	1	2
139	и от	5	2
140	и весь	1	2
141	хотя бы	5	2
142	все они	1	2
143	а в	5	2
144	от всякого	1	2
145	ли это	2	2
146	когда мы	1	2
147	его религиозной	1	1
148	я ни	1	1
149	весь стиль	2	1
150	от этой	2	1
151	оно может	1	1
152	зависимость от	2	1
153	не хочу	6	1
154	не имел	1	1
155	ни одно	1	1
156	для себя	6	1
157	он может	2	1
158	сама себя	1	1
159	характер и	3	1
160	по старой	1	1
161	живое и	1	1
162	хочет его	1	1
163	по преимуществу	1	1
164	приводит к	1	1
165	и до	1	1
166	можно лишь	2	1
167	не их	1	1
168	и мысли	2	1
169	был и	1	1
170	и этот	2	1
171	стремится быть	2	1
172	с собой	1	1
