N	3gram	Potebnia_M_1	Otkroven
1	для того чтобы	2	3
2	искать не в	1	2
3	и в этом	6	2
4	а не в	1	2
5	это было бы	1	2
6	и в самой	1	2
7	не может быть	9	2
8	но и в	4	2
9	не могут быть	2	2
10	с тем что	3	2
11	так что для	1	1
12	смысле этого слова	1	1
13	не в том	4	1
14	в этих словах	1	1
15	потому что в	4	1
16	это потому что	1	1
17	как художник но	1	1
18	и в том	3	1
19	никто не может	1	1
20	это должно быть	1	1
21	и все же	1	1
22	между этими двумя	1	1
23	может быть назван	1	1
24	во всяком случае	1	1
25	то он должен	1	1
26	сам по себе	1	1
27	в том только	1	1
28	само по себе	4	1
29	после того как	1	1
30	о том что	1	1
31	в этом отношении	1	1
32	то что в	1	1
33	и все это	1	1
34	в человеке но	1	1
35	заключает в себе	2	1
36	в том что	13	1
37	на то что	1	1
38	в духовную жизнь	1	1
39	что не все	1	1
40	не так как	1	1
41	в каждом из	1	1
42	хотя бы даже	2	1
43	как и в	2	1
44	от того что	1	1
45	ошибочно было бы	1	1
46	и формы человеческой	1	1
47	в одно время	1	1
48	и вопрос о	1	1
