N	3gram	Tiupa_Hudo_2	Morfolog
1	и т д	2	47
2	в этом случае	1	9
3	не может быть	3	8
4	подобно тому как	4	5
5	по отношению к	7	4
6	с точки зрения	2	4
7	а также и	1	4
8	с другой стороны	1	4
9	тем не менее	3	4
10	в первом случае	1	3
11	но все же	1	3
12	как и в	3	3
13	состоит в том	2	2
14	в настоящее время	1	2
15	с этого момента	1	2
16	точно так же	1	2
17	и в других	1	2
18	то время как	1	2
19	с одной стороны	3	2
20	с того что	1	2
21	в то время	1	2
22	для того чтобы	3	2
23	в том что	11	2
24	т д он	1	2
25	в тот момент	1	1
26	то ни стало	1	1
27	это было бы	1	1
28	но то что	1	1
29	это уже не	1	1
30	о том как	2	1
31	как бы в	1	1
32	во что бы	1	1
33	может быть объяснена	1	1
34	до сих пор	2	1
35	в таком случае	1	1
36	том случае если	1	1
37	бы то ни	1	1
38	ни одна не	1	1
39	можно было бы	2	1
40	не то что	1	1
41	в том случае	1	1
42	и соответствующего согласия	1	1
43	в данном случае	2	1
44	что бы то	1	1
45	перед нами в	1	1
46	все более и	1	1
47	что несмотря на	1	1
48	она могла бы	1	1
49	то же время	4	1
50	о том что	7	1
51	с самого начала	1	1
52	той или иной	1	1
53	вслед за этим	1	1
54	можно сказать что	1	1
55	тот момент когда	1	1
56	но и его	1	1
57	и в последней	1	1
58	в то же	4	1
59	из этих двух	1	1
60	более и более	1	1
61	к тому что	4	1
62	что и в	1	1
