N	2gram	Losev_Prob_1	formyVre
1	и в	32	46
2	в этом	19	22
3	и т	11	14
4	прежде всего	10	14
5	вовсе не	35	13
6	в романе	1	13
7	и его	3	12
8	во всех	7	11
9	не только	17	11
10	только в	7	11
11	т п	1	11
12	как бы	14	10
13	то есть	33	10
14	во время	1	10
15	точки зрения	3	10
16	в том	9	10
17	но в	14	10
18	мы уже	5	9
19	не в	4	9
20	в ряд	2	9
21	но и	9	9
22	вместе с	2	9
23	и не	31	9
24	и для	4	9
25	то же	10	8
26	как и	3	8
27	с точки	3	8
28	для того	8	8
29	того чтобы	9	8
30	потому что	16	8
31	связи с	5	8
32	в его	6	8
33	из них	3	8
34	в связи	4	8
35	в основном	1	8
36	жизни и	1	8
37	и на	8	7
38	всех этих	7	7
39	так и	12	7
40	в них	7	7
41	может быть	14	7
42	времени в	1	7
43	то что	42	7
44	как мы	7	6
45	еще не	9	6
46	все же	1	6
47	при этом	6	6
48	человека в	1	6
49	и с	2	6
50	его в	6	6
51	в основе	1	6
52	никогда не	7	6
53	и во	3	6
54	этого ряда	1	6
55	так как	11	6
56	здесь в	3	6
57	все это	7	6
58	и все	7	6
59	в греческом	1	5
60	но не	9	5
61	с этим	3	5
62	в своем	5	5
63	все эти	8	5
64	связанные с	1	5
65	он не	3	5
66	в нем	13	5
67	должно быть	2	5
68	в то	6	5
69	в дальнейшем	4	5
70	в пределах	1	5
71	по существу	2	5
72	в смысле	1	5
73	что в	12	5
74	отношения к	1	4
75	также и	11	4
76	и самое	1	4
77	что они	3	4
78	в истории	4	4
79	как в	4	4
80	уже в	3	4
81	из этих	2	4
82	в себе	15	4
83	их в	4	4
84	и было	1	4
85	том что	12	4
86	в котором	5	4
87	место в	1	4
88	том же	1	4
89	смерти и	1	4
90	с ним	3	4
91	и смерть	1	4
92	о том	11	4
93	его жизни	1	4
94	так что	6	4
95	конечно не	1	4
96	мир в	1	4
97	и их	1	4
98	а не	15	4
99	отнюдь не	10	4
100	с этой	1	4
101	же в	4	4
102	есть и	3	4
103	здесь еще	1	3
104	почти все	1	3
105	в виду	6	3
106	того же	3	3
107	слова и	1	3
108	а следовательно	1	3
109	мы еще	1	3
110	мы будем	2	3
111	нет и	2	3
112	хотя и	6	3
113	и как	6	3
114	на нас	1	3
115	уже не	3	3
116	т д	10	3
117	новое и	1	3
118	прежде чем	3	3
119	уже сказали	1	3
120	таким образом	6	3
121	в совершенно	1	3
122	связанных с	1	3
123	новой жизни	1	3
124	на первый	2	3
125	в их	4	3
126	в которых	3	3
127	самое время	4	3
128	что было	1	3
129	следовательно и	2	3
130	кроме того	2	3
131	же самое	9	3
132	к тому	3	3
133	имеет место	1	3
134	мы наблюдаем	2	3
135	том как	2	3
136	в другом	1	3
137	а также	4	3
138	того что	7	3
139	тот же	1	3
140	что он	7	3
141	все они	1	3
142	в качестве	2	3
143	на протяжении	1	3
144	для него	2	3
145	в прошлом	1	3
