N	2gram	Ircho_Kome_1	RusskieA
1	и в	22	36
2	не только	10	22
3	том что	12	19
4	что в	6	19
5	в и	2	17
6	в том	11	17
7	т е	13	17
8	но и	11	16
9	так как	4	15
10	во время	5	14
11	и другие	1	13
12	п в	1	13
13	в этом	3	12
14	в других	2	11
15	и т	9	10
16	и на	3	10
17	в этот	1	10
18	как и	9	10
19	как мы	4	10
20	вместе с	2	10
21	потому что	5	10
22	т д	4	9
23	об этом	1	9
24	а в	6	9
25	состоит в	1	8
26	и по	6	8
27	с тем	1	8
28	у нас	3	8
29	о том	8	8
30	один из	5	8
31	из них	10	8
32	может быть	9	8
33	как это	3	8
34	е в	2	8
35	что они	4	7
36	так и	5	7
37	между тем	5	7
38	что и	4	7
39	и других	7	7
40	мы не	3	6
41	в виде	3	6
42	так например	1	6
43	таким образом	8	6
44	при этом	5	6
45	видно что	1	6
46	в них	3	6
47	и не	8	6
48	все это	5	6
49	будто бы	2	6
50	то что	2	6
51	а и	1	5
52	как в	5	5
53	все же	3	5
54	в которых	1	5
55	того как	3	5
56	как будто	2	5
57	там же	3	5
58	год и	1	5
59	и у	3	5
60	в течение	3	5
61	как бы	1	5
62	г в	4	4
63	еще не	2	4
64	во всех	1	4
65	в эти	2	4
66	что по	2	4
67	представляет собой	1	4
68	после этого	1	4
69	с собой	1	4
70	в г	11	4
71	из этих	1	4
72	в их	4	4
73	тому что	1	4
74	вплоть до	1	4
75	одна из	2	4
76	что на	1	4
77	к тому	6	4
78	его с	1	4
79	так в	4	4
80	еще в	5	4
81	и что	1	4
82	тем что	4	4
83	а с	1	4
84	и др	1	4
85	и а	1	4
86	в тех	3	4
87	того что	1	4
88	по существу	1	4
89	но это	2	4
90	не может	2	4
91	только в	3	4
92	к этому	4	4
93	представление о	1	3
94	как правило	3	3
95	если в	1	3
96	в своем	1	3
97	что это	1	3
98	и те	1	3
99	связанные с	2	3
100	в основном	1	3
101	на этом	2	3
102	то же	6	3
103	но все	1	3
104	чаще всего	3	3
105	для них	2	3
106	по домам	1	3
107	далеко не	1	3
108	несмотря на	4	3
109	в этих	1	3
110	точки зрения	4	3
111	тем не	2	3
112	но они	1	3
113	на небо	1	3
114	не менее	3	3
115	ничего не	3	3
116	в поле	1	3
117	вывод что	2	3
118	можно сделать	3	3
119	приводит к	1	3
120	к жизни	1	3
121	то есть	1	3
122	а также	4	3
123	от них	2	3
124	в середине	1	3
125	также в	2	3
126	в качестве	4	3
127	только на	1	3
128	в одном	8	3
129	в области	2	3
130	и из	2	3
131	на этот	1	3
132	о чем	1	3
133	в честь	3	3
134	так же	3	3
135	по содержанию	3	3
136	в уже	2	3
137	в это	1	3
138	этого слова	1	3
139	и к	1	3
140	в свою	2	3
141	как известно	2	2
142	можно говорить	1	2
143	между двумя	1	2
144	за все	1	2
145	в доме	2	2
146	что иное	1	2
147	на себя	2	2
148	их к	3	2
149	это время	2	2
150	в ней	1	2
151	лучше понять	1	2
152	он был	2	2
153	иное как	1	2
154	на самом	1	2
155	но не	2	2
156	отнюдь не	1	2
157	как по	2	2
158	независимо от	2	2
159	что именно	1	2
160	с этим	1	2
161	мы можем	4	2
162	хотя и	3	2
163	и как	3	2
164	его к	1	2
165	но в	4	2
166	в целом	3	2
167	и и	3	2
168	в дальнейшем	1	2
169	почти целиком	1	2
170	как он	1	2
171	к выводу	1	2
172	что она	1	2
173	в нем	4	2
174	имело место	1	2
175	в силу	2	2
176	его от	1	2
177	в году	3	2
178	в каждом	1	2
179	же не	1	2
180	главным образом	3	2
181	и с	3	2
182	на этой	1	2
183	с целью	1	2
184	в жизни	1	2
185	такой же	2	2
186	народ и	1	2
187	этому же	1	2
188	должны были	8	2
189	и более	1	2
190	том же	1	2
191	для этого	2	2
192	в древней	2	2
193	у него	3	2
194	в городах	1	2
195	представления и	1	2
196	судя по	2	2
197	именно с	1	2
198	до того	1	2
199	а мы	2	2
200	и здесь	2	2
201	могут быть	3	2
202	и другим	1	2
203	сцены из	1	2
204	vii в	1	2
205	в в	4	2
206	в более	3	2
207	что у	2	2
208	в образе	3	2
209	иногда в	1	2
210	подойти к	1	2
211	с ним	1	2
212	означает что	1	2
213	находится в	2	2
214	на все	2	2
215	после того	3	2
216	в его	5	2
217	е а	1	2
218	к ней	2	2
219	не случайно	1	2
220	за столом	1	2
221	но ни	1	2
222	земледелец не	1	2
223	показывают что	1	2
224	так что	1	2
225	в большинстве	1	2
226	за счет	3	2
227	не означает	1	2
228	в особенности	1	2
229	такое же	1	2
230	воспоминания о	1	2
231	с ней	1	2
232	до конца	2	2
233	его как	1	2
234	на весь	1	2
235	большинстве случаев	1	2
236	должна была	2	2
237	в частности	3	2
238	и потому	1	2
239	только часть	1	2
240	судить по	3	2
241	предположить что	1	2
242	в первые	2	2
243	между прочим	2	2
244	и для	1	2
245	или в	2	2
246	когда он	1	2
247	года в	1	2
248	быть использованы	1	2
249	обычно не	1	2
250	не что	1	2
251	в своих	2	2
252	нас не	1	2
253	ту же	2	1
254	также и	1	1
255	же как	3	1
256	чтобы не	1	1
257	переходит к	1	1
258	мы здесь	1	1
259	тех же	2	1
260	женщины на	1	1
261	зависимости от	1	1
262	из самых	1	1
263	сюжеты и	1	1
264	по которым	4	1
265	на две	2	1
266	что эти	1	1
267	и ее	3	1
268	видеть в	2	1
269	этих строк	1	1
270	и за	1	1
271	по его	1	1
272	мы уже	1	1
273	из всех	2	1
274	землей и	1	1
275	самые разнообразные	1	1
276	не приходится	1	1
277	вопрос о	3	1
278	из своих	1	1
279	время от	4	1
280	меньшей мере	2	1
281	говорить о	1	1
282	три направления	1	1
283	ему в	1	1
284	похожи на	1	1
285	этого к	1	1
286	того же	2	1
287	и он	1	1
288	в каждой	1	1
289	которую можно	2	1
290	в отличие	1	1
291	при сравнении	1	1
292	всего этого	2	1
293	в чем	3	1
294	i так	1	1
295	это видно	1	1
296	а только	1	1
297	оно в	1	1
298	в до	2	1
299	же она	1	1
300	после смерти	3	1
301	с трудом	1	1
302	не все	1	1
303	ответ на	1	1
304	по отношению	3	1
305	в общем	1	1
306	очевидно что	1	1
307	отличие от	2	1
308	относится к	2	1
309	в истории	5	1
310	в м	1	1
311	что во	1	1
312	так называемая	1	1
313	от до	2	1
314	что касается	2	1
315	однако не	1	1
316	перед нами	1	1
317	целый ряд	1	1
318	времени когда	1	1
319	с понятием	1	1
320	тем же	1	1
321	поэтому и	1	1
322	говорится в	1	1
323	можем судить	2	1
324	в которой	6	1
325	из жизни	1	1
326	с места	1	1
327	то и	2	1
328	в себе	2	1
329	тому же	6	1
330	думается что	1	1
331	на то	3	1
332	для защиты	1	1
333	века к	1	1
334	он не	3	1
335	первой половине	2	1
336	не к	2	1
337	в начале	3	1
338	подобно тому	1	1
339	на содержании	1	1
340	заимствованные из	1	1
341	здесь мы	3	1
342	что все	1	1
343	в совершенно	1	1
344	чем объяснить	1	1
345	те же	1	1
346	к заключению	1	1
347	и иногда	1	1
348	его в	3	1
349	уже знаем	1	1
350	известно что	4	1
351	должен был	1	1
352	и тем	2	1
353	и ненависть	1	1
354	ни в	6	1
355	нет в	1	1
356	к своим	1	1
357	в этой	7	1
358	выступать в	1	1
359	на основании	3	1
360	как видно	2	1
361	мы видели	2	1
362	появляются на	1	1
363	года и	1	1
364	обрядам и	1	1
365	себя внимание	1	1
366	но если	1	1
367	и без	2	1
368	во времена	1	1
369	по три	1	1
370	время сатурналий	1	1
371	место в	3	1
372	однако еще	1	1
373	от времени	1	1
374	одном из	4	1
375	из своей	2	1
376	ее на	1	1
377	того времени	1	1
378	которые в	1	1
379	свет на	1	1
380	сохранилась и	1	1
381	такой способ	1	1
382	теми же	1	1
383	и эти	1	1
384	празднеств в	1	1
385	не могли	1	1
386	что после	3	1
387	с такими	1	1
388	первым из	1	1
389	пришли на	1	1
390	и под	1	1
391	iii и	1	1
392	прибегают к	1	1
393	полагают что	2	1
394	от своих	1	1
395	наиболее яркий	1	1
396	при всех	1	1
397	в то	10	1
398	для каждого	1	1
399	что их	1	1
400	по меньшей	2	1
401	обрядах в	1	1
402	не по	1	1
403	совершает над	1	1
404	подобное же	1	1
405	в самых	1	1
406	i ii	1	1
407	каждый из	3	1
408	следовательно и	1	1
409	примерно в	4	1
410	вероятно что	3	1
411	на землю	3	1
412	из составных	1	1
413	которые и	1	1
414	впрочем в	1	1
415	iv в	5	1
416	в тексте	1	1
417	и его	8	1
418	к этим	3	1
419	и теперь	2	1
420	и сама	1	1
421	можно рассматривать	1	1
422	ссылаясь на	2	1
423	обращает на	1	1
424	этом отношении	3	1
425	ему не	1	1
426	и оставляют	1	1
427	в городе	2	1
428	в духе	1	1
429	мало чем	1	1
430	слова с	1	1
431	из чего	1	1
432	можно судить	4	1
433	обычно в	1	1
434	для себя	2	1
435	и это	1	1
436	они должны	1	1
437	и о	3	1
438	трудно в	1	1
439	данном случае	1	1
440	только при	2	1
441	большей частью	2	1
442	в народном	5	1
443	тех случаях	1	1
444	только молодежь	1	1
445	то время	5	1
446	на том	1	1
447	если они	2	1
448	и сам	3	1
449	даже самых	2	1
450	можно было	1	1
451	видно из	2	1
452	из всего	2	1
453	на путь	1	1
454	каждого из	1	1
455	и каждый	1	1
456	уже на	1	1
457	своему происхождению	1	1
458	во второй	3	1
459	которого они	1	1
460	жизнь и	1	1
461	имеется довольно	1	1
462	собой и	2	1
463	одно это	1	1
464	что им	1	1
465	из других	2	1
466	еду на	1	1
467	второй половине	2	1
468	в глаза	1	1
469	ли не	4	1
470	чтобы с	1	1
471	нас в	2	1
472	к нему	2	1
473	комедии и	3	1
474	и во	2	1
475	в третьем	1	1
476	борьбе с	1	1
477	в форме	2	1
478	наконец в	1	1
479	что указывает	1	1
480	и следовательно	1	1
481	или может	2	1
482	дома в	1	1
483	было бы	2	1
484	не так	1	1
485	бросается в	1	1
486	как из	3	1
487	в отрыве	1	1
488	сразу же	1	1
489	всего не	1	1
490	совсем не	2	1
491	тот же	3	1
492	для современного	1	1
493	что он	6	1
494	к их	1	1
495	например на	1	1
496	представления в	1	1
497	даже если	2	1
498	между и	6	1
499	до нас	5	1
500	который в	2	1
501	бы ни	1	1
502	театр был	1	1
503	уже в	5	1
504	же в	4	1
505	каким образом	1	1
506	не дает	1	1
507	творчества из	1	1
508	разницы между	1	1
509	у народа	1	1
510	земли и	1	1
511	всяком случае	2	1
512	нуждается в	1	1
513	как продолжение	1	1
514	и один	1	1
515	т п	5	1
516	было привилегией	1	1
517	может служить	1	1
518	составных частей	1	1
519	они с	2	1
520	не сохранилось	1	1
521	заметить что	1	1
522	не могут	1	1
523	от того	1	1
524	перед ними	1	1
525	не противоречит	1	1
526	возможно что	1	1
527	как у	1	1
528	к которому	3	1
529	еще и	2	1
530	тому как	1	1
531	тогда же	1	1
532	он считал	1	1
533	в год	1	1
534	этой роли	1	1
535	по тем	1	1
536	которых мы	2	1
537	этому времени	1	1
538	на которых	1	1
539	у других	2	1
540	с наступлением	1	1
541	над землей	1	1
542	точек зрения	2	1
543	долгое время	1	1
544	г где	1	1
545	совершенно разнородных	1	1
546	первые два	1	1
547	совершенно очевидно	1	1
548	которой он	1	1
549	мы знаем	2	1
550	так называемых	1	1
551	этой же	2	1
552	представить себе	1	1
553	их за	1	1
554	или по	2	1
555	первые годы	1	1
556	входившие в	1	1
557	из которых	2	1
558	по своему	3	1
559	в данном	1	1
560	по поводу	4	1
561	который мы	1	1
562	наряду с	2	1
563	в той	1	1
564	первое место	3	1
565	заимствован из	1	1
566	где под	1	1
567	ко всему	1	1
568	в первой	2	1
569	или совсем	1	1
570	см например	2	1
571	не допускать	1	1
572	происхождению не	1	1
573	голода и	1	1
574	рассматривать как	1	1
575	противоречит как	1	1
576	ближе к	1	1
577	очень интересный	1	1
578	только одна	1	1
579	случаях когда	1	1
580	от имени	1	1
581	люди по	1	1
582	а к	2	1
583	в двух	1	1
584	совершенно ясна	1	1
585	от него	1	1
586	и все	3	1
587	или нет	1	1
588	зрения в	1	1
589	отсюда же	1	1
590	на такой	1	1
591	которым можно	1	1
592	нет никаких	1	1
593	сделать вывод	1	1
594	дает основание	1	1
595	ты не	1	1
596	были для	1	1
597	нам не	1	1
598	на поле	1	1
599	в период	2	1
600	слово в	1	1
601	не знает	1	1
602	сказать что	1	1
603	перед домом	1	1
604	отношению к	3	1
605	этим объясняется	1	1
606	к числу	2	1
607	жизни и	1	1
608	в таком	1	1
609	указывают на	1	1
610	именно здесь	1	1
611	по свидетельству	2	1
612	они не	1	1
613	каждого праздника	1	1
614	как на	1	1
615	во всяком	2	1
616	все что	2	1
617	в роли	1	1
618	наши сведения	1	1
