N	3gram	Nazirov_Vr_1	FransuaR
1	то же время	4	9
2	в то же	4	9
3	в том что	2	6
4	в этом отношении	1	5
5	но в то	2	5
6	в связи с	3	5
7	так же как	1	4
8	до сих пор	1	3
9	связи с этим	1	3
10	он не только	2	2
11	с точки зрения	2	2
12	один раз в	1	2
13	о том как	1	2
14	в то время	1	2
15	раз в году	1	2
16	не может быть	2	2
17	как бы в	1	2
18	в конце жизни	1	2
19	да и в	1	1
20	в году в	2	1
21	не мешало их	1	1
22	далеко не все	1	1
23	же время и	1	1
24	в мировой литературе	1	1
25	и в то	1	1
26	он и не	1	1
27	независимо от того	1	1
28	одним из сильнейших	1	1
29	но это не	1	1
30	может быть и	1	1
31	в это время	1	1
32	и что в	2	1
33	одним из первых	1	1
34	быть и речи	1	1
35	был в то	1	1
36	что в этой	1	1
37	в свою очередь	1	1
38	и никому не	1	1
39	о том что	1	1
40	и в самом	1	1
41	в ту эпоху	1	1
42	это не просто	1	1
43	тем не менее	1	1
44	о которой не	1	1
