N	2gram	Losev_Vlad_2	SlovoVZh
1	не может	9	16
2	может быть	7	14
3	точки зрения	7	14
4	как бы	5	13
5	и его	6	13
6	таким образом	3	12
7	и в	30	12
8	в нашем	1	11
9	и не	18	10
10	если бы	1	9
11	так как	5	9
12	прежде всего	6	8
13	сказать что	11	7
14	для нас	7	7
15	в ней	4	6
16	в том	18	6
17	только в	6	6
18	при этом	5	6
19	в нем	4	6
20	то же	4	5
21	в виду	2	5
22	можно сказать	4	5
23	как в	3	5
24	но в	8	5
25	и др	1	5
26	в жизни	1	5
27	а не	7	5
28	как и	5	5
29	что мы	1	5
30	том что	12	5
31	никогда не	7	5
32	хотя бы	3	5
33	то что	20	5
34	мы все	1	4
35	литературы и	1	4
36	к нему	2	4
37	в литературе	1	4
38	в этом	20	4
39	все же	9	4
40	в самом	2	4
41	уже не	3	4
42	не только	12	4
43	отношение к	4	4
44	от того	1	4
45	так и	5	4
46	что не	2	4
47	не в	9	4
48	его в	4	4
49	дело в	3	4
50	и является	1	4
51	и к	6	4
52	жизни и	6	4
53	и на	4	4
54	здесь не	4	3
55	самом деле	1	3
56	в котором	5	3
57	ясно что	1	3
58	еще не	1	3
59	мы не	2	3
60	и вообще	10	3
61	о том	4	3
62	бы то	1	3
63	но и	8	3
64	точка зрения	1	3
65	того что	5	3
66	быть и	1	3
67	когда он	1	3
68	и наконец	4	3
69	и ее	1	3
70	все эти	5	3
71	только на	1	3
72	конечно не	4	3
73	в себе	6	3
74	да и	3	3
75	для него	9	3
76	не к	1	3
77	и по	2	3
78	то ни	1	3
79	и с	14	3
80	до сих	1	3
81	ни в	7	3
82	в них	3	3
83	в своей	5	3
84	так же	4	3
85	в такой	1	3
86	тем не	6	3
87	как к	2	3
88	из этого	5	3
89	по себе	5	3
90	сих пор	1	3
91	не менее	7	3
92	все это	5	3
93	но для	1	3
94	и для	3	3
95	бы мы	1	3
96	с ним	5	3
97	отношении к	1	3
98	в каком	1	3
99	от этой	1	2
100	и то	5	2
101	как это	7	2
102	но тем	2	2
103	в себя	1	2
104	и совершенно	1	2
105	едва ли	3	2
106	те же	3	2
107	мы имеем	1	2
108	и здесь	1	2
109	и та	1	2
110	настоящее время	2	2
111	с его	4	2
112	но мы	1	2
113	и что	5	2
114	в чем	2	2
115	данном случае	2	2
116	в данном	3	2
117	в его	11	2
118	что и	3	2
119	независимо от	1	2
120	в своем	8	2
121	кроме того	9	2
122	как уже	1	2
123	его к	1	2
124	дело с	1	2
125	в какой	1	2
126	и потому	2	2
127	лежит на	1	2
128	в настоящее	2	2
129	выражение в	1	2
130	уже в	3	2
131	тому же	1	2
132	жизнью и	1	2
133	в душе	1	2
134	он не	4	2
135	не так	1	2
136	весны и	1	2
137	к ним	1	2
138	но что	5	2
139	но все	2	2
140	на все	2	2
141	влияние на	1	2
142	это не	2	2
143	до известной	1	2
144	до конца	7	2
145	его как	1	2
