N	2gram	Voloshinov_1	Hudozhes
1	том что	5	16
2	и в	12	14
3	так и	4	13
4	не только	4	12
5	при этом	6	12
6	о том	3	12
7	в том	6	12
8	а не	5	12
9	в себе	3	11
10	в этом	4	11
11	прежде всего	8	11
12	в своей	3	10
13	для него	3	10
14	то же	5	9
15	как и	5	9
16	в качестве	1	9
17	у него	1	9
18	по отношению	11	8
19	как в	5	8
20	то что	5	8
21	же время	1	8
22	ничего не	2	8
23	в его	2	8
24	между тем	3	8
25	отношению к	11	8
26	в то	2	8
27	еще не	3	7
28	это не	2	7
29	не в	4	7
30	к тому	1	7
31	уже не	4	7
32	именно в	1	7
33	не может	16	7
34	как бы	13	7
35	было бы	1	6
36	никогда не	5	6
37	жизни в	1	6
38	что в	2	6
39	самом деле	3	5
40	с его	2	5
41	перед нами	1	5
42	но в	5	5
43	ни в	3	5
44	точки зрения	14	5
45	не менее	3	5
46	и его	13	5
47	и он	1	5
48	можно было	1	5
49	только в	6	5
50	по мнению	1	5
51	друг друга	1	5
52	может быть	14	5
53	но и	3	5
54	в частности	1	5
55	в этих	2	5
56	героя и	5	5
57	жизни и	4	5
58	мы уже	1	4
59	и о	1	4
60	в ней	6	4
61	столь же	1	4
62	в своем	2	4
63	и к	4	4
64	то в	1	4
65	в самом	4	4
66	та же	1	4
67	что она	1	4
68	он не	2	4
69	и с	3	4
70	несмотря на	1	4
71	тем не	3	4
72	с ним	3	4
73	она не	2	4
74	в русской	1	4
75	по своей	1	4
76	связи с	1	4
77	как будто	1	4
78	и это	1	4
79	можно сказать	5	4
80	того что	3	4
81	себя в	1	4
82	не было	1	4
83	и все	2	4
84	бытия и	1	4
85	по преимуществу	1	3
86	с точки	2	3
87	не имеют	1	3
88	едва ли	2	3
89	и на	4	3
90	в ее	1	3
91	отнюдь не	5	3
92	как к	3	3
93	все же	4	3
94	в нем	6	3
95	и по	3	3
96	на этом	1	3
97	его в	4	3
98	такой же	2	3
99	она в	1	3
100	все эти	3	3
101	этом отношении	1	3
102	как мы	1	3
103	того чтобы	1	3
104	в пределах	3	3
105	если бы	9	3
106	русской литературе	1	3
107	в лице	1	3
108	в литературе	4	3
109	но не	2	3
110	как его	1	3
111	в творчестве	3	3
112	и для	3	3
113	от него	1	3
114	или не	3	3
115	может и	1	3
116	в таком	1	3
117	я и	1	2
118	например в	1	2
119	же как	1	2
120	на самом	4	2
121	мы не	3	2
122	слово не	1	2
123	не нужно	1	2
124	у которой	1	2
125	для других	2	2
126	конечном счете	1	2
127	себе и	1	2
128	в одной	1	2
129	в художественном	3	2
130	хотя и	1	2
131	к художественному	1	2
132	лежит на	2	2
133	в целом	1	2
134	только на	3	2
135	жизнью и	2	2
136	именно этим	1	2
137	не бывает	1	2
138	значительной степени	1	2
139	в другом	1	2
140	ясно что	3	2
141	по себе	3	2
142	все равно	1	2
143	должно быть	1	2
144	автора и	2	2
145	ни единого	1	2
146	в такой	3	2
147	что я	1	2
148	сих пор	3	2
149	все это	3	2
150	для нее	1	2
151	они не	1	2
152	и герой	3	2
153	для всего	1	2
154	слова как	1	2
155	на него	2	2
156	с ее	1	2
157	здесь не	3	2
158	на основе	1	2
159	характер и	1	2
160	в себя	2	2
161	произведения с	1	2
162	и что	2	2
163	до сих	3	2
164	там же	1	2
165	в значительной	1	2
166	в конечном	1	2
167	со своею	1	2
168	в форме	2	2
169	деле в	1	2
170	автора героя	1	2
171	и потому	2	2
172	и так	2	2
173	участие в	1	2
174	у нее	1	2
175	явно не	1	2
176	влияние на	2	2
177	это прежде	1	2
178	а с	1	2
179	себя и	2	2
180	что не	4	2
181	до конца	2	2
182	да и	3	2
183	множественного числа	1	2
184	и не	10	2
185	с этой	2	2
186	еще раз	2	2
187	только для	1	2
188	нет ничего	2	2
189	в результате	1	2
190	художественного восприятия	1	2
191	не знает	1	2
192	или иного	1	2
193	героя в	1	2
194	а между	1	1
195	и то	2	1
196	и др	5	1
197	словами и	2	1
198	это и	1	1
199	нам кажется	1	1
200	нем но	1	1
201	из его	1	1
202	проникает в	1	1
203	исходит из	1	1
204	ведь и	3	1
205	высшей степени	1	1
206	подумать что	1	1
207	что уже	1	1
208	высказывания в	1	1
209	хотя бы	5	1
210	что можно	1	1
211	литературы и	4	1
212	на них	1	1
213	в чем	2	1
214	собственной внутренней	1	1
215	не требует	1	1
216	мы еще	1	1
217	сознания не	1	1
218	к слову	2	1
219	в общем	1	1
220	не индивидуальными	1	1
221	отношение к	4	1
222	произведение не	1	1
223	в свои	1	1
224	один и	1	1
225	относится к	2	1
226	душевное состояние	1	1
227	общего с	2	1
228	что именно	1	1
229	подробнее на	1	1
230	стороны и	2	1
231	она как	1	1
