N	3gram	Bakhtin_fo_2	Narrotol
1	в том что	3	8
2	в данном случае	1	6
3	не только в	5	6
4	в отличие от	1	5
5	с одной стороны	1	5
6	о том что	1	4
7	к себе самому	3	3
8	в этом отношении	2	3
9	но при этом	1	3
10	той или иной	1	3
11	то же время	4	3
12	можно сказать что	1	3
13	в то же	4	3
14	к тому что	1	3
15	особое место в	1	2
16	с точки зрения	8	2
17	на самом деле	1	2
18	но и в	3	2
19	и т п	11	2
20	к себе и	1	2
21	в себе самом	1	2
22	существенную роль в	1	2
23	не может быть	1	2
24	как бы в	1	2
25	и того же	1	1
26	не может не	1	1
27	на границе между	1	1
28	в чем не	1	1
29	в той или	1	1
30	в неразрывном единстве	1	1
31	в этом процессе	1	1
32	то же самое	2	1
33	как это обычно	1	1
34	как об этом	1	1
35	в частности в	1	1
36	по сравнению с	1	1
37	и в то	3	1
38	во время обеда	1	1
39	вместо того чтобы	1	1
40	себе самому и	1	1
41	до сих пор	2	1
42	то что было	2	1
43	то время как	1	1
44	на первый взгляд	1	1
45	и все его	1	1
46	строго говоря это	1	1
47	а также и	1	1
48	в связи с	7	1
49	не для того	2	1
50	отношения к себе	1	1
51	в новое и	1	1
52	этой точки зрения	1	1
53	ни в чем	1	1
54	но в конце	1	1
55	с точкой зрения	1	1
56	добрых и злых	2	1
57	в то время	1	1
58	с этой точки	1	1
59	по аналогии с	1	1
60	если же в	1	1
61	женщин и детей	2	1
62	у него есть	2	1
63	то есть в	1	1
64	мира в котором	1	1
65	одного и того	1	1
66	тем более что	2	1
67	в большинстве случаев	3	1
68	человек в нем	1	1
69	для того чтобы	7	1
70	того мира в	1	1
71	это свидетельствует о	1	1
72	пространственных и временных	1	1
73	и в другом	1	1
