N	2gram	Nazirov_Vr_1	Analitik
1	не только	9	22
2	тогда как	2	20
3	и в	8	18
4	как и	6	14
5	так и	1	14
6	в этом	8	14
7	и его	3	13
8	но и	7	13
9	том что	3	12
10	в качестве	1	12
11	и не	5	12
12	в частности	1	12
13	при этом	4	11
14	а в	2	10
15	как бы	4	10
16	что в	7	9
17	может быть	4	9
18	в том	3	9
19	с его	3	8
20	своего рода	1	8
21	и даже	6	8
22	в первой	1	8
23	в русской	3	7
24	как раз	2	7
25	в его	3	7
26	с другой	1	7
27	во второй	1	7
28	но не	1	7
29	еще не	2	6
30	в этой	2	6
31	он не	3	6
32	в их	1	6
33	для него	2	6
34	о том	4	6
35	в начале	6	6
36	того же	1	5
37	той же	1	5
38	как правило	1	5
39	как нам	1	5
40	в самом	1	5
41	однако в	1	5
42	в мире	2	5
43	между тем	5	5
44	уже не	2	5
45	в конце	3	5
46	никогда не	2	5
47	и т.п	2	5
48	в свою	2	5
49	прежде всего	1	5
50	другой стороны	1	5
51	столь же	2	4
52	что он	4	4
53	отнюдь не	2	4
54	в своем	3	4
55	и как	3	4
56	таким образом	2	4
57	в итоге	1	4
58	тем самым	1	4
59	в одном	1	4
60	ли не	1	4
61	не менее	2	4
62	свою очередь	1	4
63	и сам	1	4
64	русской литературе	3	4
65	крайней мере	1	4
66	себя в	1	4
67	не есть	1	4
68	далеко не	3	4
69	по крайней	1	4
70	и а	2	4
71	о чем	2	4
72	все же	6	4
73	едва ли	1	3
74	по его	1	3
75	говорить о	1	3
76	в целом	1	3
77	уже в	4	3
78	о смерти	1	3
79	но как	2	3
80	если в	1	3
81	ответ на	2	3
82	что они	1	3
83	как говорит	1	3
84	как в	1	3
85	с этим	1	3
86	роль в	1	3
87	тому же	1	3
88	ключ к	1	3
89	нашего времени	2	3
90	в году	18	3
91	то же	5	3
92	не будет	1	3
93	его в	3	3
94	одного и	1	3
95	точки зрения	2	3
96	все это	4	3
97	в то	5	3
98	только не	1	3
99	ничего не	1	3
100	же время	5	3
101	с ее	1	3
102	в ее	1	3
103	так в	2	3
104	жизнь и	1	3
105	именно в	1	3
106	было бы	1	3
107	во всем	1	3
108	этом отношении	1	3
109	в особенности	1	3
110	не было	5	3
111	не всегда	1	3
112	он и	1	3
113	восходящая к	1	3
114	к этому	3	3
115	во сне	1	3
116	отношения к	2	2
117	по преимуществу	1	2
118	уже по	1	2
119	в литературу	1	2
120	героя нашего	1	2
121	в составе	1	2
122	и он	2	2
123	в ней	4	2
124	из повести	2	2
125	во всех	1	2
126	это и	1	2
127	как к	1	2
128	но в	6	2
129	в ответ	1	2
130	в себе	2	2
131	не могла	1	2
132	в нем	6	2
133	о которой	2	2
134	уже говорилось	1	2
135	этом он	1	2
136	это не	4	2
137	в жизни	1	2
138	а вот	1	2
139	в них	2	2
140	автору и	1	2
141	несмотря на	4	2
142	не мог	2	2
143	с точки	2	2
144	тем не	1	2
145	доказывает что	1	2
146	но они	1	2
147	вплоть до	1	2
148	одна из	2	2
149	писал он	1	2
150	по своей	1	2
151	в момент	2	2
152	могут быть	1	2
153	не с	1	2
154	с героем	1	2
155	об этом	5	2
156	и т.д	1	2
157	о своей	1	2
158	в глазах	2	2
159	в форме	1	2
160	тех пор	1	2
161	один из	1	2
162	но с	1	2
163	то в	1	2
164	и ее	2	2
165	для всех	1	2
166	с нею	2	2
167	всяком случае	1	2
168	тем что	3	2
169	анекдота о	1	2
170	который не	1	2
171	в романе	6	2
172	говорит о	1	2
173	в соответствии	1	2
174	одну из	1	2
175	не может	2	2
176	о себе	3	2
177	вместе с	2	2
178	по своему	1	2
179	в той	2	2
180	да и	1	2
181	я с	1	2
182	в глубине	1	2
183	и от	1	2
184	хотя и	1	2
185	и все	7	2
186	же в	2	2
187	хотя в	1	2
188	то что	7	2
189	нам не	1	2
190	о своем	1	2
191	в свое	1	2
192	а также	2	2
193	во всяком	1	2
194	оба они	1	1
195	а между	1	1
196	как известно	1	1
197	вопросом не	1	1
198	также что	1	1
199	речь идет	3	1
200	у гоголя	1	1
201	человека и	1	1
202	как имя	1	1
203	рассматривать в	1	1
204	молодого человека	1	1
205	и есть	1	1
206	человек который	1	1
