N	2gram	Vinokur_Vv_1	VLabPisa
1	таким образом	19	27
2	в этом	34	26
3	и в	27	25
4	и т	43	24
5	не только	21	22
6	может быть	24	21
7	хотя бы	5	20
8	и не	13	19
9	не может	13	17
10	т е	38	17
11	т д	37	15
12	в его	10	15
13	прежде всего	8	13
14	в том	31	13
15	этом отношении	3	13
16	все это	6	12
17	как это	5	12
18	в частности	3	12
19	в силу	3	11
20	из них	3	11
21	с другой	8	11
22	в качестве	7	10
23	не могут	5	10
24	о том	15	10
25	т п	5	9
26	об этом	5	9
27	что в	11	9
28	для него	1	9
29	по этому	2	9
30	но и	5	9
31	то же	8	9
32	и др	2	9
33	к этому	3	9
34	все эти	3	8
35	по словам	1	8
36	реальной действительности	1	8
37	на основании	5	8
38	другой стороны	5	8
39	могут быть	4	8
40	не следует	2	8
41	в своем	3	8
42	из этих	5	7
43	как и	5	7
44	говорит о	3	7
45	же в	1	7
46	отношению к	4	7
47	не было	1	7
48	этому поводу	2	7
49	произведения и	2	7
50	во всех	2	7
51	вместе с	6	7
52	по отношению	4	7
53	в конечном	1	7
54	а не	3	7
55	было бы	5	7
56	том что	26	7
57	главным образом	1	6
58	в себе	4	6
59	и его	5	6
60	так и	1	6
61	в нем	13	6
62	у него	1	6
63	бы и	2	6
64	между тем	8	6
65	это не	8	6
66	то что	17	6
67	это и	1	6
68	в то	5	6
69	в зависимости	1	6
70	том же	2	6
71	одним из	5	5
72	работы над	6	5
73	все же	8	5
74	же время	5	5
75	следует понимать	1	5
76	не в	8	5
77	в их	11	5
78	зависимости от	1	5
79	сказать что	5	5
80	один из	6	5
81	очевидно что	1	5
82	действительности и	1	5
83	тому что	2	5
84	только в	13	5
85	в результате	3	5
86	и есть	3	5
87	связи с	3	5
88	как бы	5	5
89	и при	2	5
90	в связи	2	4
91	можно сказать	3	4
92	как раз	4	4
93	в своей	4	4
94	вот почему	3	4
95	в одном	4	4
96	чем же	3	4
97	в ее	11	4
98	это только	4	4
99	никогда не	3	4
100	в статье	1	4
101	утверждать что	1	4
102	в целом	5	4
103	них не	1	4
104	что все	1	4
105	с ними	1	4
106	познания и	2	4
107	в них	4	4
108	одна из	2	4
109	в этой	3	4
110	в самом	12	4
111	к тому	4	4
112	познания в	1	4
113	должен быть	4	4
114	что он	4	4
115	момент в	1	3
116	в значительной	2	3
117	или в	1	3
118	жизни и	2	3
119	так же	3	3
120	как на	11	3
121	в котором	4	3
122	и ее	4	3
123	большей или	2	3
124	точки зрения	7	3
125	различного рода	1	3
126	и трудно	1	3
127	в конце	3	3
128	имеет свою	2	3
129	вполне естественно	1	3
130	например в	2	3
131	с тем	6	3
132	его в	6	3
133	например что	2	3
134	того что	12	3
135	этого типа	1	3
136	нет и	1	3
137	но как	2	3
138	только что	4	3
139	из его	2	3
140	видно из	1	3
141	деятельности человека	1	3
142	и к	1	3
143	ее в	1	3
144	у нас	2	3
145	человека и	1	3
146	что не	5	3
147	и от	1	3
148	с этим	2	3
149	мы видели	2	3
150	или меньшей	2	3
151	том как	1	3
152	даже и	3	3
153	и художественного	1	3
154	это делает	2	3
155	бы в	1	3
156	этой области	3	3
157	него в	2	3
158	образом в	1	3
159	во время	1	3
160	др в	1	3
161	именно в	8	3
162	и отдельных	1	3
163	никак не	1	3
164	что и	3	3
165	в работе	3	3
166	по существу	2	3
167	значительной мере	1	3
168	в которых	6	3
169	по поводу	1	3
170	в виду	4	3
171	этот вопрос	4	3
172	и как	9	3
173	как о	4	3
174	мы знаем	1	3
175	в которой	1	2
176	показывает как	1	2
177	это особенно	1	2
178	им как	1	2
179	но с	4	2
180	еще не	4	2
181	же как	3	2
182	в другом	3	2
183	должны быть	1	2
184	конце концов	2	2
185	говорить о	3	2
186	из себя	1	2
187	что нет	2	2
188	одной из	3	2
189	у каждого	1	2
190	как например	5	2
191	отличается от	1	2
192	и для	4	2
193	необходимость в	1	2
194	показывает что	1	2
195	к этим	1	2
196	еще и	3	2
197	в жизни	1	2
198	именно этого	1	2
199	крайней мере	4	2
200	не менее	8	2
201	понимать как	1	2
202	зависит от	3	2
203	вовсе не	6	2
204	по крайней	4	2
205	не по	1	2
206	из основных	1	2
207	говорил что	1	2
208	только о	2	2
209	искусстве и	1	2
210	сих пор	5	2
211	при всей	1	2
212	вообще и	3	2
213	этой точки	1	2
214	который по	2	2
215	конечном итоге	1	2
216	так называемые	1	2
217	до сих	5	2
218	в системе	1	2
219	которая не	1	2
220	с другими	1	2
221	того чтобы	21	2
222	во всяком	3	2
223	другом месте	2	2
