N	3gram	Tiupa_Anal_2	Psycholo
1	в том что	6	9
2	не может быть	1	8
3	на то что	2	8
4	в самом деле	1	7
5	о том что	6	7
6	заключается в том	1	6
7	этой точки зрения	1	5
8	подобно тому как	3	5
9	с другой стороны	2	5
10	с одной стороны	4	5
11	с этой точки	1	4
12	как и в	3	4
13	не в состоянии	1	3
14	в отличие от	2	3
15	точно так же	1	3
16	сказать что в	1	3
17	так же точно	1	3
18	не только не	2	3
19	в конечном счете	2	3
20	состоит в том	4	2
21	более или менее	1	2
22	в этом смысле	2	2
23	никак не может	1	2
24	то же самое	1	2
25	с точки зрения	2	2
26	в таком случае	2	2
27	в этом отношении	3	2
28	несмотря на то	1	2
29	в применении к	1	2
30	есть в сущности	1	2
31	в противоречие с	1	2
32	него могут быть	1	2
33	тех или иных	2	2
34	в целом ряде	1	2
35	а в том	1	2
36	эта внутренняя форма	1	2
37	то есть в	2	2
38	другой стороны и	1	2
39	и в самом	2	2
40	сама по себе	1	2
41	тем не менее	3	2
42	он не только	1	2
43	мы имеем дело	3	1
44	одним и тем	1	1
45	может быть признано	1	1
46	те же самые	1	1
47	чтобы прийти к	1	1
48	и во всех	1	1
49	сами по себе	1	1
50	не удивительно что	3	1
51	языка то есть	1	1
52	как уже было	1	1
53	том или ином	2	1
54	при этом она	1	1
55	вместе с ними	1	1
56	и то что	2	1
57	отнюдь не является	1	1
58	бы и в	1	1
59	едва ли не	2	1
60	и тем же	1	1
61	между тем как	1	1
62	из виду что	1	1
63	не только в	2	1
64	то что она	1	1
65	ответ на вопрос	1	1
66	такой степени что	1	1
67	и то же	1	1
68	в известном смысле	1	1
69	и в этом	4	1
70	на этот раз	1	1
71	это имеет место	1	1
72	точки зрения может	1	1
73	приводит к тому	1	1
74	дело не в	1	1
75	в том или	2	1
76	одни и те	1	1
77	в связи с	1	1
78	то что все	1	1
79	в мире в	1	1
80	в одну из	1	1
81	в полной мере	1	1
82	что при таком	1	1
83	речь идет о	1	1
84	в лирическом стихотворении	1	1
85	до такой степени	1	1
86	в тех случаях	1	1
87	таком случае в	1	1
88	только то что	1	1
89	по поводу того	1	1
90	в свою очередь	1	1
91	как нельзя лучше	1	1
92	как и всякий	1	1
93	что иное как	1	1
94	можно сказать что	1	1
95	и те же	1	1
96	тому как мы	1	1
97	и там и	1	1
98	могут быть в	1	1
99	не что иное	1	1
100	и наоборот в	1	1
101	одно и то	1	1
102	же точно и	1	1
103	там и здесь	1	1
104	к тому же	4	1
105	при взгляде на	1	1
106	и тот же	1	1
