N	3gram	Tiupa_Hudo_2	Myshleni
1	с точки зрения	2	21
2	для того чтобы	3	18
3	в этом случае	1	14
4	в том что	11	13
5	не только не	2	9
6	так же как	2	7
7	с самого начала	1	7
8	к тому что	4	6
9	по отношению к	7	5
10	то же самое	2	5
11	в данном случае	2	5
12	с одной стороны	3	5
13	в самом деле	3	4
14	не может быть	3	4
15	заключается в том	1	4
16	о том что	7	4
17	при переходе от	1	3
18	состоит в том	2	3
19	что у нее	2	3
20	до сих пор	2	3
21	в этом отношении	1	3
22	то и другое	1	3
23	и то что	1	3
24	в самом начале	1	3
25	в первом случае	1	3
26	тем не менее	3	3
27	содержит в себе	1	3
28	можно сказать что	1	3
29	как и в	3	3
30	том что в	3	2
31	том что она	2	2
32	нет и не	1	2
33	но то что	1	2
34	точно так же	1	2
35	то время как	1	2
36	едва ли не	1	2
37	нечто такое что	1	2
38	же как и	1	2
39	в то время	1	2
40	приводит к тому	1	2
41	в этом и	2	2
42	мы стремились показать	1	2
43	же самое что	2	2
44	в конечном счете	3	2
45	известном смысле можно	1	2
46	смысле можно сказать	1	2
47	друг от друга	1	2
48	у нее нет	1	2
49	стремились показать что	1	2
50	дело здесь не	1	1
51	этом и состоит	1	1
52	не обращая внимания	1	1
53	что она не	2	1
54	это не означает	1	1
55	по сути дела	1	1
56	обращая внимания на	1	1
57	как в ее	1	1
58	подобно тому как	4	1
59	в слове и	1	1
60	в том числе	1	1
61	в соответствии с	3	1
62	только в том	2	1
63	что он не	1	1
64	этом отношении она	1	1
65	как раз и	1	1
66	же самое время	1	1
67	том числе и	1	1
68	можно было бы	2	1
69	здесь не в	1	1
70	что если бы	1	1
71	ничего нового и	1	1
72	то что было	2	1
73	раз и состоит	1	1
74	они были бы	1	1
75	не только в	2	1
76	то что она	1	1
77	но при этом	3	1
78	и в этом	2	1
79	с другой стороны	1	1
80	не только для	1	1
81	и состоит в	1	1
82	собой один из	1	1
83	объяснения в любви	1	1
84	на этом пути	1	1
85	забыть и простить	1	1
86	только о том	1	1
87	что несмотря на	1	1
88	к той же	1	1
89	нельзя сказать что	1	1
90	и то и	1	1
91	будущего она не	1	1
92	говорится в этой	1	1
93	в нашем примере	1	1
94	этом и заключается	1	1
95	как мы с	1	1
96	но и для	1	1
97	представляет собой один	1	1
98	это отнюдь не	1	1
99	что хотел сказать	1	1
100	той или иной	1	1
101	нет я не	1	1
102	тот момент когда	1	1
103	же перед нами	1	1
104	после того как	1	1
105	из этих двух	1	1
106	между собой не	1	1
107	в котором по	1	1
108	это не та	1	1
109	но все же	1	1
110	в то же	4	1
111	тем что он	1	1
112	мы имеем дело	1	1
113	того факта что	1	1
114	что и в	1	1
