N	3gram	Medvedev_U_1	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	1	4
4	в том что	2	4
5	с одной стороны	1	3
6	и не только	1	2
7	и в то	1	2
8	в значительной мере	1	2
9	в ней не	1	2
10	сводится к следующему	1	1
11	более или менее	1	1
12	в этом смысле	2	1
13	что мы и	1	1
14	хотя бы и	2	1
15	и только к	1	1
16	не было бы	1	1
17	и то что	2	1
18	она должна была	1	1
19	и в частности	2	1
20	все это в	1	1
21	для тех кто	1	1
22	между тем в	1	1
23	не в том	1	1
24	с другой стороны	3	1
25	не может быть	4	1
26	само по себе	1	1
27	в последние годы	1	1
28	но в то	1	1
29	друг с другом	1	1
30	в отдельности и	1	1
