N	2gram	Voloshinov_1	Myslijsy
1	потому что	1	46
2	в том	2	32
3	и в	13	30
4	может быть	8	28
5	то же	4	23
6	только в	6	21
7	не только	6	21
8	но и	3	19
9	то что	6	18
10	том что	2	18
11	что в	3	17
12	в себе	3	16
13	по себе	1	16
14	и не	8	15
15	в сознании	4	15
16	не в	3	15
17	а не	2	15
18	таким образом	6	14
19	так как	3	13
20	а в	2	12
21	вместе с	1	12
22	если бы	2	12
23	этого слова	1	11
24	так и	3	11
25	как и	3	10
26	в то	1	10
27	как в	2	10
28	в этом	2	10
29	и что	1	10
30	в нем	2	9
31	мы не	4	9
32	для него	2	9
33	между тем	2	9
34	было бы	4	9
35	только что	1	8
36	в самом	2	8
37	в ней	2	8
38	и то	3	8
39	что мы	1	8
40	вовсе не	2	7
41	но не	1	7
42	есть не	2	7
43	что слово	1	7
44	к тому	2	7
45	тем что	2	7
46	в языке	2	7
47	с одной	2	7
48	с другой	2	7
49	не может	8	6
50	те же	2	6
51	художественное произведение	2	6
52	например в	1	6
53	не имеет	2	6
54	то это	1	6
55	между собою	2	6
56	с этим	3	6
57	что он	1	6
58	но это	1	6
59	еще не	1	5
60	одно и	3	5
61	же время	1	5
62	отношению к	3	5
63	думать что	2	5
64	не менее	2	5
65	слово не	1	5
66	одно из	1	5
67	в действительности	2	5
68	по отношению	3	5
69	слова и	2	5
70	человека и	1	5
71	уже в	2	5
72	сказать что	1	5
73	должно быть	1	5
74	тому как	1	5
75	в них	2	5
76	и тем	2	5
77	художественного произведения	5	5
78	языка в	1	5
79	и как	1	5
80	к одному	3	5
81	в своем	1	5
82	и его	12	4
83	по мере	1	4
84	это слово	1	4
85	не было	1	4
86	если не	1	4
87	или же	1	4
88	для человека	1	4
89	для понимания	1	4
90	не дается	1	4
91	в его	7	4
92	себе а	1	4
93	и при	2	4
94	до того	1	4
95	мы должны	6	4
96	для того	1	4
97	один из	1	4
98	и наоборот	1	4
99	по поводу	1	4
100	другой стороны	2	4
101	того как	1	4
102	себя и	1	4
103	далеко не	1	4
104	все это	4	4
105	в каждой	1	4
106	тем более	1	4
107	столь же	1	4
108	все равно	1	4
109	и это	1	4
110	слово в	3	4
111	слова есть	1	3
112	в которой	3	3
113	не знает	1	3
114	и вместе	1	3
115	связь с	1	3
116	говорить о	3	3
117	и оно	1	3
118	или в	1	3
119	что при	1	3
120	так же	2	3
121	для себя	2	3
122	никто не	1	3
123	состоит не	1	3
124	и следовательно	2	3
125	и все	3	3
126	вслед за	2	3
127	в произведении	2	3
128	к нему	1	3
129	при этом	2	3
130	там где	2	3
131	того чтобы	1	3
132	не знаем	1	3
133	его в	1	3
134	не можем	1	3
135	в образе	1	3
136	в искусстве	3	3
137	время в	1	3
138	в начале	1	3
139	только на	1	3
140	ни о	1	3
141	в целом	2	3
142	в чем	2	3
143	тем не	1	3
144	в последнем	1	3
145	или менее	1	3
146	и может	2	3
147	более или	1	3
148	прежде всего	9	3
149	только потому	1	3
150	могут быть	2	3
151	не существует	1	3
152	само по	1	3
153	тому что	1	3
154	возможно только	1	3
155	мы можем	4	3
156	одной стороны	2	3
157	в ряду	1	3
158	и есть	1	3
159	к этому	1	3
160	что она	1	3
161	в каждом	4	3
162	быть может	1	3
163	и тогда	1	3
164	как бы	6	3
165	произведения не	1	2
166	между людьми	1	2
167	когда мы	1	2
168	все же	5	2
169	бы быть	1	2
170	бы в	2	2
171	и наконец	5	2
172	входит в	2	2
173	в собственном	1	2
174	форму то	1	2
175	то не	1	2
176	точки зрения	7	2
177	от этого	2	2
178	что они	2	2
179	понятие о	1	2
180	людей и	1	2
181	в разных	1	2
182	связи с	1	2
183	несмотря на	2	2
184	от другой	1	2
185	и тот	1	2
186	с понятием	1	2
187	на то	1	2
188	то он	1	2
189	в виде	1	2
190	из того	1	2
191	но мы	4	2
192	в системе	1	2
193	уже на	1	2
194	от него	1	2
195	которое мы	2	2
196	в своей	4	2
197	всю совокупность	1	2
198	так в	1	2
199	ничего общего	3	2
200	но тем	1	2
201	в их	3	2
202	звука и	1	2
203	то или	1	2
204	в одном	3	2
205	сознании и	1	2
206	эти слова	1	2
207	его к	1	2
208	что же	3	2
209	в которых	1	2
210	одной из	1	2
211	отражается в	1	2
212	не нашел	1	2
213	содержания в	1	2
214	в ее	3	2
215	с этой	2	2
216	в субъекте	1	2
217	отношение к	1	2
218	нам кажется	1	2
219	из него	1	2
220	иметь в	1	2
221	к слову	1	2
222	под ним	1	2
223	быть не	1	2
224	связанное с	1	2
225	собственном смысле	1	2
226	своего рождения	1	2
227	язык есть	1	2
228	или на	1	2
229	явлений и	2	2
230	одно слово	1	2
231	мысли и	1	2
232	на все	1	2
233	за пределы	3	2
234	в природе	1	2
235	в неделимом	1	2
236	глаз и	1	2
237	а как	2	2
238	ко всем	1	2
239	в поэтическом	1	2
240	что язык	1	2
241	языка и	5	2
242	это и	1	2
243	зрения и	1	2
244	что такое	1	2
245	и если	1	2
246	же слово	2	2
247	природы и	1	2
248	и о	1	2
249	к тем	1	2
250	самом деле	3	2
251	не столько	3	2
252	тут же	1	2
253	ему в	1	2
254	не всегда	1	2
255	мы уже	2	2
256	в этой	1	2
257	что вообще	1	2
258	этом отношении	1	2
259	он говорит	1	2
260	мы видим	2	2
261	есть одно	1	2
262	что эта	2	2
263	их в	1	2
264	входящих в	1	2
265	не как	3	2
266	бы мы	1	2
267	как средство	1	2
268	когда в	1	2
269	при восприятии	2	2
270	подобно тому	1	2
271	несомненно что	1	2
272	но что	1	2
273	собственно говоря	2	2
274	о слове	1	2
275	в области	2	2
276	об этом	1	2
277	должно было	1	2
278	как о	1	2
279	может стать	2	2
280	поэтического произведения	3	2
281	себе что	2	2
282	остается только	1	2
283	самый предмет	1	2
284	самое слово	1	2
285	есть акт	1	2
286	такой степени	1	2
287	и до	1	2
288	как все	1	1
289	все эти	2	1
290	языка от	1	1
291	одним из	1	1
292	и там	1	1
293	и развивается	1	1
294	каждый из	1	1
295	может и	1	1
296	связи со	1	1
297	и чисто	1	1
298	до такой	1	1
299	и здесь	1	1
300	вещь сколько	1	1
301	явления природы	1	1
302	языка но	2	1
303	этим путем	1	1
304	предмету но	1	1
305	его на	2	1
306	данном случае	2	1
307	вопрос о	1	1
308	образом мы	1	1
309	представлений и	2	1
310	язык во	1	1
311	собою и	1	1
312	в двух	4	1
313	того же	1	1
314	и который	1	1
315	не должно	1	1
316	необходимость в	1	1
317	положения что	1	1
318	еще и	4	1
319	и ее	2	1
