N	2gram	Bakhtin_KF_1	Vladivir
1	и в	24	31
2	не только	5	24
3	а к	1	22
4	но и	9	19
5	то что	7	18
6	и не	26	17
7	и даже	1	15
8	в этом	14	14
9	том что	4	14
10	и с	1	14
11	что в	4	14
12	но в	5	12
13	в его	40	12
14	что он	2	12
15	по поводу	1	12
16	с его	1	11
17	же с	1	11
18	о том	3	11
19	в том	6	11
20	между прочим	1	11
21	потому что	2	11
22	и то	2	10
23	также и	1	10
24	он не	6	10
25	никогда не	5	9
26	только в	16	9
27	а в	4	9
28	и по	1	8
29	в то	3	8
30	так как	1	8
31	мы уже	1	7
32	как это	1	7
33	и его	17	7
34	для него	8	7
35	об этом	1	7
36	о нем	4	7
37	как раз	1	7
38	того же	1	6
39	то же	5	6
40	и к	1	6
41	это было	2	6
42	он и	2	6
43	в котором	24	6
44	так и	2	6
45	его жизни	3	6
46	можно сказать	1	6
47	в качестве	2	6
48	может быть	45	6
49	и потому	2	6
50	не может	27	6
51	к этому	2	6
52	не был	1	5
53	но как	5	5
54	когда он	1	5
55	на то	1	5
56	которой он	2	5
57	не в	12	5
58	истории философии	1	5
59	что и	7	5
60	вовсе не	7	5
61	но он	1	5
62	не было	8	5
63	а с	2	5
64	все это	10	5
65	и от	1	5
66	с ним	5	5
67	жизни и	8	5
68	в своих	3	5
69	из его	3	4
70	я не	6	4
71	совсем не	2	4
72	в этой	2	4
73	в истории	1	4
74	в своем	16	4
75	хотя и	1	4
76	и как	2	4
77	в этот	1	4
78	в которой	1	4
79	в нашем	1	4
80	в себе	21	4
81	в нем	28	4
82	главным образом	1	4
83	этом смысле	3	4
84	как и	5	4
85	несмотря на	1	4
86	в своей	10	4
87	мысли и	1	4
88	не раз	1	4
89	дело в	2	4
90	же время	2	4
91	к ней	1	4
92	во всем	7	4
93	к нему	12	4
94	по своей	1	4
95	один из	2	4
96	себя в	8	4
97	и теперь	1	4
98	для меня	20	4
99	и все	7	4
100	для нас	4	4
101	он как	1	3
102	и он	1	3
103	и на	3	3
104	но не	12	3
105	отношение к	5	3
106	отнюдь не	6	3
107	как в	2	3
108	все же	5	3
109	в целом	10	3
110	все эти	10	3
111	едва ли	2	3
112	на его	1	3
113	здесь мы	4	3
114	то есть	1	3
115	всю жизнь	1	3
116	философии в	2	3
117	не мог	1	3
118	но это	6	3
119	что этот	3	3
120	и очень	1	3
121	раз и	2	3
122	в отношении	1	3
123	но только	1	3
124	ничего не	3	3
125	к тому	1	3
126	в жизни	2	3
127	здесь не	3	3
128	к его	1	3
129	жизнь и	2	3
130	и здесь	7	3
131	и просто	2	3
132	человека как	1	3
133	тот же	1	3
134	и действительно	6	3
135	и так	1	3
136	уже не	7	3
137	только на	1	3
138	в виде	2	3
139	и из	1	3
140	только к	1	3
141	если не	2	3
142	вместе с	1	3
143	по своему	3	3
144	это можно	2	3
145	но я	2	3
146	но этот	1	3
147	это и	2	2
148	и до	1	2
149	и за	2	2
150	той же	1	2
151	на первом	2	2
152	и тут	1	2
153	хотя бы	4	2
154	ему в	2	2
155	еще не	4	2
156	в чем	4	2
157	мы будем	1	2
158	нет и	3	2
159	один и	1	2
160	и я	5	2
161	его на	2	2
162	как к	2	2
163	его к	2	2
164	конечно не	7	2
165	за границей	1	2
166	и тот	1	2
167	но его	1	2
168	всей его	2	2
169	что она	1	2
