N	3gram	Medvedev_V_1	Problema
1	по отношению к	7	19
2	и т п	9	13
3	не может быть	8	11
4	в художественном творчестве	5	9
5	в данном случае	1	4
6	в художественном произведении	4	4
7	с другой стороны	8	4
8	во всех его	2	4
9	в конечном счете	5	4
10	в противном случае	2	3
11	художественного творчества и	1	3
12	в самом деле	1	3
13	в этом смысле	1	3
14	можно было бы	2	3
15	в его своеобразии	1	3
16	в применении к	1	3
17	все то что	1	3
18	с одной стороны	2	3
19	то же время	5	3
20	в том что	5	3
21	в то же	5	3
22	художественное творчество и	1	3
23	и не должна	1	2
24	можно сказать что	4	2
25	и художественного творчества	2	2
26	в какой мере	1	2
27	только в искусстве	1	2
28	то же самое	1	2
29	в том же	1	2
30	со всех сторон	1	2
31	но и в	1	2
32	и во всех	1	2
33	и не может	2	2
34	и др в	3	2
35	то или иное	1	2
36	и в то	3	2
37	не только в	2	2
38	не могут быть	1	2
39	мы имеем дело	1	2
40	никогда не может	1	2
41	того или иного	1	2
42	словесного художественного творчества	1	2
43	той или иной	1	2
44	художественном творчестве и	1	2
45	для того чтобы	3	2
46	в этом отношении	13	2
47	именно в том	1	1
48	и может быть	1	1
49	а между тем	1	1
50	хотя и не	1	1
51	следует отметить что	1	1
52	часто приводит к	1	1
53	ни одна творческая	1	1
54	только в пределах	1	1
55	отнюдь не в	1	1
56	прежде всего следует	1	1
57	произведения и его	1	1
58	является таким образом	1	1
59	содержания и формы	1	1
60	следует однако отметить	1	1
61	иметь в виду	2	1
62	в виду что	1	1
63	в свою очередь	1	1
64	в таких же	1	1
65	не говоря уже	1	1
66	подобно тому как	2	1
67	также и в	2	1
68	вот несколько примеров	1	1
69	о том как	3	1
70	одной стороны и	2	1
71	если так то	1	1
72	в художественную форму	1	1
73	до сих пор	1	1
74	отнюдь не может	1	1
75	говоря уже о	1	1
76	хотя бы и	5	1
77	сами по себе	1	1
78	в одном и	1	1
79	романе война и	1	1
80	что все эти	1	1
81	и др и	1	1
82	не было бы	4	1
83	художественного творчества на	1	1
84	по аналогии с	1	1
85	же время она	1	1
86	ни в какой	1	1
87	война и мир	2	1
88	в художественное произведение	1	1
89	может быть и	1	1
90	не имели бы	1	1
91	бы и в	1	1
92	в своем творчестве	3	1
93	то время как	1	1
94	они отнюдь не	1	1
95	но в то	1	1
96	таким образом и	1	1
97	может обойтись без	1	1
98	по сравнению с	1	1
99	и не занимает	1	1
100	однако отметить что	1	1
101	имеем дело с	1	1
102	и в их	1	1
103	не в том	2	1
104	необходимо подчеркнуть что	1	1
105	в связи с	3	1
106	если бы все	1	1
107	можно ли на	1	1
108	в том смысле	1	1
109	лицом к лицу	1	1
110	в романе война	1	1
111	быть независимыми от	1	1
112	не чем иным	1	1
113	лица и т	1	1
114	на основе этого	1	1
115	всего следует отметить	1	1
116	а в том	1	1
117	с ними в	1	1
118	в процессе работы	4	1
119	таким образом в	2	1
120	художественного произведения не	1	1
121	то что в	1	1
122	чем иным как	1	1
123	всего человека а	1	1
124	равно как и	4	1
125	том смысле что	1	1
126	в то время	1	1
127	это и есть	3	1
128	та или иная	1	1
129	и т д	14	1
130	не обходится без	1	1
131	хотя бы в	3	1
132	может быть признана	1	1
133	вопрос о том	1	1
134	оно может быть	1	1
135	от всех других	1	1
136	не может обойтись	1	1
137	к тому что	3	1
138	бы не было	2	1
139	можно определить как	2	1
140	художественного творчества оно	1	1
141	на этот вопрос	1	1
142	что все они	1	1
143	в основных чертах	3	1
144	и в другом	2	1
