N	3gram	Nazirov_Tv_2	Psycholo
1	в том что	2	17
2	в самом деле	2	11
3	и т п	2	8
4	не может быть	3	8
5	до сих пор	3	5
6	мы знаем что	1	4
7	можно было бы	1	4
8	так же как	2	4
9	о том что	2	4
10	сами по себе	1	3
11	точно так же	1	3
12	в то время	1	3
13	в конечном счете	1	3
14	том что в	1	2
15	и не может	2	2
16	как и в	1	2
17	на этот вопрос	2	2
18	психологии действующих лиц	1	2
19	и что в	1	2
20	в первый раз	1	2
21	и в процессе	1	2
22	таким образом сюжет	1	2
23	во всяком случае	2	2
24	и в том	1	2
25	то же время	7	2
26	в свою очередь	1	2
27	того или иного	1	2
28	и никогда не	1	2
29	с другой стороны	2	2
30	в то же	7	2
31	только потому что	1	2
32	и т д	11	2
33	то все же	1	1
34	приводит его к	1	1
35	есть по преимуществу	1	1
36	трагического и комического	2	1
37	в психологическом отношении	1	1
38	же как в	1	1
39	в чем же	1	1
40	потому что в	1	1
41	и это совершенно	1	1
42	раза в день	1	1
43	о том как	1	1
44	же как и	1	1
45	имеет в виду	1	1
46	в таком случае	2	1
47	в отличие от	2	1
48	только то что	1	1
49	знаем что она	1	1
50	что в них	1	1
51	а с другой	1	1
52	в романе в	1	1
53	по крайней мере	2	1
54	то или иное	1	1
55	не то что	1	1
56	он говорит что	1	1
57	едва ли не	2	1
58	не зависит от	1	1
59	но при этом	1	1
60	как будто бы	1	1
61	приблизительно так же	1	1
62	не могут быть	1	1
63	что он сам	1	1
64	все же не	2	1
65	в связи с	1	1
66	и мы знаем	1	1
67	должен сознаться что	1	1
68	ответ на этот	1	1
69	по себе не	1	1
70	том смысле что	1	1
71	к сознанию необходимости	1	1
72	нет ничего кроме	1	1
73	на него с	1	1
74	того факта что	1	1
75	искусство в целом	1	1
76	ничего общего с	1	1
77	при этом что	1	1
78	с самого начала	1	1
79	знать об этом	1	1
80	нужно сказать что	1	1
81	даже не в	1	1
82	именно потому что	1	1
83	не знать об	1	1
84	нам хотелось бы	1	1
85	может и не	1	1
86	на всем протяжении	1	1
87	в том смысле	1	1
88	не значит что	1	1
89	они имеют дело	1	1
90	на то чтобы	1	1
91	в высшей степени	1	1
92	же время резко	1	1
93	не так как	1	1
