N	3gram	Berdyaev_M_2	formyVre
1	с точки зрения	1	8
2	для того чтобы	4	7
3	в этом мире	1	6
4	но и в	1	3
5	мы еще вернемся	2	3
6	и в этом	3	3
7	в том что	2	3
8	а следовательно и	1	2
9	до сих пор	3	2
10	друг на друга	1	2
11	и та же	2	2
12	может быть и	2	2
13	лежит в основе	1	2
14	и должно быть	1	2
15	не для того	1	2
16	одна и та	2	2
17	в этом отношении	1	2
18	у него есть	1	2
19	на протяжении всего	1	2
20	еще вернемся в	1	2
21	в чем не	2	1
22	никогда не было	3	1
23	на самом деле	1	1
24	как и во	2	1
25	оно не может	1	1
26	есть прежде всего	5	1
27	том что он	1	1
28	и для него	2	1
29	и его жизнь	1	1
30	как и все	1	1
31	в конце концов	1	1
32	что он не	1	1
33	между тем как	1	1
34	но он не	1	1
35	нас может быть	1	1
36	с самим собою	2	1
37	что действие романа	1	1
38	в человеческой жизни	1	1
39	от плоти и	1	1
40	так как он	2	1
41	только в этом	1	1
42	как и в	2	1
43	он не знал	1	1
44	себя и других	1	1
45	по сравнению с	1	1
46	они должны быть	1	1
47	не до конца	2	1
48	но в пределе	1	1
49	в разных ее	1	1
50	как момент в	1	1
51	жизнь есть прежде	1	1
52	не может быть	8	1
53	еще вернемся к	1	1
54	во всех своих	1	1
55	ни в чем	2	1
56	о том что	2	1
57	в котором в	1	1
58	сам он был	1	1
59	также и в	2	1
60	плоть от плоти	1	1
61	человек в нем	1	1
62	он так же	1	1
63	и во всем	1	1
64	к тому что	3	1
65	он плоть от	1	1
66	всего может быть	1	1
67	и в нем	1	1
68	что и в	4	1
69	той или иной	1	1
