N	3gram	Tiupa_Lite_3	Problema
1	по отношению к	4	19
2	и т п	1	13
3	в эстетический объект	1	12
4	не может быть	3	11
5	но отнюдь не	1	7
6	с точки зрения	3	6
7	в отличие от	5	5
8	между тем как	1	5
9	эстетический объект в	2	5
10	эстетического объекта в	1	5
11	только по отношению	1	4
12	эстетический объект и	1	4
13	в данном случае	4	4
14	с другой стороны	2	4
15	эстетического объекта и	1	4
16	в конечном счете	1	4
17	на самом деле	1	3
18	в самом деле	2	3
19	бы то ни	2	3
20	может быть только	1	3
21	с одной стороны	4	3
22	то же время	7	3
23	в том что	4	3
24	в то же	7	3
25	тем не менее	1	3
26	то же самое	2	2
27	но и в	2	2
28	в эстетическом объекте	1	2
29	и в частности	2	2
30	то ни было	2	2
31	не только в	2	2
32	может и не	1	2
33	сказать и о	1	2
34	начало и конец	1	2
35	и тем самым	2	2
36	той или иной	2	2
37	для того чтобы	1	2
38	в этом отношении	5	2
39	только тем чего	1	1
40	в этом его	1	1
41	существенно живет на	1	1
42	что иное как	1	1
43	хотя и не	1	1
44	к себе самому	2	1
45	искусства и если	2	1
46	незаместимое место в	1	1
47	в свою очередь	1	1
48	не говоря уже	4	1
49	почву становится пустым	1	1
50	подобно тому как	2	1
51	я чувствую себя	1	1
52	о том как	1	1
53	одной стороны и	2	1
54	имеется в виду	1	1
55	не вмешивается в	1	1
56	говоря уже о	3	1
57	этом его серьезность	1	1
58	именно то что	1	1
59	хотя бы и	1	1
60	которое может быть	1	1
61	значительность отвлеченный от	1	1
62	со всеми другими	1	1
63	при этом в	1	1
64	каждый культурный акт	1	1
65	эти два момента	1	1
66	по аналогии с	1	1
67	на нее и	1	1
68	он теряет почву	1	1
69	на то что	2	1
70	могли бы быть	1	1
71	отвлеченный от границ	1	1
72	и тем не	1	1
73	и значительность отвлеченный	1	1
74	в значительной степени	1	1
75	или о чем	1	1
76	заносчивым вырождается и	1	1
77	не что иное	1	1
78	как бы уже	1	1
79	вырождается и умирает	1	1
80	его серьезность и	1	1
81	нет дела до	1	1
82	которые могли бы	1	1
83	на границах в	1	1
84	в связи с	1	1
85	и к предмету	1	1
86	становится пустым заносчивым	1	1
87	художественного творчества в	1	1
88	и в том	1	1
89	данном случае со	1	1
90	факторов художественного впечатления	1	1
91	художественного произведения в	1	1
92	то что в	1	1
93	как совокупность факторов	1	1
94	в событии бытия	1	1
95	серьезность и значительность	1	1
96	это и есть	1	1
97	живет на границах	1	1
98	и в самом	2	1
99	теряет почву становится	1	1
100	вопрос о том	1	1
101	границах в этом	1	1
102	все моменты произведения	1	1
103	произведения в его	1	1
104	это как бы	1	1
105	пустым заносчивым вырождается	1	1
106	к тому что	1	1
107	эстетическом объекте в	1	1
108	совокупность факторов художественного	1	1
109	быть не может	1	1
110	художественное произведение является	1	1
111	превращает его в	1	1
