N	2gram	Bakhtin_Fr_7	Freidism
1	таким образом	19	24
2	и не	7	23
3	не может	3	20
4	точки зрения	5	19
5	прежде всего	11	18
6	в его	12	15
7	в этом	15	15
8	с помощью	6	14
9	может быть	4	13
10	и его	9	12
11	все эти	13	11
12	как и	14	11
13	с точки	3	11
14	то что	8	11
15	как бы	7	11
16	как мы	11	10
17	так и	10	10
18	с ним	2	10
19	его в	3	10
20	и потому	3	10
21	но в	8	10
22	самом деле	1	10
23	во всех	3	9
24	и в	41	9
25	по отношению	2	9
26	с его	2	9
27	еще не	2	8
28	отношению к	2	8
29	и все	14	8
30	в своей	3	8
31	оно и	2	8
32	то же	13	8
33	он не	4	8
34	все это	10	8
35	только в	6	8
36	не только	5	8
37	так как	3	8
38	все что	4	8
39	что он	3	8
40	и наконец	4	7
41	во всяком	2	7
42	к нему	5	7
43	отношение к	2	7
44	мы видели	5	7
45	тот же	2	7
46	сказать что	1	7
47	один из	1	7
48	всяком случае	1	7
49	мы уже	12	7
50	в самом	1	7
51	ни в	6	7
52	и с	4	6
53	все те	2	6
54	вовсе не	7	6
55	для него	6	6
56	в ней	5	6
57	того что	2	6
58	никогда не	2	6
59	за пределы	1	6
60	так сказать	3	6
61	и ее	2	6
62	связь с	1	5
63	в период	1	5
64	в этой	13	5
65	что в	9	5
66	в большинстве	2	5
67	не в	9	5
68	а в	5	5
69	он сам	1	5
70	в себя	2	5
71	на самом	2	5
72	но и	9	5
73	знаем что	1	5
74	в чем	2	5
75	с этим	2	5
76	его жизни	1	5
77	и на	4	5
78	в то	10	5
79	и прежде	1	5
80	и к	5	5
81	в каком	1	5
82	большинстве случаев	2	5
83	в свою	3	5
84	последнем счете	1	4
85	в которой	2	4
86	все же	1	4
87	которой мы	1	4
88	же время	9	4
89	данном случае	1	4
90	другими словами	2	4
91	при этом	3	4
92	в более	4	4
93	на которые	1	4
94	и для	5	4
95	мы находим	1	4
96	не было	3	4
97	в жизни	1	4
98	в нем	7	4
99	мы не	2	4
100	таким путем	1	4
101	потому что	5	4
102	совсем не	3	4
103	но не	1	4
104	культура и	1	4
105	между ними	1	4
106	и образы	4	4
107	в следующей	1	4
108	связанных с	3	4
109	в этих	2	4
110	и о	1	4
111	характер и	1	4
112	в последнем	1	4
113	той же	3	4
114	уже не	2	4
115	об этом	1	4
116	в основе	1	4
117	с их	1	4
118	с ними	3	4
119	и др	2	4
120	в котором	1	4
121	в мир	1	4
122	связанные с	3	4
123	нигде не	2	4
124	в таком	1	4
125	к тому	2	4
126	на этом	5	4
127	с самого	2	4
128	я не	3	4
129	если мы	1	4
130	этот вопрос	1	4
131	во время	3	4
132	не имеющие	1	4
133	в данном	2	4
134	и смерть	1	3
135	и вот	2	3
136	от всех	1	3
137	отца и	1	3
138	учение о	2	3
139	в себе	11	3
140	вместе с	5	3
141	в сознании	1	3
142	на место	4	3
143	не знает	3	3
144	а только	2	3
145	и те	3	3
146	ничего общего	1	3
147	и может	2	3
148	о которой	1	3
149	мысли и	1	3
150	он дает	4	3
151	между двумя	1	3
152	как в	5	3
153	настоящего в	1	3
154	и этим	1	3
155	ее в	1	3
156	человека и	1	3
157	и т.п	9	3
158	жизни и	3	3
159	свою очередь	3	3
160	всего к	1	3
161	найдем в	2	3
162	и она	1	3
163	он был	3	3
164	мы имеем	2	3
165	что все	2	3
166	по своему	2	3
167	в них	7	3
168	одна из	4	3
169	у него	6	3
170	слова и	1	3
171	такой же	3	3
172	не могут	1	3
173	и что	1	3
174	она не	1	3
175	уже знаем	1	3
176	на него	1	3
177	со всеми	2	3
178	на этот	1	3
179	сейчас же	1	3
180	себя в	1	3
181	и есть	3	3
182	и по	3	3
183	может стать	2	3
184	к себе	1	3
185	с ее	3	3
186	и от	8	3
187	было бы	4	3
188	и как	2	3
189	самого начала	1	3
190	но это	3	3
191	во втором	1	3
192	они и	2	2
193	что между	2	2
194	без труда	2	2
195	из этой	1	2
196	для всех	2	2
197	отсюда и	2	2
198	очень много	1	2
199	его целом	2	2
200	из них	3	2
201	в другом	1	2
202	в него	1	2
203	конце концов	4	2
204	тех же	1	2
205	того же	3	2
206	от этого	3	2
207	так же	5	2
208	как на	1	2
209	для всего	1	2
210	это уже	1	2
211	только на	2	2
212	рядом с	4	2
213	лежат в	1	2
214	ни было	2	2
215	его и	1	2
216	что это	4	2
217	и другие	3	2
218	в конце	8	2
219	в области	2	2
220	как это	1	2
221	человек не	1	2
222	в их	3	2
223	но их	2	2
224	в глубине	1	2
225	которой он	2	2
226	более того	1	2
227	всех других	1	2
228	и становится	1	2
229	в нашем	1	2
230	влияние на	4	2
231	притом в	1	2
232	правда в	1	2
233	но все	4	2
234	отношения к	1	2
235	и самое	1	2
236	нами выше	1	2
237	ничем не	3	2
238	этого не	1	2
239	все то	3	2
240	в ее	1	2
241	помощью которого	1	2
242	здесь в	1	2
243	на этой	4	2
244	уже указывали	1	2
245	в заключение	2	2
246	этом отношении	2	2
247	по всему	1	2
248	точка зрения	2	2
249	не остается	1	2
250	мы остановимся	1	2
251	дело не	2	2
252	они не	1	2
253	в совершенно	1	2
254	на которой	2	2
255	рассказывает что	1	2
256	в силах	2	2
257	отличие от	1	2
258	это и	1	2
259	в первый	1	2
260	выражение в	3	2
261	сказать и	1	2
262	каждого человека	1	2
263	из тех	1	2
264	в отношении	3	2
265	не без	1	2
266	с которыми	1	2
267	во второй	2	2
268	связано с	2	2
269	в глаза	1	2
270	свое выражение	1	2
271	оно не	2	2
272	в первом	1	2
273	и таким	1	2
274	является по	1	2
275	и даже	1	2
276	все последующие	1	2
277	заметить что	1	2
278	что значит	2	2
279	это было	2	2
280	это прежде	2	2
281	и всей	1	2
282	же что	2	2
283	на всю	2	2
284	и об	1	2
285	в одну	4	2
286	во всей	2	2
287	что и	5	2
288	мы видим	6	2
289	страх и	1	2
290	в процессе	2	2
291	до конца	2	2
292	не совсем	2	2
293	роль в	2	2
294	их в	2	2
295	настоящей главе	1	2
296	в своих	1	2
297	в свой	1	2
298	при помощи	1	2
299	его запретами	1	2
300	все они	6	2
301	так называемый	2	2
302	в такой	1	2
303	есть и	3	2
304	только для	1	2
305	мы говорили	1	2
306	в основном	1	2
307	и у	5	2
308	всего этого	2	2
309	и до	6	2
310	это не	6	2
311	а не	2	2
312	к его	1	2
313	чем же	1	2
314	них и	2	2
315	к этому	5	2
316	и они	1	2
317	и то	2	2
318	и уже	1	2
319	у ребенка	1	2
320	всей его	1	2
321	уже в	5	2
322	себе и	1	2
323	в виду	4	2
324	о нем	3	2
325	человека в	2	2
326	в своем	9	2
327	же самое	1	2
328	не приходится	1	2
329	человека на	1	2
330	также в	1	2
331	том что	4	2
332	и снова	1	2
333	и при	1	2
334	что по	1	1
335	индивидуальной души	2	1
336	по их	1	1
337	одним из	1	1
338	в дальнейшей	1	1
339	и там	1	1
340	здесь наоборот	1	1
341	намека на	1	1
342	момент в	4	1
343	может и	1	1
344	ряде других	1	1
345	почти не	1	1
346	форму и	1	1
347	они так	2	1
348	образом и	2	1
349	всех сторон	1	1
350	и здесь	4	1
351	но она	1	1
352	его от	1	1
353	большей степени	1	1
354	мы слышим	1	1
355	бы в	2	1
356	к той	1	1
357	особенно резко	1	1
358	переходит на	1	1
359	самом же	1	1
360	и самым	2	1
361	из области	1	1
362	укажем на	1	1
363	нам предстоит	1	1
364	из разновидностей	1	1
365	образы этого	1	1
366	за что	2	1
367	же это	1	1
368	и страха	2	1
369	два момента	1	1
370	в двух	1	1
371	странным и	1	1
372	мы говорим	1	1
373	является одним	1	1
374	что они	1	1
375	существует только	1	1
376	жизни с	1	1
377	концов и	1	1
378	потому постоянно	1	1
379	ко всему	1	1
380	переходим к	2	1
381	иногда и	1	1
382	себе то	1	1
383	дает ему	2	1
384	нас не	2	1
385	нет никаких	1	1
386	не был	1	1
387	в область	3	1
388	роль играет	2	1
389	кто не	1	1
390	котором мы	1	1
391	о своих	1	1
392	в настоящем	1	1
393	для них	1	1
394	утверждает что	1	1
395	и со	2	1
396	же при	1	1
397	как с	1	1
398	слышим только	1	1
399	где кончается	1	1
400	подробно и	2	1
401	это я	1	1
402	но даже	1	1
403	со своими	1	1
404	нему и	1	1
405	же мы	1	1
406	с любым	1	1
407	есть в	6	1
408	заимствованные из	1	1
409	помощью каких	1	1
410	в виде	1	1
411	и которые	1	1
412	к ее	1	1
413	не по	1	1
414	на первый	1	1
415	оно было	2	1
416	дает им	1	1
417	то обстоятельство	1	1
418	конечно и	1	1
419	время это	1	1
420	и так	2	1
421	проявляется в	3	1
422	а скорее	1	1
423	рая и	1	1
424	увидим что	1	1
425	и во	2	1
426	некоторых его	1	1
427	к которому	1	1
428	тела в	3	1
429	души в	1	1
430	и совершается	2	1
431	в телесном	1	1
432	и без	1	1
433	та же	4	1
434	в центре	1	1
435	говорят о	1	1
436	а на	2	1
437	борьбы за	1	1
438	свое дело	2	1
439	там же	1	1
440	не знаем	2	1
441	в другой	1	1
442	бы ни	1	1
443	человеческого рода	1	1
444	часть его	1	1
445	как единственного	1	1
446	измерении чем	1	1
447	в одном	3	1
448	это тот	1	1
449	оно рождается	1	1
450	в это	3	1
451	в знаменитом	1	1
452	в строго	1	1
453	одно из	1	1
454	ведь он	1	1
455	все члены	1	1
456	в недрах	2	1
457	же в	2	1
458	его к	3	1
459	от больного	1	1
460	находит свое	2	1
461	явление в	2	1
462	за то	3	1
463	который в	1	1
464	где все	2	1
465	со смертью	1	1
466	которым мы	1	1
467	там и	1	1
468	не мог	2	1
469	в свете	3	1
470	на совершенно	1	1
471	и собственно	1	1
472	в землю	3	1
473	все его	3	1
474	ней для	1	1
475	время в	2	1
476	связан с	2	1
477	определить как	1	1
478	не нашел	1	1
479	этом смысле	1	1
480	превращается в	1	1
481	и самого	2	1
482	путем превращения	1	1
483	что человек	1	1
484	настоящей главы	1	1
485	эти образы	2	1
486	организме человека	1	1
487	к различным	1	1
488	смерти и	1	1
489	то есть	20	1
490	и формы	1	1
491	дело с	1	1
492	в корне	1	1
493	чем-то неожиданным	1	1
494	этом сам	1	1
495	связанное с	2	1
496	образов в	3	1
497	в том	11	1
498	стать и	2	1
499	в ином	1	1
500	не так	1	1
501	элементы и	1	1
502	чем на	1	1
503	сказать где	1	1
504	у них	2	1
505	мира с	1	1
506	еще более	2	1
507	не с	1	1
508	жизнь и	2	1
509	можно определить	1	1
510	больше в	1	1
511	различные формы	1	1
512	и других	2	1
513	из которых	2	1
514	в несколько	1	1
515	на все	1	1
516	которые в	1	1
517	совершаются в	1	1
518	какую бы	1	1
519	а как	1	1
520	в дальнейшем	1	1
521	части этого	1	1
522	и новых	2	1
523	момента в	1	1
524	аналогии с	1	1
525	ни одно	1	1
526	со всех	2	1
527	дано в	1	1
528	не интересует	1	1
529	и телесную	1	1
530	все время	2	1
531	и через	1	1
532	направление в	2	1
533	из этого	1	1
534	объединяет в	2	1
535	не соответствует	1	1
536	для самого	1	1
537	что его	1	1
538	на смену	1	1
539	общего с	1	1
540	похожие на	1	1
541	у всех	1	1
542	обстоятельство что	1	1
543	к новым	1	1
544	и находит	1	1
545	не знала	1	1
546	что на	1	1
547	на одном	5	1
548	своего развития	1	1
549	новое и	1	1
550	этой же	1	1
551	удивительного в	1	1
552	что было	1	1
553	смелой и	1	1
554	бы их	1	1
555	этой картины	1	1
556	или по	1	1
557	как он	2	1
558	умирает и	1	1
559	связаны с	2	1
560	в нее	3	1
561	между всеми	1	1
562	поэтому и	3	1
563	дело в	2	1
564	природы и	1	1
565	никаких оснований	1	1
