N	3gram	Tiupa_Narr_2	VerxiiNi
1	с одной стороны	5	7
2	с точки зрения	2	6
3	во всяком случае	1	6
4	более или менее	1	5
5	до сих пор	1	5
6	а с другой	1	5
7	для того чтобы	1	5
8	о том что	4	4
9	к тому же	4	4
10	так или иначе	1	3
11	точно так же	2	3
12	так же как	2	3
13	в связи с	1	3
14	тем не менее	4	3
15	в том что	8	3
16	в том виде	1	2
17	то же самое	1	2
18	в этом отношении	3	2
19	с этой точки	1	2
20	по сравнению с	1	2
21	то что он	1	2
22	том виде в	1	2
23	то же время	3	2
24	этой точки зрения	1	2
25	той или иной	3	2
26	можно сказать что	3	2
27	в то же	3	2
28	и того же	1	1
29	и все же	2	1
30	а между тем	1	1
31	новое и особенно	1	1
32	не может не	1	1
33	следует заметить что	1	1
34	к созерцательности и	1	1
35	состоит в том	4	1
36	же самое следует	1	1
37	лишь то что	1	1
38	иметь в виду	1	1
39	по отношению к	5	1
40	в которых он	1	1
41	одной из этих	1	1
42	в самом деле	1	1
43	одного и того	1	1
44	к новой жизни	1	1
45	в соответствии с	3	1
46	свидетельствует о том	1	1
47	в таком случае	1	1
48	и в то	1	1
49	что все эти	1	1
50	вследствие того что	1	1
51	все те же	2	1
52	но они не	1	1
53	в то что	1	1
54	виде в каком	1	1
55	том или ином	1	1
56	в том или	1	1
57	в далеком прошлом	1	1
58	по своему характеру	1	1
59	в данном случае	6	1
60	оставляя после себя	1	1
61	но при этом	3	1
62	в отличие от	5	1
63	и потому-то с	1	1
64	не в том	1	1
65	в этом направлении	1	1
66	как бы в	2	1
67	а в том	2	1
68	но в конце	1	1
69	не может быть	2	1
70	но с другой	1	1
71	по всей вероятности	1	1
72	в то время	1	1
73	так и в	1	1
74	в этом последнем	1	1
75	не только не	2	1
76	начинается с того	1	1
77	в этом процессе	1	1
