N	2gram	Vygotskiy__2	IolandNe
1	и с	4	3
2	и не	7	2
3	должен быть	2	2
4	в этом	19	2
5	он не	7	2
6	ничего не	3	2
7	самого себя	1	2
8	что в	14	2
9	бы что	2	2
10	только что	3	1
11	нисколько не	2	1
12	что для	3	1
13	все эти	3	1
14	то и	1	1
15	своего исследования	1	1
16	с другой	6	1
17	с а	1	1
18	для него	3	1
19	того чтобы	12	1
20	того что	17	1
21	отношению к	5	1
22	и о	1	1
23	говорить о	2	1
24	же это	2	1
25	не дает	2	1
26	что при	3	1
27	тех же	1	1
28	в целом	10	1
29	это было	1	1
30	следующим образом	2	1
31	утверждает что	3	1
32	так и	8	1
33	и со	1	1
34	его личности	1	1
35	автора и	1	1
36	видит в	2	1
37	а для	1	1
38	доказать что	1	1
39	доказательство того	1	1
40	в основе	3	1
41	могло бы	1	1
42	по отношению	6	1
43	как о	1	1
44	следовательно в	1	1
45	и сам	3	1
46	стало быть	2	1
47	по поводу	4	1
48	если бы	8	1
49	того же	3	1
50	от этого	2	1
51	факты и	1	1
52	а с	4	1
53	др он	1	1
54	и еще	1	1
55	только для	3	1
56	животных у	1	1
57	и тот	1	1
58	а также	2	1
59	для того	10	1
60	бы в	1	1
61	а в	4	1
62	весь очерк	1	1
63	очевидно что	3	1
64	то она	1	1
65	по существу	5	1
66	и в	15	1
67	как только	2	1
68	ибо и	1	1
69	в эту	4	1
70	все это	4	1
71	более чем	1	1
72	тем что	2	1
73	и др	5	1
74	а по	1	1
75	я не	1	1
76	другой стороны	1	1
77	о ней	1	1
78	никогда не	8	1
79	в них	4	1
