N	3gram	Potebnia_M_4	Poddanst
1	в то же	3	7
2	то же время	3	7
3	в том что	7	4
4	с точки зрения	3	3
5	сами по себе	2	3
6	в сравнении с	1	3
7	с одной стороны	1	3
8	нужно помнить что	1	2
9	в том числе	1	2
10	и не только	1	2
11	но и в	1	2
12	заключает в себе	8	2
13	заключается в том	1	2
14	в том виде	1	1
15	есть не более	1	1
16	половины xix века	1	1
17	да и не	1	1
18	стороны есть нечто	1	1
19	но в душе	1	1
20	в настоящее время	1	1
21	есть для нас	1	1
22	и в этом	4	1
23	и не может	1	1
24	хотя бы и	2	1
25	можно говорить о	1	1
26	и быть может	1	1
27	не было бы	1	1
28	в ряду многих	1	1
29	тех пор пока	2	1
30	в этом деле	2	1
31	вместе с тем	3	1
32	и то что	4	1
33	можно думать что	2	1
34	если бы мы	1	1
35	а в с	1	1
36	не в том	2	1
37	во всяком случае	3	1
38	с другой стороны	1	1
39	не может быть	5	1
40	что то же	1	1
41	быть может не	1	1
42	до тех пор	6	1
43	и знать что	1	1
44	или что то	1	1
45	само по себе	5	1
46	тем и другим	3	1
47	и тем более	1	1
48	не более как	1	1
49	вопрос об отношении	1	1
50	в большинстве случаев	2	1
51	для того чтобы	4	1
52	том числе и	1	1
53	и т д	3	1
