N	3gram	Tiupa_Teor_1	Komedia
1	на себя внимание	1	5
2	обращает на себя	1	5
3	в том что	8	5
4	о том что	1	4
5	для того чтобы	1	4
6	по отношению к	4	3
7	в том числе	2	3
8	так или иначе	4	3
9	в связи с	1	3
10	то же время	5	3
11	в то время	1	3
12	в то же	5	3
13	в этом смысле	2	2
14	в одной из	1	2
15	в отличие от	6	2
16	бы то ни	1	2
17	не более чем	1	2
18	то ни было	1	2
19	с одной стороны	2	2
20	в самом начале	2	2
21	к тому что	2	2
22	в поле зрения	1	2
23	я думаю что	1	1
24	мы имеем дело	2	1
25	каждой из них	1	1
26	в частности все	1	1
27	никак не может	1	1
28	в соответствии с	2	1
29	так и не	4	1
30	как видно из	1	1
31	с точки зрения	3	1
32	том случае если	1	1
33	и в то	1	1
34	том числе и	1	1
35	точно так же	1	1
36	между тем к	1	1
37	в том случае	1	1
38	даже если она	1	1
39	той или иной	1	1
40	в первом случае	1	1
41	если говорить о	1	1
42	имеем дело с	1	1
43	и частной жизни	1	1
44	таким же образом	1	1
45	в целом ряде	1	1
46	с другой стороны	5	1
47	мере в какой	1	1
48	таким образом и	1	1
49	в полной мере	1	1
50	не может быть	4	1
51	она могла бы	1	1
52	того или иного	3	1
53	более или менее	2	1
54	в основе его	1	1
55	в свою очередь	2	1
56	по своему происхождению	1	1
57	друг от друга	1	1
58	в большинстве случаев	1	1
59	с первых же	1	1
60	тем не менее	3	1
61	друг перед другом	1	1
