N	3gram	Medvedev_F_2	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	7	9
4	в том что	2	7
5	на самом деле	3	6
6	во всяком случае	5	6
7	для того чтобы	3	6
8	до сих пор	1	5
9	более или менее	1	4
10	бы то ни	1	4
11	к тому чтобы	2	4
12	в том случае	2	4
13	быть самим собой	1	4
14	не может быть	10	4
15	то ни стало	2	3
16	во что бы	1	3
17	в этом случае	1	3
18	том случае если	1	3
19	вместе с тем	4	3
20	и не может	3	3
21	что бы то	1	3
22	в данном случае	1	3
23	к вопросу о	1	3
24	в конце концов	2	3
25	в настоящее время	1	2
26	только в том	1	2
27	что он не	1	2
28	по самому своему	1	2
29	и во всяком	1	2
30	лишь в том	1	2
31	того или иного	4	2
32	и тем самым	1	2
33	в большинстве случаев	3	2
34	к тому что	2	2
35	сама по себе	1	2
36	она не может	1	2
37	но и к	1	2
38	что же это	1	1
39	из всего этого	3	1
40	для создания нового	1	1
41	прежде всего на	1	1
42	прежде всего в	2	1
43	в свою очередь	1	1
44	как бы не	1	1
45	центр тяжести из	1	1
46	в самом деле	5	1
47	но даже и	1	1
48	и в некоторых	1	1
49	является не только	1	1
50	он не может	1	1
51	и то и	2	1
52	и в других	1	1
53	до известной степени	3	1
54	отнюдь не следует	2	1
55	можно было говорить	1	1
56	только то что	1	1
57	в этом отношении	7	1
58	на этот вопрос	1	1
59	тем в этом	1	1
60	этого отнюдь не	1	1
61	в противном случае	1	1
62	лишь постольку поскольку	2	1
63	по крайней мере	1	1
64	то и другое	2	1
65	и с исторической	1	1
66	роль в истории	1	1
67	какие конкретные формы	1	1
68	в значительной степени	3	1
69	сводится к тому	1	1
70	в применении к	2	1
71	же время в	1	1
72	в том чтобы	1	1
73	но в то	1	1
74	тем что он	1	1
75	смысле этого слова	1	1
76	но при этом	1	1
77	и должно было	1	1
78	и в этом	5	1
79	во всех этих	1	1
80	прежде всего необходимо	1	1
81	этого прежде всего	1	1
82	идет не об	1	1
83	самому своему существу	1	1
84	в связи с	10	1
85	однако они были	1	1
86	в его целом	1	1
87	русского языка и	1	1
88	что он есть	1	1
89	она могла бы	1	1
90	это и есть	1	1
91	всех не только	1	1
92	с самого начала	2	1
93	для этого прежде	1	1
94	но все же	2	1
95	если мы в	1	1
96	и в стремлении	1	1
97	совершенно очевидно что	1	1
98	было говорить о	2	1
99	тем не менее	1	1
100	и прежде всего	2	1
101	в какие конкретные	1	1
102	что оно является	1	1
