N	3gram	Tiupa_Disk_2	Problemy
1	в пределах одного	1	9
2	в большинстве случаев	1	8
3	с точки зрения	2	8
4	к чужому слову	1	6
5	то же время	5	5
6	в то же	4	5
7	по отношению к	4	5
8	в самом деле	1	4
9	не может быть	3	4
10	и не может	2	4
11	в отличие от	12	4
12	как и в	5	3
13	к себе самому	1	3
14	той или иной	3	3
15	с другой стороны	1	3
16	в той или	1	3
17	и то же	2	2
18	двух точек зрения	1	2
19	того и другого	1	2
20	и в большинстве	1	2
21	но при этом	2	2
22	что он ничего	1	2
23	друг от друга	1	2
24	друг на друга	1	2
25	тем не менее	1	2
26	одно и то	2	2
27	о том что	3	1
28	с одной стороны	4	1
29	такой же как	1	1
30	между тем как	1	1
31	так и в	3	1
32	при всей ее	1	1
33	в одном из	1	1
34	бы то ни	1	1
35	это еще не	2	1
36	при этом не	1	1
37	времени и пространства	1	1
38	можно сказать что	1	1
39	при этом слово	1	1
40	то ни было	1	1
41	в том что	6	1
42	но в большинстве	1	1
43	в этом мире	2	1
44	но в этом	1	1
45	в значительной степени	1	1
46	в равной степени	1	1
47	не менее в	1	1
48	который не был	1	1
49	в том числе	1	1
50	между рассказом и	1	1
51	чужой речи и	1	1
52	прежде всего в	1	1
53	том числе и	1	1
54	дело в том	2	1
55	в пределах одной	1	1
56	героя никогда не	1	1
57	каждый из них	1	1
58	лишь в одном	1	1
59	и каждый из	1	1
60	но прежде всего	1	1
61	как и всякое	2	1
62	во всяком случае	1	1
63	а не как	1	1
64	прежде всего на	1	1
65	одной стороны и	2	1
66	по крайней мере	1	1
