N	3gram	Nazirov_Tv_1	SlovoVZh
1	по отношению к	1	11
2	можно сказать что	2	5
3	дело в том	3	4
4	в том что	6	4
5	тем не менее	2	3
6	бы то ни	1	3
7	до сих пор	1	3
8	это как бы	3	3
9	то ни было	1	3
10	мы никогда не	1	2
11	имеем в виду	1	2
12	на самом деле	2	2
13	с другой стороны	1	2
14	мы все время	1	2
15	то же самое	1	2
16	в отношении к	1	2
17	в данном случае	2	2
18	в настоящее время	1	2
19	с одной стороны	1	2
20	том что в	2	1
21	каких бы то	1	1
22	с большим трудом	1	1
23	с ним на	1	1
24	все более и	1	1
25	одна и та	1	1
26	самом же деле	1	1
27	нам кажется что	1	1
28	равно как и	1	1
29	сами по себе	1	1
30	в свою очередь	1	1
31	и та же	2	1
32	на самом же	1	1
33	о том что	5	1
34	но все это	1	1
35	только то что	1	1
36	в творчестве достоевского	4	1
37	с самого начала	3	1
38	в конечном счете	4	1
39	более и более	1	1
40	то же время	12	1
41	в русской литературе	2	1
42	мы имеем в	1	1
43	человек и его	1	1
44	по крайней мере	2	1
45	в то же	13	1
46	записок из подполья	3	1
47	место в творчестве	2	1
48	как и в	1	1
49	к тому же	1	1
50	но в то	4	1
51	это прежде всего	1	1
52	к вопросу о	1	1
53	автор как бы	1	1
54	в том же	1	1
