N	2gram	Bakhtin_Pr_1	Tvorches
1	и в	38	20
2	в романе	4	15
3	и т	14	13
4	не только	9	13
5	т д	1	11
6	никогда не	5	11
7	как бы	22	11
8	таким образом	10	10
9	в его	43	10
10	в то	4	10
11	и не	42	9
12	и его	16	9
13	и с	17	8
14	прежде всего	13	8
15	при этом	5	8
16	ивана карамазова	2	8
17	в том	8	8
18	но и	9	8
19	в этом	15	8
20	может быть	26	8
21	же время	3	7
22	не может	27	7
23	что в	7	7
24	то же	5	7
25	это не	5	7
26	как и	7	6
27	так и	5	6
28	в своей	7	6
29	из подполья	1	6
30	в целом	3	6
31	именно в	1	6
32	все это	3	6
33	а не	5	6
34	что он	2	6
35	но не	12	5
36	все же	6	5
37	еще не	7	5
38	так же	1	5
39	то есть	46	5
40	если он	1	5
41	например в	3	5
42	и на	3	5
43	в этой	1	5
44	в творчестве	1	5
45	в мире	3	5
46	и даже	3	5
47	о том	4	5
48	но это	3	5
49	все эти	5	4
50	в известной	3	4
51	отнюдь не	19	4
52	не в	7	4
53	тем самым	4	4
54	а в	6	4
55	в принципе	1	4
56	хотя и	3	4
57	творчестве достоевского	1	4
58	как в	4	4
59	в дальнейшем	3	4
60	в душе	1	4
61	что у	1	4
62	в чем	2	4
63	и от	3	4
64	и потому	4	4
65	ничего не	6	4
66	если бы	3	4
67	но в	4	4
68	том что	3	4
69	в себе	4	3
70	место в	8	3
71	одна из	2	3
72	в область	3	3
73	отношению к	19	3
74	до сих	1	3
75	в нем	15	3
76	в их	10	3
77	для него	1	3
78	его в	9	3
79	жизни в	1	3
80	одной из	3	3
81	вместе с	1	3
82	с ним	5	3
83	но зато	2	3
84	в начале	2	3
85	в таком	3	3
86	между тем	7	3
87	человека и	1	3
88	что не	4	3
89	в плане	7	3
90	и др	8	3
91	он не	3	3
92	так например	1	3
93	тем что	2	3
94	и мы	1	3
95	уже не	1	3
96	то что	8	3
97	в котором	2	3
98	сих пор	1	3
99	в самом	7	3
100	человека в	2	3
101	в своих	2	3
102	по отношению	21	3
103	и это	3	3
104	это определение	1	3
105	в которых	1	3
106	к этому	2	3
107	не является	3	3
108	характера и	2	3
109	этот вопрос	1	3
