N	3gram	Vinokur_Vv_1	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	4	7
3	с точки зрения	2	6
4	во всяком случае	3	6
5	до сих пор	5	5
6	по крайней мере	4	5
7	для того чтобы	21	5
8	о том что	12	4
9	но все же	3	4
10	так или иначе	4	3
11	а так как	2	3
12	точно так же	2	3
13	с течением времени	6	3
14	в конце концов	2	3
15	так же как	1	3
16	в связи с	2	3
17	тем не менее	8	3
18	в том что	12	3
19	в том виде	3	2
20	то же самое	2	2
21	потому что и	1	2
22	в этом отношении	3	2
23	и для того	1	2
24	заключает в себе	1	2
25	в значительной мере	1	2
26	с этой точки	1	2
27	то или иное	1	2
28	может быть и	2	2
29	то ни было	1	2
30	по сравнению с	3	2
31	бы то ни	1	2
32	но вместе с	2	2
33	том виде в	1	2
34	то же время	5	2
35	этой точки зрения	1	2
36	с самого начала	1	2
37	той или иной	1	2
38	не как на	1	2
39	можно сказать что	3	2
40	к одной из	1	2
41	в то же	5	2
42	и в этом	3	2
43	влечет за собой	2	2
44	его можно только	1	2
45	здесь идет речь	1	1
46	и того же	2	1
47	а между тем	1	1
48	и есть то	1	1
49	в широком смысле	7	1
50	что в этом	2	1
51	сказать что в	1	1
52	в прямом смысле	2	1
53	состоит в том	2	1
54	одном и том	1	1
55	уже не имеет	1	1
56	по отношению к	4	1
57	имеем в виду	1	1
58	одной из этих	1	1
59	в самом деле	5	1
60	в настоящее время	1	1
61	греков и римлян	3	1
62	одного и того	2	1
63	невозможно но все	1	1
64	в соответствии с	2	1
65	а потому что	1	1
66	по своему значению	2	1
67	не вполне ясно	1	1
68	как на совокупность	1	1
69	вместе с другими	1	1
70	в котором они	1	1
71	так чтобы не	1	1
72	в одном и	1	1
73	в каком он	1	1
74	с тем что	3	1
75	совершенно ясно что	1	1
76	виде в каком	1	1
77	с этим и	1	1
78	том или ином	1	1
79	но и как	1	1
80	зависит от характера	2	1
81	в том или	1	1
82	в далеком прошлом	1	1
83	по своему характеру	1	1
84	в данном случае	4	1
85	не потому что	1	1
86	в первом случае	2	1
87	и т.д в	1	1
88	но в то	3	1
89	как видно из	1	1
90	это однако не	2	1
91	тот факт что	1	1
92	на задний план	1	1
93	смысле этого слова	2	1
94	и том же	1	1
95	и не могут	2	1
96	только в одном	1	1
97	в отличие от	3	1
98	одно из двух	1	1
99	по тому же	1	1
100	но в общем	1	1
101	потому что в	1	1
102	не только как	3	1
103	не в том	2	1
104	котором здесь идет	1	1
105	о полку игореве	1	1
106	развития тем более	1	1
107	тем или иным	1	1
108	теснее связана с	1	1
109	а как на	1	1
110	с другой стороны	5	1
111	лицом к лицу	1	1
112	что оно имеет	1	1
113	а в том	1	1
114	здесь таким образом	1	1
115	только то что	1	1
116	может ли быть	1	1
117	у него в	1	1
118	не может быть	8	1
119	в общих чертах	1	1
120	но с другой	1	1
121	в свою очередь	1	1
122	течением времени в	1	1
123	и никогда не	1	1
124	по языку и	1	1
125	не менее совершенно	1	1
126	широком смысле этого	2	1
127	что это есть	1	1
128	на нее не	1	1
129	и в результате	1	1
130	мы имеем в	1	1
131	так как эти	1	1
132	после того как	2	1
133	и не потому	1	1
134	между русскими и	2	1
135	о котором здесь	2	1
136	что мы можем	1	1
137	тем что в	1	1
138	еще при жизни	2	1
139	может быть в	2	1
140	как на нечто	1	1
141	только тогда когда	1	1
