N	2gram	Vygotskiy__3	Tvorches
1	и в	25	20
2	не только	6	13
3	никогда не	4	11
4	как бы	10	11
5	таким образом	17	10
6	в его	15	10
7	в то	4	10
8	и не	10	9
9	и его	2	9
10	и с	1	8
11	прежде всего	4	8
12	при этом	5	8
13	в том	23	8
14	но и	4	8
15	в этом	14	8
16	может быть	13	8
17	не может	6	7
18	потому что	6	7
19	что в	17	7
20	то же	2	7
21	наряду с	3	7
22	представление о	1	7
23	как и	15	6
24	так и	5	6
25	в конце	1	6
26	в своей	2	6
27	у него	1	6
28	в целом	13	6
29	именно в	5	6
30	все это	6	6
31	а не	1	6
32	что он	6	6
33	в основном	6	6
34	но не	6	5
35	все же	6	5
36	еще не	4	5
37	так же	17	5
38	например в	1	5
39	и сам	3	5
40	и на	6	5
41	в этой	5	5
42	в мире	2	5
43	и даже	1	5
44	о том	5	5
45	но это	5	5
46	все эти	7	4
47	на его	2	4
48	что они	10	4
49	в известной	1	4
50	показывает что	8	4
51	отнюдь не	4	4
52	не в	6	4
53	тем самым	2	4
54	мы не	9	4
55	об этом	2	4
56	а в	4	4
57	хотя и	2	4
58	что она	5	4
59	как в	9	4
60	в дальнейшем	1	4
61	за собой	1	4
62	что у	1	4
63	в чем	2	4
64	и от	2	4
65	и потому	2	4
66	если бы	5	4
67	когда он	3	4
68	мы видим	3	4
69	но в	1	4
70	том что	20	4
71	в свете	2	3
72	одним из	5	3
73	в себе	2	3
74	место в	2	3
75	одна из	2	3
76	в область	1	3
77	отношению к	2	3
78	до сих	1	3
79	в нем	2	3
80	для него	5	3
81	его в	3	3
82	вместе с	14	3
83	с ним	4	3
84	превращается в	1	3
85	с этой	3	3
86	в начале	2	3
87	в таком	2	3
88	а затем	1	3
89	видим его	1	3
90	между тем	3	3
91	в пользу	5	3
92	и через	1	3
93	человека и	5	3
94	что не	1	3
95	в плане	2	3
96	один из	6	3
97	он не	4	3
98	тем что	8	3
99	уже не	2	3
100	то что	15	3
101	в котором	3	3
102	же как	6	3
103	сих пор	1	3
104	в самом	3	3
105	заставляет нас	1	3
106	в своих	2	3
107	по отношению	3	3
108	и это	4	3
109	это определение	1	3
110	в которых	3	3
111	к этому	3	3
112	по мнению	1	3
113	не является	8	3
114	так как	12	3
115	а с	3	3
116	этот вопрос	3	3
117	быть может	1	3
118	в которой	1	2
119	между людьми	1	2
120	приводит к	4	2
121	в такой	1	2
122	другой стороны	3	2
123	для которого	1	2
124	этой задачи	2	2
125	не стоит	2	2
126	в этот	1	2
127	не менее	6	2
128	начиная с	1	2
129	вовсе не	1	2
130	связь с	3	2
131	в виде	3	2
132	уже после	1	2
133	влечет за	1	2
134	в окончательном	1	2
135	и вообще	1	2
136	к которому	3	2
137	включает в	2	2
138	не так	1	2
139	бы не	1	2
140	так что	2	2
