N	3gram	Vinokur_Vv_1	Sovremen
1	в зависимости от	1	3
2	и той же	2	1
3	как он выражается	2	1
4	в этом случае	6	1
5	из этих двух	1	1
6	в отличие от	3	1
7	так же как	1	1
8	дело в том	2	1
9	одной и той	2	1
10	в то же	5	1
11	на этот вопрос	3	1
12	цель и в	1	1
13	влечет за собой	2	1
14	все это делает	1	1
15	с одной стороны	4	1
16	в одном случае	1	1
17	как мы видим	1	1
18	все же в	1	1
19	одной стороны и	3	1
20	в том что	12	1
21	в свою очередь	1	1
22	то же самое	2	1
23	то же время	5	1
24	представление о том	1	1
25	из которых в	1	1
26	не может быть	8	1
