N	3gram	Bakhtin_fo_2	Istorich
1	с другой стороны	1	8
2	и т д	3	8
3	с одной стороны	1	7
4	в этом случае	2	6
5	в том что	3	5
6	до сих пор	2	4
7	не только в	5	4
8	о том что	1	4
9	мы имеем в	2	4
10	о том как	3	3
11	вместе с тем	1	3
12	в данном случае	1	3
13	то время как	1	3
14	в то время	1	3
15	за тридевять земель	1	3
16	не может быть	1	3
17	здесь еще нет	1	2
18	на первый план	2	2
19	связь его с	1	2
20	но и в	3	2
21	как это делают	1	2
22	так как он	1	2
23	таким образом и	1	2
24	с этим в	1	2
25	все больше и	1	2
26	больше и больше	1	2
27	но все же	1	2
28	ее к себе	1	2
29	как и в	1	2
30	что и в	1	2
31	как мы видели	1	2
32	в другом месте	2	1
33	в этом мире	6	1
34	и в особенности	3	1
35	в том числе	3	1
36	том что он	1	1
37	в частности в	1	1
38	говорит он что	1	1
39	он что в	1	1
40	в преисподней в	1	1
41	друг на друга	2	1
42	должна быть объяснена	1	1
43	наряду с этим	1	1
44	по аналогии с	1	1
45	с тем что	1	1
46	том числе и	2	1
47	на первый взгляд	1	1
48	со всех сторон	1	1
49	с этой точки	1	1
50	в нем мы	1	1
51	здесь еще не	1	1
52	для борьбы с	1	1
53	одно и то	1	1
54	в загробном мире	1	1
55	в царстве мертвых	2	1
56	но при этом	1	1
57	на друга но	1	1
58	и то же	1	1
59	а также и	1	1
60	обстоит дело с	1	1
61	на островах и	1	1
62	на землю и	1	1
63	это не значит	1	1
64	мы уже говорили	3	1
65	под землей то	1	1
66	в связи со	1	1
67	как бы в	1	1
68	этой точки зрения	1	1
69	в борьбе с	2	1
70	похожи друг на	2	1
71	и вместе с	1	1
72	мире по ту	1	1
73	это значит что	2	1
74	больше и они	1	1
75	можно сказать что	1	1
76	в иной мир	1	1
77	еще никогда не	1	1
78	с другом и	1	1
79	друг с другом	4	1
80	для того чтобы	7	1
