N	3gram	Tiupa_Vved_1	Otkroven
1	и в этом	1	2
2	в этом мире	1	2
3	никогда не было	1	2
4	а не в	1	2
5	не может быть	3	2
6	но и в	2	2
7	как будто бы	3	1
8	хотя и не	1	1
9	по природе своей	1	1
10	не в том	1	1
11	с утра до	1	1
12	на людей и	1	1
13	как бы в	1	1
14	о том как	1	1
15	так и не	1	1
16	и все же	4	1
17	не было и	1	1
18	во всяком случае	1	1
19	само по себе	1	1
20	о том что	4	1
21	в этом отношении	4	1
22	и в самом	1	1
23	заключает в себе	1	1
24	и прежде всего	1	1
25	в том что	3	1
26	на то что	1	1
27	что есть на	1	1
28	утра до вечера	1	1
29	вместо того чтоб	1	1
30	бы и не	2	1
31	вместо того чтобы	1	1
32	а не только	1	1
33	как и в	2	1
