N	3gram	Bakhtin_sl_2	Istorich
1	и т д	2	18
2	в этих случаях	1	8
3	до сих пор	2	6
4	в этом случае	6	5
5	в том что	4	5
6	но все же	4	4
7	что он не	1	4
8	со всех сторон	1	4
9	не только в	2	4
10	в связи с	2	4
11	по отношению к	4	3
12	с одной стороны	5	3
13	мы увидим что	1	3
14	и может быть	1	2
15	иметь в виду	1	2
16	для наших целей	1	2
17	но и в	1	2
18	во всех этих	1	2
19	с другой стороны	1	2
20	не может быть	15	2
21	всех этих случаях	1	2
22	о том что	1	2
23	с самого начала	1	2
24	на то что	1	2
25	том что в	1	1
26	и связанные с	2	1
27	в этой роли	1	1
28	и не могут	1	1
29	дело не только	1	1
30	влечет за собой	1	1
31	и не только	1	1
32	но и со	1	1
33	в зависимости от	4	1
34	в отличие от	12	1
35	эти слова могут	1	1
36	до конца и	1	1
37	слова в этих	1	1
38	как один из	1	1
39	тем не менее	1	1
40	параллельно с этим	1	1
41	связи с изучением	1	1
42	не только самый	1	1
43	мы можем сказать	1	1
44	по себе а	1	1
45	вовсе не в	1	1
46	мы не можем	1	1
47	себя и в	1	1
48	не только не	1	1
49	в другом случае	1	1
50	это как бы	1	1
51	и в нем	1	1
52	том что он	1	1
53	мы видели что	1	1
54	всего этого не	1	1
