N	3gram	Nazirov_Tr_1	Problemy
1	не может быть	1	8
2	и не может	1	7
3	то же время	5	5
4	в то же	5	5
5	в самом деле	1	4
6	как и все	1	4
7	в отличие от	2	3
8	сам по себе	1	3
9	как и в	1	3
10	у достоевского в	1	2
11	преступлении и наказании	2	2
12	в том что	2	2
13	но в то	2	2
14	то и он	1	2
15	о том что	2	2
16	в преступлении и	2	2
17	в одном из	1	2
18	в этом романе	1	2
19	в братьях карамазовых	1	2
20	по замыслу достоевского	2	1
21	в известной степени	1	1
22	ивана карамазова в	1	1
23	и всегда будет	1	1
24	том что он	1	1
25	а между тем	1	1
26	в этом случае	1	1
27	все в этом	1	1
28	хотя бы и	1	1
29	в столкновение с	1	1
30	в той же	1	1
31	голядкина в двойнике	1	1
32	романах достоевского все	1	1
33	в селе степанчикове	1	1
34	в романе идиот	3	1
35	в известной мере	1	1
36	все как бы	1	1
37	в данном случае	2	1
38	не к области	1	1
39	в конце концов	1	1
40	в xx веке	1	1
41	но при этом	1	1
42	по сравнению с	1	1
43	все же не	1	1
44	в xix веке	1	1
45	в связи с	1	1
46	не только к	1	1
47	в мире достоевского	1	1
48	во всяком случае	1	1
49	вместо того чтобы	1	1
50	в романе бесы	1	1
51	между этими двумя	2	1
52	мы бы сказали	1	1
53	романа и в	1	1
54	так и в	3	1
55	роль в романе	1	1
56	и вместе с	1	1
57	ничем не ограниченного	1	1
58	i прежде всего	1	1
59	но и на	1	1
60	и он сам	1	1
61	с самого начала	1	1
62	но все же	2	1
63	как своего рода	1	1
64	после того как	1	1
65	к тому что	1	1
66	настасья филипповна в	1	1
67	одном из своих	1	1
68	значение для понимания	1	1
69	в высшей степени	1	1
70	в какой-то мере	1	1
71	друг друга и	1	1
72	не знать и	1	1
