N	2gram	Vinokur_St_2	Tvorches
1	и в	29	21
2	как бы	5	17
3	в то	2	15
4	то же	2	13
5	в его	13	13
6	как и	2	12
7	же время	1	12
8	что в	19	12
9	с его	2	11
10	том что	27	11
11	все это	11	10
12	в романе	4	10
13	как в	3	8
14	он не	9	8
15	то что	11	8
16	в году	3	7
17	и на	6	7
18	но в	8	7
19	не только	19	7
20	при этом	2	7
21	во многом	2	7
22	у него	1	7
23	и не	9	7
24	в том	27	7
25	в свою	1	7
26	в этом	21	6
27	в творчестве	1	6
28	в котором	7	6
29	не менее	3	6
30	и его	6	6
31	он сам	1	6
32	о том	17	6
33	и все	1	6
34	что он	13	6
35	для него	4	6
36	xix века	3	6
37	а в	1	6
38	жизни в	1	6
39	все же	6	5
40	в этой	2	5
41	таким образом	10	5
42	вовсе не	6	5
43	в своих	1	5
44	в русской	5	5
45	потому что	9	5
46	как будто	1	5
47	по нашему	1	5
48	только в	2	5
49	может быть	2	5
50	а не	5	5
51	но это	3	5
52	хотя бы	3	5
53	не имеют	1	4
54	из всех	1	4
55	в ф	1	4
56	в своем	9	4
57	и как	2	4
58	в своей	7	4
59	своего рода	5	4
60	в эпилоге	1	4
61	не случайно	1	4
62	времени и	4	4
63	одной из	3	4
64	больше не	1	4
65	прежде всего	5	4
66	на эту	1	4
67	в момент	1	4
68	не может	2	4
69	и от	1	4
70	один из	1	4
71	с большой	1	4
72	одним из	6	4
73	ту же	1	3
74	и т	9	3
75	на самом	3	3
76	это и	1	3
77	той же	1	3
78	я не	7	3
79	не был	3	3
80	что я	2	3
81	хотя и	4	3
82	в самом	7	3
83	представляет собой	1	3
84	в нем	4	3
85	первой части	2	3
86	в россии	3	3
87	на его	2	3
88	и по	3	3
89	в каждом	1	3
90	что все	1	3
91	и с	4	3
92	в их	3	3
93	место в	1	3
94	представление о	1	3
95	даже в	2	3
96	дело не	2	3
97	самого начала	3	3
98	дело в	4	3
99	не по	2	3
100	героев и	1	3
101	никогда не	3	3
