N	3gram	Trubetskoy_1	Marksizm
1	с точки зрения	6	13
2	не может быть	1	10
3	по отношению к	1	8
4	то же время	2	8
5	в то же	2	8
6	в связи с	3	7
7	для того чтобы	5	6
8	в том что	3	6
9	в самом деле	1	5
10	то же самое	2	5
11	может быть и	2	5
12	но в то	1	5
13	с самого начала	2	5
14	в свою очередь	1	5
15	смысле этого слова	1	4
16	и того же	1	4
17	бы то ни	2	4
18	то ни было	2	4
19	той или иной	2	4
20	одного и того	1	4
21	в таком случае	1	3
22	в отличие от	1	3
23	до сих пор	5	3
24	с одной стороны	7	3
25	о том что	4	3
26	более или менее	5	2
27	в этом последнем	1	2
28	по крайней мере	5	2
29	во всяком случае	6	2
30	с нашей точки	1	2
31	все более и	1	2
32	так и от	2	2
33	до настоящего времени	1	2
34	из одного и	1	2
35	нашей точки зрения	1	2
36	на то что	2	2
37	более и более	1	2
38	к тому же	4	2
39	а следовательно и	1	1
40	и связанные с	2	1
41	чуть ли не	1	1
42	с одним из	2	1
43	в том числе	5	1
44	не совсем так	1	1
45	можно говорить лишь	1	1
46	в соответствии с	1	1
47	обстоит дело с	1	1
48	в широком смысле	1	1
49	не как на	2	1
50	ни к чему	1	1
51	до известной степени	1	1
52	сами по себе	1	1
53	что все эти	1	1
54	в первую очередь	1	1
55	в этом отношении	2	1
56	но они не	1	1
57	том числе и	4	1
58	с ними в	1	1
59	в этом процессе	1	1
60	так или иначе	3	1
61	но тем не	1	1
62	по сравнению с	2	1
63	тем не менее	3	1
64	а с другой	5	1
65	хотя бы с	1	1
66	мы уже говорили	1	1
67	в этом направлении	1	1
68	того же материала	1	1
69	тем или иным	1	1
70	к чему не	1	1
71	а как на	1	1
72	с другой стороны	1	1
73	мы видели что	1	1
74	щепетильность в вопросах	1	1
75	не совпадает с	1	1
76	таким образом в	2	1
77	так и в	1	1
78	то или иное	2	1
79	в себе не	1	1
80	с тем что	1	1
81	так обстоит дело	1	1
82	но все же	4	1
83	можно сказать что	2	1
84	к одной из	2	1
85	друг с другом	5	1
86	лицом к лицу	1	1
87	свидетельствует о том	1	1
88	что оно является	1	1
