N	2gram	Medvedev_V_1	Literetu
1	а не	7	20
2	и в	26	19
3	может быть	22	17
4	в стихотворении	1	13
5	то же	10	12
6	и не	19	11
7	как и	7	10
8	в том	15	10
9	но и	10	10
10	в этом	26	9
11	в то	6	9
12	же время	5	9
13	не может	17	9
14	не только	25	8
15	в стихах	1	8
16	и даже	2	8
17	с другой	11	8
18	слова и	1	7
19	том что	8	7
20	так и	5	7
21	с одной	2	7
22	то что	6	7
23	в себе	6	6
24	не менее	2	6
25	одной стороны	2	6
26	в году	6	5
27	но не	2	5
28	конечном счете	5	5
29	он не	2	5
30	одна из	4	5
31	в конечном	7	5
32	в качестве	11	5
33	у нас	2	5
34	то есть	1	5
35	того что	3	5
36	вместе с	7	5
37	в сфере	2	4
38	по отношению	7	4
39	отнюдь не	3	4
40	человека в	2	4
41	для него	8	4
42	точки зрения	3	4
43	не в	6	4
44	даже в	5	4
45	в области	2	4
46	ли не	2	4
47	в ней	2	4
48	еще в	1	4
49	в его	14	4
50	один из	5	4
51	и других	1	4
52	не случайно	1	4
53	каждый из	1	4
54	тем что	1	4
55	прежде всего	13	4
56	в частности	11	4
57	в искусстве	6	4
58	другой стороны	8	4
59	жизни и	3	4
60	что в	10	4
61	речь идет	1	3
62	одним из	5	3
63	и то	1	3
64	и он	2	3
65	во всех	6	3
66	в этой	4	3
67	в нем	6	3
68	в их	5	3
69	том чтобы	2	3
70	вплоть до	2	3
71	не столько	2	3
72	никогда не	4	3
73	сознания в	1	3
74	и его	6	3
75	маяковский в	1	3
76	личности в	1	3
77	данном случае	1	3
78	в другом	2	3
79	всего лишь	3	3
80	но с	2	3
81	в поэзии	1	3
82	а в	3	3
83	себе и	2	3
84	этом отношении	13	3
85	и др	9	3
86	в данном	1	3
87	а именно	1	3
88	по существу	3	3
89	но это	1	3
90	в начале	1	3
91	и для	2	3
92	на свою	1	3
93	и как	3	3
94	что он	4	3
95	отношению к	7	3
96	как на	3	3
97	ту же	2	2
98	и т	23	2
99	же как	2	2
100	поэзии и	1	2
101	из своих	2	2
102	на себя	1	2
103	с ее	1	2
104	из того	1	2
105	в каждой	1	2
106	во имя	1	2
107	но как	3	2
108	если в	2	2
109	очевидно что	7	2
110	в истории	1	2
111	в художественном	10	2
112	все же	5	2
113	и наконец	2	2
114	творчества как	3	2
115	и к	3	2
116	но в	2	2
117	в противоположность	3	2
118	то в	1	2
119	в целом	4	2
120	как он	2	2
121	и сам	1	2
122	подобно тому	2	2
123	на этом	1	2
124	одно и	1	2
125	в каждом	2	2
126	а затем	2	2
127	при которой	1	2
128	в жизни	2	2
129	в них	4	2
130	соответствии с	1	2
131	с этой	1	2
132	с тем	3	2
133	он и	2	2
134	и еще	1	2
135	как бы	5	2
136	художественного творчества	18	2
137	и без	1	2
138	одном из	3	2
139	по крайней	2	2
140	не по	2	2
141	в основе	1	2
142	но только	1	2
143	не вполне	2	2
144	лишь его	1	2
145	в образах	1	2
146	уже о	1	2
147	могут быть	5	2
148	даже и	3	2
149	для того	3	2
150	в виду	4	2
151	говоря уже	1	2
152	в ее	4	2
153	это как	1	2
154	то как	1	2
155	еще не	2	2
156	для этого	1	2
157	о том	10	2
158	и что	1	2
159	для нас	1	2
160	а также	1	2
161	области искусства	1	2
162	а потому	1	2
163	крайней мере	2	2
164	в русском	1	2
165	в него	1	2
166	было бы	7	2
167	могло бы	2	2
168	одной из	1	2
169	в какой	1	2
170	друг друга	1	2
171	потому что	1	2
172	уже не	1	2
173	уже в	1	2
174	свидетельствует о	1	2
175	из них	9	2
176	ведь это	1	2
177	в одном	4	2
178	т п	9	2
179	в конце	3	2
180	что и	3	2
181	вовсе не	3	2
182	при всей	2	2
183	у него	6	2
184	как раз	3	2
185	наконец в	1	2
186	себя и	1	2
187	что не	3	2
188	не было	7	2
189	мира в	1	2
190	как это	12	2
191	из которых	2	2
192	тому как	2	2
193	это его	1	2
194	при всем	3	2
195	не является	5	2
196	в результате	5	2
197	а к	1	2
198	хотя бы	19	2
199	с ним	1	2
200	же в	6	2
201	не говоря	1	2
202	из тех	1	2
203	сознания на	1	2
204	к этой	1	2
205	в роли	1	2
206	в своих	2	2
207	том числе	2	2
208	с новыми	1	1
209	коренное отличие	1	1
210	в движение	1	1
211	с жизнью	1	1
212	начинается с	1	1
213	вдохновение к	1	1
214	это и	6	1
215	пушкин в	2	1
216	и закон	1	1
217	обойтись без	1	1
218	мы имеем	3	1
219	как мы	1	1
220	сведена к	1	1
221	целым рядом	1	1
222	эстетики и	1	1
223	а для	2	1
224	но даже	3	1
225	процессов в	1	1
226	к общему	1	1
227	меньшей степени	2	1
228	он был	1	1
229	он сам	2	1
230	за это	1	1
231	в чем	2	1
232	художественном творчестве	6	1
233	самом деле	1	1
234	путь для	1	1
235	у н	1	1
236	к творчеству	1	1
237	органической связи	2	1
238	он пишет	7	1
239	за пределы	1	1
240	нем уже	1	1
241	относится к	2	1
242	которые не	1	1
243	это самое	1	1
244	более чем	1	1
245	общего с	1	1
246	как в	1	1
247	стороны и	2	1
248	этой точки	2	1
249	есть в	1	1
250	же автор	1	1
251	когда он	3	1
252	что по	1	1
253	ноябре года	1	1
254	и художественного	3	1
255	познанная необходимость	1	1
256	художников не	1	1
257	и свою	1	1
258	в самом	4	1
259	героя и	1	1
260	ни один	7	1
261	все эти	6	1
262	у каждого	1	1
263	в известном	1	1
264	к достижению	1	1
265	рассказ о	1	1
266	если есть	1	1
267	но он	1	1
268	искусство это	1	1
269	быть под	1	1
270	на то	1	1
271	для творца	1	1
272	например как	1	1
273	в классическом	1	1
274	не следует	8	1
275	в статье	4	1
276	конце концов	2	1
277	всех этих	2	1
278	своей поэтической	1	1
279	есть познанная	1	1
280	и понятий	1	1
281	никак не	1	1
282	свобода есть	1	1
283	в творческом	2	1
284	что ни	2	1
285	и по	3	1
286	таким образом	31	1
287	им как	2	1
288	нам остается	2	1
289	только не	2	1
290	его не	3	1
291	в ход	1	1
292	а по	1	1
293	по выражению	1	1
294	на протяжении	1	1
