N	2gram	Savitsky_E_1	OGranits
1	и в	37	13
2	и его	1	12
3	прежде всего	9	9
4	может быть	6	8
5	не может	9	8
6	и не	14	8
7	в его	2	7
8	и их	1	7
9	точки зрения	23	7
10	только в	9	6
11	как бы	6	6
12	не только	18	6
13	то что	6	6
14	мы должны	2	6
15	таким образом	2	6
16	все же	1	5
17	и наконец	2	5
18	с точки	17	5
19	в процессе	4	5
20	хотя бы	15	5
21	и эта	2	5
22	мы не	4	4
23	социальной группы	1	4
24	но в	14	4
25	мы можем	3	4
26	то же	15	4
27	лишь в	1	4
28	в сознании	1	4
29	в своей	8	4
30	было бы	8	4
31	только и	1	4
32	в двух	1	4
33	не является	3	4
34	вполне понятно	1	4
35	связана с	1	3
36	и то	2	3
37	в ее	8	3
38	в пределах	25	3
39	так и	10	3
40	говорить о	1	3
41	в их	11	3
42	по отношению	1	3
43	за пределы	1	3
44	только путем	1	3
45	с этим	2	3
46	в себе	9	3
47	не как	1	3
48	в одном	2	3
49	так как	7	3
50	но и	14	3
51	как и	7	3
52	что же	2	3
53	не в	5	3
54	и для	3	3
55	никогда не	3	3
56	и все	2	3
57	что в	21	3
58	и наиболее	2	2
59	для себя	1	2
60	данном случае	2	2
61	представим себе	1	2
62	и этот	2	2
63	те же	1	2
64	есть не	2	2
65	мог бы	2	2
66	если бы	2	2
67	может в	1	2
68	мира если	1	2
69	в ней	4	2
70	ее в	3	2
71	а также	7	2
72	между тем	8	2
73	в общем	3	2
74	во всей	2	2
75	вслед за	6	2
76	к сожалению	1	2
77	и следовательно	1	2
78	его на	2	2
79	как в	3	2
80	в которую	1	2
81	только ее	1	2
82	в данном	3	2
83	в этом	12	2
84	но так	1	2
85	в полном	1	2
86	в том	11	2
87	мы видим	2	2
88	тот же	1	2
89	с ними	1	2
90	или иного	4	2
91	с г	1	2
92	от этого	5	2
93	и отчасти	2	2
94	в этот	1	2
95	которое мы	1	2
96	и тем	3	2
97	все эти	1	2
98	с одной	8	2
99	думать что	8	2
100	уже в	1	2
101	кажется что	2	2
102	в нем	1	2
103	при этом	1	2
104	для него	1	2
105	отношений между	2	2
106	вовсе не	6	2
107	тем что	3	2
108	в них	3	2
109	г по	2	2
110	в области	11	2
111	с другой	7	2
112	в самом	4	2
113	входит в	1	2
114	того или	4	2
115	она является	1	2
116	одной стороны	8	2
117	соответствии с	1	2
118	более того	1	2
119	не на	4	2
120	а не	2	2
121	другой стороны	2	2
122	там где	3	2
123	несмотря на	4	2
124	в связи	1	2
125	пределах данной	1	2
126	том что	6	2
127	и ее	1	2
128	так же	9	2
129	в отношении	32	2
130	в течение	5	2
131	в тех	1	2
132	с этой	6	2
133	слова и	1	2
134	не менее	1	2
135	что эта	1	2
136	не имеет	4	2
137	на язык	2	2
138	бы в	2	2
139	во всем	1	2
140	а в	2	2
141	еще в	1	2
142	нет ничего	1	2
143	и к	3	2
144	имеет место	2	2
145	могут быть	2	2
146	в своих	2	2
147	к тому	8	2
148	данной области	2	1
149	и это	1	1
150	оно может	1	1
151	также и	7	1
152	же как	5	1
153	своего развития	1	1
154	что важнейшим	1	1
155	себя как	1	1
156	того же	3	1
157	значительной мере	1	1
158	и сами	1	1
159	в некоторых	2	1
160	как известно	1	1
161	на основе	2	1
162	но тем	1	1
163	последнее время	1	1
164	нам кажется	7	1
165	ту же	1	1
166	включает в	1	1
167	и до	1	1
168	или иная	1	1
169	ведь и	2	1
170	будет существовать	1	1
171	можно было	3	1
172	возникающее в	1	1
173	значения как	1	1
174	или на	1	1
175	осуществляется в	1	1
176	когда в	1	1
177	к тем	1	1
178	и о	1	1
179	вопрос о	4	1
180	быть может	1	1
181	для этого	1	1
182	по себе	4	1
183	выходит за	1	1
184	в определенной	1	1
185	этой концепции	1	1
186	как то	1	1
187	связанное с	1	1
188	на себя	3	1
189	с ее	1	1
190	ориентироваться не	1	1
191	сводится к	1	1
192	из того	2	1
193	но даже	4	1
194	то это	1	1
195	приближается к	3	1
196	в мире	2	1
197	в каждой	1	1
198	революции в	1	1
199	внимание на	1	1
200	и что	2	1
201	нам представляется	1	1
202	столь же	5	1
203	время в	3	1
204	технике и	1	1
205	времени в	1	1
206	с определением	1	1
207	тем как	1	1
208	развития не	1	1
209	то мы	1	1
210	к нему	2	1
211	но не	5	1
212	а у	1	1
213	высокой и	2	1
214	переходит в	1	1
215	отметить что	3	1
216	богатство и	1	1
217	или иное	1	1
218	в другой	2	1
219	в оценке	1	1
220	значение имеет	1	1
221	в свои	2	1
222	на то	6	1
223	один и	1	1
224	в истории	2	1
225	в одной	1	1
226	на широкую	1	1
227	и призыв	1	1
228	в своем	14	1
229	то или	1	1
230	по своей	2	1
231	один из	1	1
232	тех случаях	1	1
233	ценностей в	2	1
234	и как	2	1
235	его к	1	1
236	одной из	5	1
237	этот вопрос	2	1
238	более или	1	1
239	или иную	3	1
240	который в	1	1
241	в значительной	2	1
242	или же	1	1
243	чуть ли	1	1
244	в этой	2	1
245	в последнее	1	1
246	для всех	1	1
247	что к	2	1
248	с их	1	1
249	значение так	1	1
250	элементов в	1	1
251	и тот	1	1
252	конечно не	1	1
253	на всем	4	1
254	не можем	2	1
255	мы принуждены	1	1
256	и если	2	1
257	и творческого	1	1
258	не из	3	1
259	и других	2	1
260	именно та	1	1
261	ту или	3	1
262	всем своем	1	1
263	одно из	1	1
264	не будут	1	1
265	состоит в	1	1
266	в виде	5	1
267	как их	2	1
268	ни была	1	1
269	и должна	1	1
270	отличие от	1	1
271	на этом	1	1
272	его можно	1	1
273	или иных	1	1
274	для того	6	1
275	в совершенно	1	1
276	в чисто	1	1
277	говорить не	1	1
278	и лучше	1	1
279	и иных	1	1
280	которая как	1	1
281	к которому	1	1
282	свести к	1	1
283	как же	2	1
284	заключается в	2	1
285	ведь в	1	1
286	что мы	1	1
287	только к	2	1
288	только одно	2	1
289	обратиться к	1	1
290	для них	2	1
291	о которых	1	1
292	не было	1	1
293	она и	1	1
294	а на	1	1
295	которые не	1	1
296	поскольку она	2	1
297	далеко не	2	1
298	у других	1	1
299	сдвиг в	1	1
300	фигурирует в	1	1
301	долгое время	2	1
302	отнюдь не	9	1
303	должно быть	1	1
304	него не	1	1
305	такой же	2	1
306	если не	1	1
307	или менее	1	1
308	связь с	1	1
309	но если	5	1
310	может лишь	1	1
311	себе в	3	1
312	которую мы	5	1
313	ко всем	1	1
314	в такой	1	1
315	как это	4	1
316	то можно	1	1
317	о возможности	1	1
318	представление о	2	1
319	в отличие	1	1
320	в которых	3	1
321	в столь	1	1
322	она есть	1	1
323	что имеет	1	1
324	возможна ли	1	1
325	и более	2	1
326	для понимания	2	1
327	и наоборот	1	1
328	в человеческом	1	1
329	в последнем	1	1
330	всех существующих	1	1
331	подражания как	1	1
332	этого слова	1	1
333	тому что	1	1
334	существует только	1	1
335	быть и	1	1
336	идеологической жизни	1	1
337	призыв к	1	1
338	своей эволюции	1	1
339	вплоть до	1	1
340	но это	1	1
341	в начале	1	1
342	к двум	1	1
343	почти никогда	1	1
344	истории и	1	1
345	и другое	1	1
346	и хозяйства	1	1
347	в то	16	1
348	в определении	1	1
349	одна из	1	1
350	тех или	1	1
351	вопрос в	1	1
352	случаях когда	2	1
353	мы все	1	1
354	связанная с	1	1
355	ними и	2	1
356	того чтобы	6	1
357	само по	4	1
358	и изучение	1	1
359	и чем	2	1
360	при таком	1	1
361	в разных	1	1
362	в указанных	1	1
363	или в	2	1
364	или почти	1	1
365	в самой	1	1
366	именно с	1	1
367	находятся в	1	1
368	то не	2	1
369	ее и	1	1
370	же время	14	1
371	оказались бы	1	1
372	в основе	1	1
373	наблюдения над	2	1
374	она никогда	1	1
375	тем более	4	1
376	общим достоянием	1	1
377	за исключением	1	1
378	потому что	3	1
379	бы по	1	1
380	связи с	1	1
381	наконец его	1	1
382	для осуществления	1	1
383	входя в	1	1
384	этом отношении	3	1
385	об этом	1	1
386	та или	1	1
387	и несколько	1	1
388	сказать что	4	1
389	которую не	1	1
390	он называет	1	1
391	мы здесь	1	1
392	но когда	1	1
393	когда мы	1	1
394	во все	3	1
395	экономических отношений	1	1
396	иметь не	1	1
397	ли не	1	1
398	с его	1	1
399	указать на	1	1
400	должны быть	1	1
401	всего в	2	1
402	вместе с	2	1
403	например в	1	1
404	идеологию и	1	1
405	что при	1	1
406	как некая	1	1
407	этой точки	5	1
