N	3gram	Tiupa_Disk_1	VeschiIm
1	не может быть	3	18
2	по крайней мере	2	6
3	в том что	13	6
4	на то что	1	6
5	одно и то	1	5
6	содержит в себе	1	5
7	и то же	1	5
8	в свою очередь	3	5
9	тем не менее	1	5
10	с точки зрения	1	4
11	что не есть	1	4
12	не только в	2	4
13	то же время	4	4
14	в то же	3	4
15	более или менее	2	3
16	подобно тому как	2	3
17	и не только	2	3
18	и в то	1	3
19	сам по себе	1	3
20	из того что	1	3
21	вместе с тем	1	3
22	только то что	1	3
23	можно сказать что	2	2
24	дело в том	1	2
25	о том как	1	2
26	в основе своей	2	2
27	в данном случае	2	2
28	в нем нет	1	2
29	заключается в том	1	2
30	если бы я	1	2
31	и даже не	1	2
32	она могла бы	1	2
33	отнюдь не предполагает	1	1
34	и того же	2	1
35	и может быть	1	1
36	и один из	1	1
37	и тому же	1	1
38	только потому что	1	1
39	а не в	2	1
40	далеко не все	1	1
41	в этом смысле	1	1
42	в себе не	1	1
43	на себя и	1	1
44	том что он	1	1
45	в этом случае	1	1
46	одной стороны и	2	1
47	как раз и	1	1
48	до сих пор	1	1
49	и не может	1	1
50	тот или иной	2	1
51	предстают перед нами	1	1
52	в своей индивидуальной	1	1
53	сами по себе	2	1
54	что он не	1	1
55	точка зрения на	1	1
56	в самом общем	2	1
57	что не только	1	1
58	не есть она	1	1
59	и что это	1	1
60	уже было сказано	1	1
61	хотя бы и	1	1
62	от этого зависит	1	1
63	в том чтобы	2	1
64	и есть само	1	1
65	еще и в	1	1
66	с одной стороны	9	1
67	и потому что	1	1
68	и как бы	3	1
69	по природе своей	5	1
70	о чем не	1	1
71	они предстают перед	1	1
72	не в том	3	1
73	в xix веке	1	1
74	с другой стороны	3	1
75	речь идет о	1	1
76	а в том	2	1
77	тем более не	1	1
78	во всяком случае	1	1
79	это и есть	1	1
80	на этом основании	1	1
81	прежде всего к	1	1
82	не только потому	1	1
83	о том что	5	1
84	не может существовать	1	1
85	и прежде всего	1	1
86	к одному и	1	1
87	но все же	1	1
88	ни о чем	1	1
89	одного и того	2	1
90	она отличается от	1	1
91	но и к	1	1
92	в результате этого	1	1
93	тех или иных	1	1
94	может быть ни	1	1
95	свидетельствует о том	1	1
96	есть она сама	1	1
97	одному и тому	1	1
98	несмотря на все	1	1
