N	2gram	Trubetskoy_1	DiskursI
1	в качестве	3	34
2	не только	10	28
3	в том	11	23
4	а не	5	22
5	то есть	4	20
6	тогда как	1	19
7	том что	7	19
8	представляет собой	3	17
9	может быть	10	17
10	как и	1	16
11	и в	26	16
12	в этом	15	15
13	еще не	2	14
14	но и	9	14
15	при этом	3	13
16	по своей	2	11
17	но не	8	11
18	прежде всего	2	11
19	и не	8	11
20	как в	1	10
21	далеко не	4	10
22	с другой	8	10
23	по отношению	1	9
24	в нем	4	9
25	не может	4	9
26	состоит в	2	9
27	с одной	7	9
28	одной стороны	7	9
29	отношению к	3	9
30	но в	7	8
31	о том	6	8
32	так и	6	8
33	а также	2	8
34	не было	2	7
35	в себе	6	7
36	то же	4	7
37	не в	2	7
38	роль в	1	7
39	в его	5	7
40	только в	4	7
41	в своем	3	6
42	и как	3	6
43	ни к	1	6
44	и на	2	5
45	во всех	2	5
46	отличие от	1	5
47	в рамках	3	5
48	тому же	5	5
49	в силу	5	5
50	в котором	4	5
51	в их	1	5
52	в отличие	1	5
53	в процессе	2	5
54	в себя	1	5
55	в эпоху	7	5
56	или иной	2	5
57	можно сказать	3	5
58	а с	7	5
59	в данном	1	5
60	как бы	12	5
61	к тому	6	5
62	а в	4	5
63	то что	7	5
64	в своей	1	5
65	и о	3	4
66	в которых	4	4
67	с его	2	4
68	в сторону	1	4
69	отношение к	5	4
70	и к	5	4
71	уже не	3	4
72	на его	1	4
73	не как	2	4
74	лишь в	5	4
75	в них	2	4
76	потому что	7	4
77	могут быть	1	4
78	для себя	1	4
79	и т.д	6	4
80	же время	2	4
81	между тем	2	4
82	во втором	1	4
83	одной из	5	4
84	что он	4	4
85	для него	3	4
86	по своим	2	4
87	связи с	9	4
88	не является	1	4
89	что в	9	4
90	того же	6	3
91	и потому	6	3
92	в первом	1	3
93	в каждой	1	3
94	той или	2	3
95	различия между	2	3
96	в одной	1	3
97	с этим	1	3
98	в самом	4	3
99	вследствие этого	1	3
100	заключается в	1	3
101	это не	1	3
102	и того	1	3
103	точки зрения	13	3
104	в своих	1	3
105	однако в	1	3
106	бы быть	1	3
107	по себе	1	3
108	в то	4	3
109	таким образом	22	3
110	ли не	1	3
111	должны быть	1	3
112	в строгом	1	3
113	как не	1	3
114	свою очередь	1	3
115	но при	2	3
116	в ее	1	3
117	не с	2	3
118	и даже	3	3
119	картина мира	1	3
120	что и	6	3
121	в сферу	1	3
122	хотя бы	3	3
123	из них	7	3
124	первобытного человека	1	3
125	к ним	3	3
126	тем что	1	3
127	именно в	2	3
128	себе не	1	3
129	мира в	1	3
130	по своему	2	3
131	того что	3	3
132	один из	2	3
133	все же	6	3
134	в свою	2	3
135	сказать что	2	3
136	другой стороны	1	3
137	отношения к	1	2
138	одним из	2	2
139	языка с	1	2
140	и есть	1	2
141	мы имеем	2	2
142	в сущности	1	2
143	совпадает с	1	2
144	ему в	2	2
145	в виду	2	2
146	между собой	1	2
147	события в	1	2
148	сказать и	1	2
149	в новом	2	2
150	себя в	1	2
151	как к	1	2
152	что касается	1	2
153	когда он	3	2
154	целый ряд	4	2
155	более или	5	2
156	не приходится	1	2
157	в этой	4	2
158	так сказать	1	2
159	к искусству	1	2
160	не следует	1	2
161	и по	4	2
162	на этом	1	2
163	так например	2	2
164	человека в	1	2
165	различие между	1	2
166	к области	1	2
167	соответствии с	1	2
168	не всегда	2	2
169	одного и	1	2
170	или менее	5	2
171	по крайней	5	2
172	то с	3	2
173	по мере	1	2
174	не менее	3	2
175	но они	1	2
176	что с	1	2
177	стадии развития	2	2
178	дело не	1	2
179	не могло	2	2
180	в наше	1	2
181	и его	1	2
182	однако это	1	2
183	в момент	1	2
184	крайней мере	5	2
185	отличается от	2	2
186	же самое	2	2
187	числе и	4	2
188	мысли о	1	2
189	не есть	1	2
190	с ее	1	2
191	данном случае	1	2
192	приводит к	2	2
193	но зато	1	2
194	было в	1	2
195	а по	1	2
196	во всяком	6	2
197	и что	4	2
198	одного из	1	2
199	в значительной	3	2
200	времени в	1	2
201	это было	1	2
202	и требует	1	2
203	и во	1	2
204	котором он	1	2
205	них в	1	2
206	дело с	1	2
207	в разные	1	2
208	и ее	1	2
209	уже в	2	2
210	свидетельствует о	2	2
211	к мысли	1	2
212	в одном	3	2
213	сами по	1	2
214	заметить что	1	2
215	никогда не	5	2
216	из двух	1	2
217	говорили о	2	2
218	к которому	2	2
219	в соответствии	1	2
220	зависит от	1	2
221	одну из	1	2
222	о чем	1	2
223	к его	2	2
224	одновременно с	1	2
225	в начале	2	2
226	известной степени	1	2
227	не имея	1	2
228	о котором	2	2
229	и все	2	2
230	не более	1	2
231	указывает на	1	2
232	как показывает	1	2
233	может и	1	2
234	одновременно и	2	2
235	что даже	1	2
236	они не	1	2
237	к этому	3	2
238	том числе	5	2
239	как известно	1	1
240	можно говорить	1	1
241	речь идет	1	1
242	таком случае	1	1
243	чтобы не	1	1
244	самом деле	1	1
245	это и	1	1
246	идет о	1	1
247	такой как	1	1
248	и до	1	1
249	и за	1	1
250	этом направлении	1	1
251	той же	1	1
252	человеком и	1	1
253	из своих	2	1
254	мы и	1	1
255	к общему	1	1
256	на них	1	1
257	он сам	1	1
258	которой нет	1	1
259	зрения представляет	1	1
260	и всякий	1	1
261	отличаются от	2	1
262	что они	1	1
263	отчасти и	1	1
264	обращение не	1	1
265	с их	1	1
266	и нет	3	1
267	которую нельзя	1	1
268	это тоже	1	1
269	священное писание	1	1
270	тем же	1	1
271	лицу с	1	1
272	в которой	3	1
273	бы и	1	1
274	что это	3	1
275	не был	1	1
276	он в	2	1
277	в нашем	1	1
278	из этих	10	1
279	и те	3	1
280	учение о	4	1
281	что к	1	1
282	на то	2	1
283	что она	1	1
284	время и	1	1
285	он не	4	1
286	с ней	3	1
287	в xvii	1	1
288	они в	2	1
289	всех этих	1	1
290	в первую	1	1
291	чем у	1	1
292	к одному	1	1
293	не к	2	1
294	новое и	1	1
295	на земле	1	1
296	как от	2	1
297	но все	7	1
298	значение в	1	1
299	в мире	5	1
300	на все	2	1
301	говорить не	1	1
302	с целью	2	1
303	при помощи	1	1
304	и других	1	1
305	о народных	1	1
306	первую очередь	1	1
307	с другими	4	1
308	на почве	1	1
309	как объекты	1	1
310	не самой	1	1
311	в жизни	1	1
312	о которых	1	1
313	с этой	3	1
314	с тем	18	1
315	в слове	1	1
316	изучения всех	1	1
317	было лишено	1	1
318	мы видели	2	1
319	и источника	1	1
320	оно имеет	1	1
321	мы не	1	1
