N	2gram	Losev_Dial_2	IolandNe
1	и с	5	3
2	должен быть	1	2
3	и не	30	2
4	в этом	8	2
5	оба они	1	2
6	он не	4	2
7	что в	7	2
8	ничего не	3	2
9	же это	4	1
10	себя в	2	1
11	ясно а	1	1
12	все это	4	1
13	нисколько не	4	1
14	и др	1	1
15	и в	19	1
16	только что	5	1
17	и о	1	1
18	в эту	1	1
19	я не	6	1
20	то и	1	1
21	как только	3	1
22	стало быть	10	1
23	того же	1	1
24	не остается	1	1
25	с другой	5	1
26	и та	6	1
27	это было	3	1
28	а в	4	1
29	так то	1	1
30	того что	6	1
31	данной личности	1	1
32	следовательно в	2	1
33	нечто и	1	1
34	как о	1	1
35	другой стороны	4	1
36	и еще	1	1
37	в половом	1	1
38	нам в	1	1
39	в основе	1	1
40	говорить о	5	1
41	понятий и	1	1
42	и творчества	1	1
43	слишком много	1	1
44	есть только	4	1
45	что последний	1	1
46	а если	1	1
47	так и	10	1
48	он с	1	1
49	от этого	3	1
50	только общее	1	1
51	во многом	1	1
52	никогда не	9	1
53	его личности	2	1
54	только для	1	1
55	жизни и	6	1
56	и очень	1	1
57	тех же	1	1
58	тем что	2	1
59	в целом	1	1
60	очевидно что	2	1
61	в них	1	1
62	все эти	2	1
63	по существу	1	1
64	от нее	1	1
65	со всеми	1	1
66	и идей	1	1
67	без этого	4	1
