N	2gram	Tiupa_Anal_1	slovoVRo
1	и в	18	41
2	в нем	3	30
3	и т	3	28
4	то есть	11	26
5	т п	3	23
6	в романе	1	21
7	могут быть	4	19
8	во всех	1	17
9	не только	15	16
10	и не	21	16
11	точки зрения	6	16
12	но и	17	16
13	а не	17	15
14	то же	9	14
15	и на	5	14
16	в то	9	14
17	и его	5	14
18	в пределах	2	14
19	может быть	29	14
20	и др	1	14
21	не может	22	14
22	в сущности	6	13
23	в его	13	13
24	общего языка	1	13
25	в этом	13	12
26	же время	6	12
27	языка и	1	12
28	как бы	5	12
29	так и	4	11
30	в той	8	10
31	себя в	6	9
32	все эти	2	9
33	таким образом	3	9
34	авторских интенций	1	9
35	той или	6	9
36	или иной	6	9
37	как в	1	8
38	но в	8	8
39	на его	2	8
40	с точки	4	8
41	как мы	2	8
42	в особенности	1	8
43	или в	1	8
44	может не	1	8
45	слова в	1	8
46	прежде всего	6	8
47	отношение к	2	7
48	все же	4	7
49	чужих слов	1	7
50	в своей	6	7
51	не в	14	7
52	вовсе не	2	7
53	с ним	4	7
54	на фоне	2	7
55	все они	1	7
56	во всяком	1	7
57	того же	4	6
58	при этом	12	6
59	это не	6	6
60	в них	1	6
61	к своему	1	6
62	в отношении	1	6
63	слова как	1	6
64	оно не	1	6
65	только в	6	6
66	и даже	1	6
67	а в	9	6
68	и к	3	5
69	в самом	6	5
70	он в	1	5
71	с другими	4	5
72	далеко не	6	5
73	всяком случае	1	5
74	национального языка	2	5
75	в основе	6	5
76	со своим	1	5
77	подхода к	3	5
78	к нему	3	5
79	с другой	4	5
80	своего предмета	3	5
81	одним из	3	4
82	по преимуществу	1	4
83	в ней	1	4
84	меньшей степени	1	4
85	еще не	3	4
86	с его	3	4
87	за пределы	2	4
88	данный момент	1	4
89	перед нами	1	4
90	и наконец	1	4
91	в которой	2	4
92	всех этих	1	4
93	не как	1	4
94	дистанции между	1	4
95	и с	2	4
96	лишь в	5	4
97	входит в	1	4
98	языка но	1	4
99	как и	13	4
100	автора и	3	4
101	в их	5	4
102	к предмету	2	4
103	речи в	1	4
104	том же	1	4
105	в процессе	2	4
106	и для	1	4
107	ничего не	1	4
108	о нем	3	4
109	единого и	1	4
110	большей или	4	4
111	один из	2	4
112	оно и	1	4
113	ли он	2	4
114	с одной	3	4
115	языка как	1	4
116	или меньшей	4	4
117	одной стороны	3	4
118	и все	3	4
119	и потому	2	4
120	и от	1	4
121	здесь в	1	4
122	быть и	1	4
123	другой стороны	2	4
124	также и	2	3
125	в первом	2	3
126	в зависимости	1	3
127	язык как	1	3
128	зависимости от	1	3
129	данном случае	2	3
130	более или	1	3
131	из этих	2	3
132	языка а	1	3
133	в себе	11	3
134	внутренней речи	5	3
135	и сам	2	3
136	и может	1	3
137	его в	1	3
138	было бы	2	3
139	он не	3	3
140	или менее	1	3
141	и ее	1	3
142	точку зрения	1	3
143	которые в	2	3
144	не должно	1	3
145	никогда не	2	3
146	в разных	1	3
147	произведения как	7	3
148	не могут	3	3
149	к тому	7	3
150	различных форм	1	3
151	своего языка	1	3
152	образом в	1	3
153	о том	5	3
154	и во	1	3
155	все время	1	3
156	в него	1	3
157	того что	4	3
158	в том	27	3
159	языка на	1	3
160	бы ни	2	3
161	в качестве	31	3
162	от автора	1	3
163	из них	2	3
164	его и	2	3
165	для него	2	3
166	так как	2	3
167	друг друга	1	3
168	у него	1	3
169	выходит за	1	3
170	именно в	4	3
171	в свою	1	3
172	романа в	2	3
173	смысла и	3	3
174	не было	1	3
175	более того	3	3
176	как сказано	1	3
177	в данном	2	3
178	с этой	1	3
179	в авторскую	1	3
180	при всем	1	3
181	в результате	1	3
182	в большей	1	3
183	хотя бы	3	3
184	из этого	1	3
185	в свое	2	3
186	смысле слова	1	2
187	например в	1	2
188	на самом	2	2
189	то в	2	2
190	в котором	3	2
191	мы уже	1	2
192	той же	2	2
193	а как	2	2
194	мы не	1	2
195	мы и	1	2
196	свою очередь	1	2
197	дает им	1	2
198	и то	2	2
199	между собой	2	2
200	в широком	4	2
201	столь же	4	2
202	по своему	1	2
203	в ее	1	2
204	он может	2	2
205	но не	10	2
206	сих пор	1	2
207	граничит с	1	2
208	без другого	2	2
209	в самостоятельный	1	2
210	как к	2	2
211	хотя и	1	2
212	произведения так	1	2
213	именно эта	1	2
214	в целом	5	2
215	или во	1	2
216	в известном	1	2
217	и те	1	2
218	а вовсе	1	2
219	широком смысле	2	2
220	одному из	2	2
221	том и	2	2
222	и по	2	2
223	на этом	2	2
224	всех своих	1	2
225	одно и	1	2
226	те же	1	2
227	на все	2	2
228	и иных	1	2
229	для них	1	2
230	действительно не	1	2
231	том что	12	2
232	в этих	1	2
233	может лишь	1	2
234	однако этот	1	2
235	язык он	1	2
236	и той	1	2
237	включен в	1	2
238	высказывания и	1	2
239	но он	1	2
240	не его	1	2
241	и эти	1	2
242	войти в	1	2
243	зрения и	1	2
244	даже в	3	2
245	тому что	1	2
246	в самых	1	2
247	дело не	3	2
248	из него	1	2
249	такая же	1	2
250	для нас	1	2
251	в сознании	2	2
252	xx века	1	2
253	вокруг него	1	2
254	оно может	3	2
255	и о	2	2
256	но по	1	2
257	роль в	2	2
258	с языком	1	2
259	в рамки	1	2
