N	2gram	Losev_Dial_1	ViktorSh
1	конце концов	3	2
2	и в	18	2
3	том что	9	2
4	в том	9	2
5	в конце	4	2
6	ничуть не	2	1
7	и только	1	1
8	крайней мере	4	1
9	тем более	2	1
10	есть ряд	1	1
11	и почти	3	1
12	ни к	2	1
13	в другом	2	1
14	хотя бы	6	1
15	и не	30	1
16	связаны и	1	1
17	все время	1	1
18	и его	1	1
19	потому что	14	1
20	я не	5	1
21	даже не	3	1
22	и то	9	1
23	же с	1	1
24	самом деле	3	1
25	все это	11	1
26	от других	1	1
27	именно в	2	1
28	главным образом	1	1
29	этом и	1	1
30	чего не	1	1
31	в их	3	1
32	как же	5	1
33	то чего	1	1
34	это далеко	1	1
35	дело в	1	1
36	в частности	2	1
37	так в	1	1
38	одно и	4	1
39	столь же	1	1
40	эпоха не	2	1
41	говоря о	2	1
42	в которых	2	1
43	в самом	3	1
44	для них	1	1
45	я занимаюсь	1	1
46	только в	3	1
47	то же	10	1
48	говорится в	1	1
49	ясно что	8	1
50	так как	11	1
51	и мало	2	1
52	далеко не	1	1
53	к чему	1	1
54	другое дело	1	1
55	но это	8	1
56	в этом	12	1
57	да и	6	1
58	имеется в	1	1
59	по крайней	4	1
60	а только	3	1
61	о теории	1	1
62	и заключается	1	1
63	по существу	1	1
64	то я	4	1
65	к этому	2	1
66	две большие	1	1
67	гораздо более	3	1
