1	и т д	8	15
2	с точки зрения	13	9
3	в том что	1	9
4	это значит что	1	7
5	в то же	8	6
6	то же время	8	6
7	не может быть	5	6
8	сама по себе	2	5
9	в этом смысле	1	4
10	не говоря уже	1	3
11	и в этом	2	3
12	говоря уже о	1	3
13	то же что	1	3
14	тем более не	1	3
15	и в частности	2	2
16	что оно не	1	2
17	т е она	1	2
18	от того что	1	2
19	хотя бы и	1	2
20	тем не менее	1	2
21	от чего не	1	2
22	в чем же	1	2
23	и в то	1	2
24	по сравнению с	1	2
25	один из возможных	1	2
26	с этой точки	1	2
27	ничего общего с	1	2
28	мы видим что	1	2
29	т е в	1	2
30	этой точки зрения	1	2
31	в свою очередь	6	2
32	та или иная	1	2
33	но в то	2	2
34	как и все	2	2
35	за его пределы	1	2
36	же время и	1	2
37	если она есть	1	1
38	вполне понятно что	1	1
39	и не может	2	1
40	т е на	1	1
41	в лучшем случае	3	1
42	в ней как	1	1
43	к этому понятию	1	1
44	что бы ни	2	1
45	и как бы	1	1
46	в отличие от	1	1
47	не может не	1	1
48	друг от друга	2	1
49	в связи с	2	1
50	прежде всего в	3	1
51	же как и	1	1
52	в отношении к	1	1
53	должно было бы	1	1
54	по себе не	1	1
55	в зависимости от	2	1
56	что в данном	1	1
57	то что было	1	1
58	а не как	1	1
59	возможно лишь в	1	1
60	оценивается с точки	1	1
61	на самом же	1	1
62	в ней и	1	1
63	самом же деле	1	1
64	вовсе не есть	1	1
65	в душе и	1	1
66	в своем исследовании	1	1
67	связи с этим	2	1
68	или иначе не	1	1
69	нельзя остановиться на	1	1
70	что перед нами	1	1
71	можно говорить о	1	1
72	но для этого	1	1
73	того что нужно	1	1
74	так или иначе	1	1
75	прежде всего это	1	1
76	все это не	1	1
77	не могло не	2	1
78	в данном случае	1	1
79	т е как	2	1
80	нужно сказать что	1	1
81	но все же	1	1
82	с другой стороны	1	1
83	как это делается	1	1
84	должна быть и	1	1
85	она должна быть	1	1
86	за пределы этой	1	1
87	это делается в	1	1
88	в это время	1	1
89	тех или иных	1	1
90	в жизни и	1	1
91	чего происходит это	1	1
92	как бы ни	3	1
93	в той же	1	1
94	при всем этом	1	1
95	хотя бы в	1	1
96	т е об	1	1
97	не только не	2	1
98	может и не	1	1
99	и не в	2	1
