N	2gram	Losev_Prob_1	Marksizm
1	может быть	14	28
2	и пр	4	25
3	и в	32	19
4	и не	31	19
5	как бы	14	19
6	не может	8	18
7	в процессе	1	18
8	точки зрения	3	17
9	и его	3	16
10	то же	10	16
11	как мы	7	15
12	в этом	19	15
13	таким образом	6	14
14	лишь в	1	14
15	в сущности	2	14
16	связи с	5	13
17	с точки	3	13
18	не только	17	13
19	вовсе не	35	11
20	в нем	13	11
21	если бы	4	11
22	не в	4	10
23	так и	12	10
24	но и	9	10
25	в пределах	1	10
26	том что	12	10
27	как и	3	9
28	самом деле	6	9
29	для него	2	9
30	на почве	1	9
31	в основе	1	9
32	при этом	6	9
33	а не	15	9
34	отнюдь не	10	8
35	в то	6	8
36	только в	7	8
37	с его	2	8
38	не является	5	8
39	в связи	4	7
40	прежде всего	10	7
41	и для	4	7
42	его в	6	7
43	в таком	9	7
44	на самом	6	7
45	в том	9	7
46	никогда не	7	7
47	в языке	1	7
48	одна из	1	7
49	но в	14	7
50	и все	7	6
51	хотя бы	3	6
52	того чтобы	9	6
53	во всех	7	6
54	между тем	2	6
55	к тому	3	6
56	в смысле	1	6
57	ни в	7	6
58	для того	8	6
59	мы уже	5	6
60	ни было	1	6
61	в самом	6	6
62	слова и	1	6
63	мы можем	4	6
64	быть и	3	6
65	если мы	11	6
66	и следовательно	3	6
67	и как	6	6
68	же самое	9	6
69	и здесь	6	5
70	все же	1	5
71	и того	2	5
72	так же	9	5
73	к нему	3	5
74	в их	4	5
75	совершенно не	6	5
76	на этой	2	5
77	в его	6	5
78	выражение в	1	5
79	то ни	1	5
80	смысле слова	7	5
81	того же	3	5
82	или иной	5	5
83	является не	2	5
84	мы ни	1	5
85	и на	8	5
86	тем более	5	5
87	к этому	1	5
88	в данном	9	5
89	в себе	15	4
90	бы то	1	4
91	для себя	3	4
92	по мере	1	4
93	и ее	8	4
94	и их	1	4
95	должна быть	1	4
96	на то	8	4
97	как раз	13	4
98	в отношении	3	4
99	того что	7	4
100	тем же	1	4
101	это не	6	4
102	мы видели	1	4
103	то что	42	4
104	ведь если	2	4
105	одного и	2	4
106	в душе	1	4
107	сказать что	13	4
108	ничего не	10	4
109	из одного	1	4
110	и тем	13	4
111	тому что	4	4
112	внешнее выражение	1	4
113	в основном	1	4
114	что он	7	4
115	было бы	8	4
116	конечно не	1	4
117	только на	4	4
118	в данной	1	4
119	той или	5	4
120	все эти	8	3
121	еще не	9	3
122	одно и	1	3
123	самом же	1	3
124	во всяком	7	3
125	в другом	1	3
126	мы сказали	1	3
127	она является	2	3
128	не будет	2	3
129	не к	1	3
130	для всего	2	3
131	учение о	3	3
132	не было	4	3
133	бы он	1	3
134	сих пор	3	3
135	его и	1	3
136	сознания и	2	3
137	до сих	3	3
138	с другими	2	3
139	в своей	8	3
140	они являются	1	3
141	слово и	1	3
142	таком случае	6	3
143	в котором	5	3
144	в ее	3	3
145	хоть сколько-нибудь	1	3
146	конечно в	2	3
147	для понимания	1	3
148	с этим	3	3
149	не имеют	5	3
150	только что	2	3
151	в этих	3	3
152	за пределы	6	3
153	слова для	1	3
154	не имеет	2	3
155	в качестве	2	3
156	у нас	14	3
157	каждый раз	1	3
158	и от	1	3
159	по себе	15	3
160	да и	3	3
161	относится к	1	3
162	он не	3	3
163	в истории	4	3
164	должно быть	2	3
165	той же	1	3
166	но ведь	3	3
167	в этой	10	3
168	могут быть	2	3
169	не существует	6	3
170	это вполне	1	3
171	его из	1	3
172	а в	4	3
173	же деле	1	3
174	не как	2	3
175	о том	11	3
176	в каком	3	3
177	и до	2	3
178	чем же	2	3
179	в данную	1	3
180	с другой	3	3
181	и то	6	3
182	нами в	1	3
183	что оно	3	3
184	и это	9	3
185	в конкретном	2	3
186	перед нами	5	3
187	так как	11	3
188	не есть	29	3
189	сигнал а	1	2
190	то мы	1	2
191	одним из	1	2
192	в определении	1	2
193	или может	2	2
194	не знает	1	2
195	и с	2	2
196	которой мы	1	2
197	мы это	1	2
198	вопрос о	1	2
199	должны быть	1	2
200	а ведь	1	2
201	направление в	2	2
202	ведь все	1	2
203	место в	1	2
204	первобытного мышления	1	2
205	можем сказать	1	2
206	или в	4	2
207	жизни и	1	2
208	бы это	1	2
209	от этого	1	2
210	что они	3	2
