N	2gram	Berdyaev_O_1	Istorich
1	и в	19	28
2	может быть	11	25
3	не может	4	15
4	а не	11	15
5	никогда не	9	14
6	что в	4	12
7	не только	11	12
8	все же	2	10
9	прежде всего	9	10
10	т е	4	10
11	мы не	1	10
12	что он	3	10
13	но и	13	10
14	и что	1	10
15	так и	2	9
16	не в	11	9
17	в том	5	9
18	и не	13	9
19	то что	5	9
20	о том	3	9
21	что это	1	8
22	в этом	12	8
23	если бы	1	8
24	но в	2	8
25	и здесь	1	7
26	еще не	3	7
27	а в	5	7
28	в этих	3	7
29	это не	3	7
30	в ней	1	7
31	было бы	3	7
32	том что	2	7
33	видно что	1	6
34	его в	2	6
35	в этой	5	6
36	когда он	3	6
37	что и	2	6
38	так как	2	6
39	ты не	1	5
40	попадает в	1	5
41	вопрос о	10	5
42	что они	2	5
43	должна быть	1	5
44	в одном	1	5
45	но не	1	5
46	например в	1	5
47	в его	7	5
48	ее в	2	5
49	сказать что	2	5
50	в силу	1	5
51	что она	1	5
52	можно было	1	5
53	в своем	2	5
54	все эти	4	4
55	и с	2	4
56	как и	6	4
57	на то	1	4
58	и для	2	4
59	это так	1	4
60	связь с	1	4
61	так что	2	4
62	друг с	1	4
63	с тем	2	4
64	одним словом	1	4
65	представляет собой	1	4
66	хотя бы	3	4
67	и на	2	4
68	а именно	1	4
69	но это	1	4
70	того что	3	4
71	потому что	9	4
72	и даже	1	4
73	не все	2	4
74	находится в	1	4
75	один из	1	4
76	могут быть	3	4
77	но оно	1	4
78	и пр	1	4
79	все это	6	4
80	как будто	1	4
81	это за	3	3
82	в форме	1	3
83	в другом	2	3
84	ключ к	1	3
85	это конечно	1	3
86	как это	1	3
87	по себе	2	3
88	с другом	1	3
89	и он	8	3
90	там и	1	3
91	же не	1	3
92	что же	2	3
93	к чему	1	3
94	и его	4	3
95	во всем	1	3
96	тем что	2	3
97	не с	1	3
98	уже не	1	3
99	с того	1	3
100	дело в	1	3
101	в котором	1	3
102	будто бы	1	3
103	того как	1	3
104	чтобы не	1	3
105	также и	1	3
106	должен был	2	3
107	ли он	1	3
108	в которую	1	3
109	из них	1	3
110	и тогда	1	3
111	по своей	1	2
112	в чистом	1	2
113	в себе	3	2
114	бы в	1	2
115	и вот	3	2
116	что их	1	2
117	говорит о	1	2
118	от этого	1	2
119	никто не	3	2
120	ведет к	1	2
121	то он	1	2
122	не по	1	2
123	так часто	1	2
124	это для	1	2
125	в нем	10	2
126	не так	1	2
127	пути от	1	2
128	и как	1	2
129	само по	1	2
130	одном месте	1	2
131	поэтому он	1	2
132	его как	1	2
133	с той	1	2
134	с ним	3	2
135	в ее	2	2
136	для него	5	2
137	отношения к	1	2
138	героя из	1	2
139	один только	1	2
140	в глубине	7	2
141	их не	2	2
142	его и	1	2
143	как в	1	2
144	что нужно	1	2
145	нисколько не	1	2
146	что не	4	2
