N	4gram	Vygotskiy__2	Morfolog
1	в связи с этим	1	4
2	в то время как	2	2
3	бросается в глаза что	1	1
4	одно и то же	1	1
5	не может быть объяснено	1	1
6	что бы то ни	1	1
7	в то же время	2	1
8	которые не могут быть	1	1
9	не что иное как	1	1
10	бы то ни стало	1	1
11	в том порядке в	1	1
12	то это значит что	1	1
13	с точки зрения их	1	1
14	в том случае если	4	1
15	во что бы то	1	1
16	и т д с	1	1
17	том порядке в каком	1	1
18	в том что он	3	1
19	если мы не сумеем	1	1
20	все более и более	2	1
21	есть не что иное	1	1
