N	3gram	Medvedev_F_1	Problema
1	по отношению к	4	19
2	познания и поступка	1	15
3	и т п	4	13
4	не может быть	5	11
5	но отнюдь не	1	7
6	с точки зрения	13	6
7	в отличие от	1	5
8	в высшей степени	1	5
9	в его целом	8	5
10	между тем как	1	5
11	в большинстве случаев	2	5
12	в данном случае	1	4
13	в художественном произведении	2	4
14	действительность познания и	1	4
15	с другой стороны	1	4
16	в противном случае	1	3
17	на самом деле	6	3
18	в этом смысле	1	3
19	не выходя за	1	3
20	художника и созерцателя	1	3
21	бы то ни	3	3
22	в его своеобразии	1	3
23	в применении к	2	3
24	все то что	1	3
25	с одной стороны	4	3
26	как мы увидим	2	3
27	то же время	8	3
28	должно строго различать	1	3
29	в том что	1	3
30	произведение в его	2	3
31	в то же	8	3
32	тем не менее	1	3
33	и не должна	1	2
34	в изобразительных искусствах	1	2
35	отношения к материалу	1	2
36	со всех сторон	1	2
37	совершенно независимо от	1	2
38	в строгом смысле	2	2
39	но и в	1	2
40	и во всех	1	2
41	русский формальный метод	2	2
42	и не может	2	2
43	в лучшем случае	3	2
44	и в то	1	2
45	и в частности	2	2
46	то ни было	1	2
47	действительностью познания и	1	2
48	мы здесь не	1	2
49	всех своих моментах	1	2
50	того или иного	2	2
51	во всех своих	1	2
52	может и не	1	2
53	в нашем примере	1	2
54	так и в	4	2
55	художественном произведении как	2	2
56	точки зрения самого	1	2
57	к нему и	1	2
58	и тем самым	1	2
59	не может и	1	2
60	к материалу к	1	2
61	за его пределы	1	2
62	в этом отношении	1	2
63	может войти в	2	1
64	в этом его	1	1
65	точки зрения любой	1	1
66	именно в том	1	1
67	и может быть	1	1
68	в ее целом	3	1
69	познания и этической	1	1
70	и в общем	1	1
71	в соотнесении с	1	1
72	эта действительность познания	1	1
73	художественное произведение как	2	1
74	во всей полноте	1	1
75	произведения и его	2	1
76	для историка литературы	1	1
77	задачи и методы	2	1
78	а вовсе не	2	1
79	в свою очередь	6	1
80	не говоря уже	1	1
81	в настоящее время	10	1
82	в том и	1	1
83	отношению к этой	1	1
84	одной стороны и	4	1
85	как в нашем	1	1
86	с другими областями	1	1
87	в нем и	2	1
88	во что бы	2	1
89	которую мы назовем	1	1
90	отрицательное отношение к	1	1
91	идет вовсе не	1	1
92	до сих пор	6	1
93	говоря уже о	1	1
94	по возможности от	1	1
95	хотя бы и	1	1
96	в ней как	1	1
97	сами по себе	2	1
98	бы ни было	1	1
99	выходя за его	1	1
100	отнюдь не следует	1	1
101	конечно не может	1	1
102	со всеми другими	1	1
103	только на основе	2	1
104	на самом же	1	1
105	материала к которому	1	1
106	по аналогии с	3	1
107	резко отличается от	1	1
108	или хотя бы	1	1
109	и не менее	3	1
110	не подлежит конечно	1	1
111	в художественное произведение	2	1
112	может быть и	3	1
113	на произведение в	1	1
114	широком смысле слова	1	1
115	как в его	1	1
116	и не в	2	1
117	произведения в ее	1	1
118	отнюдь не является	1	1
119	мышления о мире	1	1
120	быть соотнесено с	1	1
121	что бы то	2	1
122	в своем творчестве	1	1
123	отсюда отнюдь не	1	1
124	сравнению с предшествующим	1	1
125	но в то	2	1
126	смысле этого слова	3	1
127	в психике художника	1	1
128	художественных произведений в	1	1
129	а также и	1	1
130	психике художника и	1	1
131	то ни стало	2	1
132	произведения в большинстве	1	1
133	и в этом	2	1
134	по сравнению с	1	1
135	настоящее время в	3	1
136	в нашу задачу	1	1
137	и как бы	1	1
138	должно быть соотнесено	1	1
139	и в их	2	1
140	прежде всего и	1	1
141	его отличии от	1	1
142	в связи с	2	1
143	и от всех	1	1
144	произведении как о	1	1
145	художественного творчества в	1	1
146	своем творчестве если	1	1
147	не должна быть	1	1
148	из художественного произведения	1	1
149	и в том	1	1
150	самом же деле	1	1
151	строгом смысле этого	1	1
152	продуктивная разработка истории	1	1
153	из важнейших проблем	1	1
154	по себе не	1	1
155	связей с единством	1	1
156	мир в его	1	1
157	и как таковой	1	1
158	художественного произведения в	2	1
159	и в свою	1	1
160	в связи со	2	1
161	художественного произведения не	1	1
162	отвлекаясь по возможности	1	1
163	раз и навсегда	1	1
164	и нисколько не	1	1
165	та или иная	1	1
166	и т д	8	1
167	дело идет о	2	1
168	хотя бы в	1	1
169	его место в	1	1
170	вовсе не о	1	1
171	выходит за пределы	1	1
172	художественной формы и	1	1
173	не выходит за	1	1
174	от чего не	1	1
175	в двух направлениях	1	1
176	начинает проникать собою	1	1
177	и с точки	1	1
178	в его отличии	1	1
179	произведения в его	1	1
180	как одна из	1	1
181	к тому что	1	1
182	в своем целом	2	1
183	в его художественной	2	1
184	целом и в	1	1
185	нам важно лишь	1	1
186	его целом ни	1	1
187	вовсе не как	1	1
188	мы различаем в	1	1
189	истории того или	1	1
