N	2gram	Berdyaev_M_2	EvropaiE
1	и в	46	37
2	в отношении	5	32
3	в пределах	1	25
4	точки зрения	2	23
5	европы и	1	22
6	что в	4	21
7	не только	18	18
8	с точки	1	17
9	то же	5	15
10	хотя бы	7	15
11	отношении к	3	15
12	в своем	8	14
13	но в	10	14
14	но и	15	14
15	и не	18	14
16	в этом	20	12
17	в том	3	11
18	так и	4	10
19	в себе	10	9
20	западной европы	3	9
21	только в	3	9
22	земного шара	1	9
23	прежде всего	12	9
24	не может	15	9
25	так же	6	9
26	т е	4	9
27	в ее	1	8
28	думать что	4	8
29	было бы	1	8
30	в своей	5	8
31	к тому	5	8
32	между тем	2	8
33	также и	4	7
34	а также	1	7
35	того что	6	7
36	так как	8	7
37	с другой	1	7
38	как и	13	7
39	по своему	1	7
40	может быть	21	6
41	и на	3	6
42	во всех	2	6
43	на то	1	6
44	том что	4	6
45	того чтобы	4	6
46	вслед за	1	6
47	для того	5	6
48	как бы	8	6
49	с этой	1	6
50	то что	5	6
51	же как	3	5
52	не в	9	5
53	в россии	3	5
54	к которым	1	5
55	но если	1	5
56	от этого	2	5
57	и потому	7	5
58	в той	1	5
59	то в	2	4
60	мы не	1	4
61	вопрос о	6	4
62	в ней	11	4
63	на путях	1	4
64	независимо от	1	4
65	в самом	5	4
66	во многих	1	4
67	чем в	2	4
68	не имеет	4	4
69	к ней	2	4
70	той или	1	4
71	по себе	2	4
72	или иной	2	4
73	мира в	1	4
74	сказать что	3	4
75	культуры в	1	4
76	в сфере	2	3
77	бы и	5	3
78	на себя	1	3
79	того же	1	3
80	россии и	2	3
81	как в	7	3
82	когда он	1	3
83	и к	7	3
84	всего лишь	1	3
85	но на	2	3
86	не будет	3	3
87	не дает	1	3
88	и тем	1	3
89	в них	3	3
90	с тем	1	3
91	во второй	1	3
92	она в	1	3
93	в которых	1	3
94	европейской культуры	1	3
95	можно ли	3	3
96	никогда не	18	3
97	потому что	12	3
98	уже и	1	3
99	в будущем	1	3
100	бы ни	1	3
101	тем в	1	3
102	можно было	2	3
103	о том	3	3
104	место в	2	3
105	что и	4	3
106	и только	1	3
107	в стороне	1	3
108	не из	1	3
109	себе в	2	3
110	в прошлом	1	3
111	тем что	3	3
112	этом отношении	1	3
113	и прежде	1	3
114	в свою	4	3
115	связано с	3	3
116	ни на	1	3
117	в культуре	1	3
118	и для	7	3
119	и от	3	3
120	мира и	1	3
121	жизни в	3	3
122	на своем	1	3
123	это так	1	3
124	ее в	2	3
125	как на	1	3
126	и то	1	2
127	другие народы	1	2
128	по преимуществу	5	2
129	ведь и	1	2
130	должна быть	1	2
131	есть не	5	2
132	что если	1	2
133	культурного творчества	1	2
134	не чуждо	1	2
135	не имеющим	1	2
136	на них	1	2
137	он сам	6	2
138	в свои	1	2
139	россия есть	1	2
140	эмпирической действительности	1	2
141	более чем	2	2
142	его на	4	2
143	с этим	1	2
144	хотя и	2	2
145	целый ряд	1	2
146	и как	1	2
147	есть ли	2	2
148	что это	6	2
149	в этой	7	2
150	этот процесс	2	2
151	и если	2	2
152	он не	10	2
153	отношений между	1	2
154	себя бремя	1	2
155	в мире	7	2
156	и с	3	2
157	все другие	1	2
158	для них	1	2
159	нас к	1	2
160	в своих	3	2
161	одна и	3	2
162	в развитии	1	2
163	духовной жизни	1	2
164	культуры с	1	2
165	в этих	2	2
166	в котором	1	2
167	не к	2	2
168	одном из	1	2
169	и более	1	2
170	всего человечества	2	2
171	она не	8	2
172	тогда когда	2	2
173	человечества как	1	2
174	по своей	3	2
175	как будто	2	2
176	именно потому	1	2
177	что на	1	2
178	выход к	1	2
179	культурные ценности	1	2
180	не могут	1	2
181	но также	1	2
182	но по	1	2
183	как не	1	2
184	культуры и	1	2
185	мог бы	1	2
186	по сравнению	1	2
187	если бы	3	2
188	культура есть	1	2
189	и поэтому	2	2
190	и та	2	2
191	и что	2	2
192	в значительной	1	2
193	и во	3	2
194	к нему	2	2
195	во втором	1	2
196	в его	5	2
197	и можно	3	2
198	также в	1	2
199	мы должны	1	2
200	но с	2	2
201	его собственная	2	2
202	в какой	1	2
203	начало в	1	2
204	и теперь	1	2
205	есть в	3	2
206	если в	1	2
207	и других	2	2
208	народы мира	1	2
209	во власти	6	2
210	а не	13	2
211	не означает	2	2
212	что все	5	2
213	вместе с	2	2
214	идеи о	1	2
215	сравнению с	1	2
216	что же	2	2
217	ко всему	1	2
218	мира но	1	2
219	происходит в	1	2
220	культуры не	1	2
221	и все	5	2
222	бы в	2	2
223	и всецело	1	2
224	еще более	2	2
225	русская революция	1	2
226	мы видим	2	2
227	а в	2	2
228	не есть	13	2
229	между ними	1	2
230	в строе	1	2
231	приводит нас	1	2
232	жизни и	6	2
233	французская революция	1	2
234	и эта	2	2
235	человечеству есть	1	1
236	связана с	7	1
237	строе человеческой	1	1
238	тем большей	1	1
239	и это	5	1
240	он обращен	1	1
241	перед лицом	1	1
242	с природой	1	1
243	от своей	2	1
244	с культурой	1	1
245	права и	1	1
246	на западе	1	1
247	с таким	2	1
248	все ли	4	1
249	той же	3	1
250	революция была	1	1
251	он считает	2	1
252	будущее россии	1	1
253	большую роль	1	1
254	ответить на	1	1
255	чтобы не	3	1
256	говорить о	1	1
257	только это	2	1
258	а для	2	1
259	на практике	1	1
260	не сразу	1	1
261	не способен	5	1
262	революции в	2	1
263	оценок и	1	1
264	быть в	1	1
265	не понимали	1	1
266	с его	4	1
267	тем как	1	1
268	к которой	3	1
269	значение и	1	1
270	по отношению	2	1
271	в новом	1	1
272	постановка проблемы	1	1
273	за пределы	1	1
274	от крови	1	1
275	которые не	1	1
276	нужно признать	1	1
277	кому бы	1	1
278	в центре	2	1
279	кровь от	1	1
280	что нет	3	1
281	все остальные	1	1
282	революция есть	2	1
283	смысле этого	1	1
284	к тем	1	1
285	могли бы	1	1
286	выйти к	1	1
287	народе в	1	1
288	говорит об	1	1
289	его к	1	1
290	к культуре	1	1
291	увидим что	2	1
292	та же	10	1
293	как то	2	1
294	это есть	2	1
295	все так	1	1
296	он в	3	1
297	в нашем	7	1
298	которые в	2	1
299	поскольку в	1	1
300	и тот	2	1
301	бы только	1	1
302	и те	2	1
303	на его	2	1
304	ничтожной и	1	1
305	от которых	1	1
306	русской стихии	1	1
307	на земле	8	1
308	своей духовной	3	1
309	этом мире	1	1
310	на этом	2	1
311	наконец его	1	1
312	находит себе	1	1
313	это один	1	1
314	но все	1	1
315	значительной степени	1	1
316	в нем	22	1
317	они должны	1	1
318	в глубине	3	1
319	лишь в	2	1
320	входит в	1	1
321	мире как	2	1
322	в жизни	4	1
323	она и	1	1
324	потому и	1	1
325	народа и	4	1
326	перед собой	1	1
327	стороне от	1	1
328	в такой	3	1
329	признать что	1	1
330	значение для	1	1
331	об их	1	1
332	среды и	1	1
333	много раз	2	1
334	для этого	4	1
335	тому что	4	1
336	народом в	1	1
337	все эти	1	1
338	но они	1	1
339	культуры были	1	1
340	и хозяйства	1	1
341	для каждого	1	1
342	принадлежат к	3	1
343	правда в	2	1
344	в революционном	1	1
345	она никогда	3	1
346	революции и	6	1
347	душе и	1	1
348	та или	1	1
349	для всего	1	1
350	земли в	1	1
351	всякой иной	1	1
352	в разных	2	1
353	и культурной	1	1
354	только и	4	1
355	склонен думать	1	1
356	от плоти	1	1
357	в самой	1	1
358	плоть от	1	1
359	или иная	1	1
360	в русском	4	1
361	к концу	1	1
362	во всем	5	1
363	пределах и	1	1
364	и его	5	1
365	за всех	1	1
366	связи с	2	1
367	в сознании	1	1
368	в основе	2	1
369	у нас	11	1
370	к единому	1	1
371	будущее в	1	1
372	мир в	1	1
373	его для	1	1
374	должны быть	4	1
375	для такого	1	1
376	не знающие	1	1
377	все еще	1	1
378	для себя	1	1
379	приходит к	2	1
380	обращенный к	1	1
381	людей в	2	1
382	это имело	1	1
383	мысль о	2	1
384	то чтобы	1	1
385	х и	1	1
386	революции русской	1	1
387	как с	1	1
388	и сам	1	1
389	с собой	2	1
390	был бы	1	1
391	те же	5	1
392	по природе	1	1
393	об этом	1	1
394	чем все	1	1
395	еще в	2	1
396	когда в	1	1
397	быть может	2	1
398	к другу	5	1
399	с ним	3	1
400	означает что	4	1
401	будет уже	1	1
402	связанная с	1	1
403	жизни которое	1	1
404	при такой	1	1
405	более сурового	1	1
406	на вопрос	1	1
407	в революции	6	1
408	и кровь	1	1
409	может не	1	1
410	любви к	7	1
411	нас в	2	1
412	не выходит	1	1
413	из себя	1	1
414	но нельзя	1	1
415	способность к	2	1
416	всего этого	1	1
417	нем и	1	1
418	старого мира	1	1
419	в явлении	1	1
420	друг к	5	1
421	быть и	2	1
422	но так	1	1
423	один из	5	1
424	же все	1	1
425	борьбы за	1	1
426	тот же	2	1
427	речи о	1	1
428	будь то	1	1
429	мы увидим	2	1
430	ли он	1	1
431	на которые	1	1
432	и ее	1	1
433	к какому	1	1
434	со своим	2	1
435	переходит в	8	1
436	уже не	4	1
437	уже в	2	1
438	на такой	1	1
439	только тогда	1	1
440	что не	2	1
441	и творческого	1	1
442	принадлежит не	1	1
443	не будут	2	1
444	для него	18	1
445	что культура	1	1
446	исторического процесса	1	1
447	у других	1	1
448	и искусства	1	1
449	не о	2	1
450	и продолжает	1	1
451	бытия и	1	1
452	от того	3	1
453	потребности в	1	1
454	в более	2	1
455	в границах	1	1
456	на примере	1	1
457	русской жизни	1	1
458	к которому	3	1
459	пребывает в	1	1
460	русской истории	3	1
461	одних и	1	1
462	перед тем	1	1
463	может жить	1	1
464	не было	11	1
465	европы но	1	1
466	власти и	1	1
467	человеческой жизни	2	1
468	с которым	3	1
469	вопрос можно	1	1
470	не допускает	1	1
471	него не	1	1
472	русской действительности	1	1
473	связь с	1	1
474	нет ничего	3	1
475	в европе	1	1
476	что за	2	1
477	она есть	2	1
478	к европе	2	1
479	и единственно	1	1
480	эту мысль	1	1
481	о европе	1	1
482	она неизбежно	1	1
483	многих других	1	1
484	мыслится как	1	1
485	которые идут	1	1
486	должно быть	2	1
487	этого слова	1	1
488	многие из	1	1
489	это можно	1	1
490	плоти и	1	1
491	в силах	1	1
492	а к	1	1
493	ее и	2	1
494	но когда	2	1
495	сознания что	1	1
496	более всего	1	1
497	но это	8	1
498	в мировом	1	1
499	бы на	1	1
500	отрекается от	3	1
501	с ней	1	1
502	не быть	1	1
503	но этот	2	1
504	с такой	1	1
505	оно не	2	1
506	русском народе	2	1
507	сам в	1	1
508	в свое	1	1
509	есть то	1	1
510	к этой	1	1
511	однако же	1	1
512	это в	1	1
513	все что	4	1
