N	3gram	Bakhtin_sl_2	StatiiOP
1	в том что	4	16
2	о том что	1	11
3	в этом отношении	3	9
4	и т д	2	6
5	том что он	1	5
6	до сих пор	2	5
7	для того чтобы	2	5
8	что он не	1	4
9	тот факт что	2	4
10	иметь в виду	1	3
11	и т п	33	3
12	с другой стороны	1	3
13	во всяком случае	2	3
14	с самого начала	1	3
15	речь идет о	1	3
16	том что в	1	2
17	свое выражение в	1	2
18	с точки зрения	3	2
19	но все это	1	2
20	сами по себе	1	2
21	в отличие от	12	2
22	очень похоже на	1	2
23	в значительной степени	6	2
24	века и в	1	2
25	не до конца	1	2
26	всяком случае не	1	2
27	для него самого	1	2
28	более или менее	2	2
29	так и в	3	2
30	не только не	1	2
31	но все же	4	2
32	на то что	1	2
33	тем не менее	1	2
34	том что она	1	1
35	в этом его	1	1
36	на границе между	2	1
37	точка зрения на	1	1
38	он не только	1	1
39	или в другом	1	1
40	на всем его	1	1
41	и как он	1	1
42	такое отношение к	1	1
43	этом его основное	1	1
44	в той же	1	1
45	в процессе работы	1	1
46	при этом и	1	1
47	говорит о том	1	1
48	что язык не	1	1
49	подчеркнуть что в	1	1
50	он никогда не	1	1
51	в зависимости от	4	1
52	всем его протяжении	1	1
53	на этой почве	1	1
54	в чем же	1	1
55	к сожалению не	1	1
56	xix века это	1	1
57	все это и	1	1
58	в этом жанре	1	1
59	настолько велико что	1	1
60	в связи с	2	1
61	друг к другу	1	1
62	лежащий в основе	1	1
63	поэтому и в	1	1
64	слово должно было	1	1
65	в ту же	1	1
66	по отношению к	4	1
67	что как раз	1	1
68	то же время	4	1
69	смысловые и экспрессивные	1	1
70	в свою очередь	2	1
71	в этом случае	6	1
72	т п в	2	1
73	нужно сказать что	1	1
74	и в особенности	2	1
75	независимо от степени	1	1
76	в то же	4	1
77	в том числе	1	1
78	таким образом в	1	1
79	в отношении к	4	1
80	но именно в	1	1
81	как мы видели	1	1
