N	2gram	Trubetskoy_1	Istorich
1	и в	14	25
2	вместе с	4	22
3	что он	6	22
4	и т	3	20
5	может быть	9	17
6	представление о	1	17
7	не только	9	13
8	но и	10	13
9	в его	4	12
10	так как	4	11
11	уже не	2	11
12	и не	19	11
13	в этом	17	10
14	тем что	3	10
15	все же	4	10
16	у народов	2	9
17	его в	4	9
18	в виде	3	9
19	с другой	1	9
20	таким образом	11	9
21	еще не	3	8
22	и на	5	8
23	все эти	2	8
24	что в	4	8
25	на него	1	8
26	связи с	3	8
27	и что	2	8
28	мы знаем	1	8
29	с тем	6	8
30	связь с	1	8
31	этих случаях	1	8
32	том что	9	8
33	в нем	5	7
34	как и	4	7
35	во время	2	7
36	потому что	5	7
37	о том	7	7
38	то что	13	7
39	только в	5	7
40	в качестве	3	7
41	превращается в	1	7
42	этом случае	3	7
43	но это	2	7
44	тот кто	1	7
45	в частности	2	7
46	знаем что	3	6
47	это не	1	6
48	не может	22	6
49	в этих	2	6
50	не в	4	6
51	что и	3	6
52	себя в	4	6
53	прежде всего	8	6
54	могут быть	1	6
55	или в	3	6
56	в том	17	6
57	и действительно	1	5
58	ясно что	2	5
59	мы не	1	5
60	в ней	2	5
61	но не	4	5
62	с этим	2	5
63	что это	3	5
64	но все	1	5
65	здесь мы	1	5
66	входит в	1	5
67	как мы	1	5
68	связано с	1	5
69	так же	2	5
70	для нас	2	5
71	же как	1	4
72	и это	1	4
73	то же	11	4
74	мы уже	2	4
75	в ее	1	4
76	от этого	1	4
77	в истории	1	4
78	в которой	1	4
79	он не	5	4
80	что все	3	4
81	на этой	2	4
82	с другими	1	4
83	и тем	2	4
84	не всегда	1	4
85	тем не	1	4
86	не менее	1	4
87	в некоторых	2	4
88	совершенно ясно	1	4
89	в индии	1	4
90	что у	1	4
91	с ним	2	4
92	за ним	1	4
93	если не	2	4
94	все это	6	4
95	в связи	1	4
96	мы должны	7	4
97	в которых	1	3
98	на себя	2	3
99	то это	3	3
100	это же	1	3
101	что его	1	3
102	если в	6	3
103	по которому	1	3
104	и как	3	3
105	в этой	4	3
106	только один	1	3
107	в жертву	1	3
108	их в	2	3
109	человека в	1	3
110	в таких	2	3
111	в то	10	3
112	друг друга	3	3
113	для того	6	3
114	что при	1	3
115	того чтобы	8	3
116	в себя	1	3
117	на том	3	3
118	никогда не	5	3
119	и с	7	3
120	но мы	3	3
121	к нему	2	3
122	представления о	1	3
123	дает ему	1	3
124	и все	1	3
125	в европе	1	3
126	всех людей	2	3
127	в данном	7	3
128	не знаем	1	3
129	до неба	1	3
130	ее и	1	3
131	но когда	1	3
132	в свете	1	3
133	а в	5	3
134	в свою	1	3
135	они не	1	3
136	ту же	1	2
137	того же	1	2
138	эта опасность	1	2
139	самом деле	7	2
140	он может	1	2
141	тех же	1	2
142	на тех	1	2
143	вопрос о	5	2
144	на них	1	2
145	время в	2	2
146	в различных	1	2
147	во всех	5	2
148	только тогда	1	2
149	по отношению	2	2
150	очевидно что	1	2
151	перед нами	1	2
152	когда он	1	2
153	он на	1	2
154	на то	5	2
155	том чтобы	3	2
156	друг с	14	2
157	и по	3	2
158	так например	1	2
159	и других	1	2
160	и мы	1	2
161	из нее	1	2
162	о которых	3	2
163	которой он	4	2
164	несмотря на	3	2
165	такой же	1	2
166	переносится в	1	2
167	точки зрения	11	2
168	в своей	5	2
169	таким же	3	2
170	ее в	2	2
171	прийти к	1	2
172	оказывается что	1	2
173	силу и	1	2
174	по себе	2	2
175	даже в	1	2
176	а на	1	2
177	она не	2	2
178	тогда когда	4	2
179	когда они	4	2
180	одна из	3	2
181	с другом	14	2
182	должен быть	1	2
183	над нами	1	2
184	данном случае	3	2
185	роль в	1	2
186	об этом	1	2
187	если бы	6	2
188	язык и	1	2
189	образом в	1	2
190	можно сказать	1	2
191	должно было	1	2
192	от них	1	2
193	того что	3	2
194	на которой	2	2
195	а некоторые	1	2
196	во всем	4	2
197	то в	3	2
198	именно на	2	2
199	так что	2	2
200	нами и	1	2
201	чтобы он	1	2
202	на ней	1	2
203	из них	3	2
204	его и	2	2
205	вовсе не	1	2
206	они сами	1	2
207	мы можем	2	2
208	у него	2	2
209	и вместе	2	2
210	в других	2	2
211	из двух	1	2
212	связан с	1	2
213	и стал	1	2
214	со стороны	4	2
215	до сих	5	2
216	центр тяжести	2	2
217	а не	2	2
218	с которым	1	2
219	один из	1	2
220	со своими	1	2
221	в одно	1	2
222	чтобы она	2	2
223	что во	1	2
224	и потому	3	2
225	хозяйственной жизни	1	2
226	из которых	5	2
227	а если	1	2
228	в течение	2	2
229	как бы	4	2
230	понял что	1	2
231	по существу	5	2
232	они видят	1	2
233	с этой	1	2
234	сих пор	5	2
235	и таким	1	2
236	но для	2	2
237	с большой	1	2
238	и для	6	2
