N	3gram	Savitsky_E_1	RusskieA
1	в том что	6	18
2	в данном случае	2	6
3	для того чтобы	5	6
4	и т д	1	5
5	так же как	5	4
6	мы видели что	1	4
7	в отличие от	1	3
8	не может быть	2	3
9	только тогда когда	1	3
10	во многих случаях	1	2
11	же как и	3	2
12	мы не можем	1	2
13	в то время	1	2
14	с одной стороны	8	2
15	приводит нас к	2	2
16	а именно в	1	2
17	не может не	1	1
18	нужно заметить что	2	1
19	еще далеко не	1	1
20	чем в других	1	1
21	но так как	1	1
22	более или менее	1	1
23	в тех случаях	1	1
24	как и другие	1	1
25	т е не	1	1
26	своей идеологии и	1	1
27	в том же	1	1
28	и во многих	1	1
29	и то и	1	1
30	имело место при	1	1
31	во многих других	1	1
32	но и в	1	1
33	в этом отношении	3	1
34	случае она не	1	1
35	то что в	2	1
36	из того что	2	1
37	можно было бы	3	1
38	может быть и	1	1
39	в применении к	3	1
40	во всяком случае	3	1
41	к нему однако	1	1
42	смысле этого слова	1	1
43	в некоторых случаях	1	1
44	принадлежат к числу	1	1
45	и в этом	4	1
46	во всех этих	1	1
47	то время как	1	1
48	в западной европе	1	1
49	дело в том	1	1
50	например то что	1	1
51	с другой стороны	2	1
52	именно тогда когда	1	1
53	и затем в	1	1
54	в свою очередь	2	1
55	время не имеет	1	1
56	не можем входить	1	1
57	можно сказать что	3	1
58	на то что	2	1
59	совершенно очевидно что	1	1
60	тех случаях когда	1	1
61	что в этот	1	1
62	в исторической перспективе	1	1
63	во многих отношениях	1	1
64	но не только	2	1
65	как это имело	1	1
66	но и эта	1	1
67	всех этих случаях	1	1
68	данном случае она	1	1
69	это имело место	1	1
70	и в другие	1	1
71	как мы видели	2	1
