N	3gram	Kanaev_Sov_1	Hudozhes
1	в том что	1	11
2	по отношению к	1	7
3	то же время	1	4
4	в то же	1	4
5	в самом деле	1	3
6	не может быть	4	3
7	в конечном счете	1	3
8	с одной стороны	1	3
9	тем не менее	2	3
10	и в этом	1	2
11	с точки зрения	5	2
12	до сих пор	1	2
13	и в то	1	2
14	можно было бы	1	2
15	но тем не	1	2
16	так же как	1	2
17	в данном случае	1	2
18	же самое что	1	2
19	то же самое	2	2
20	что все они	1	2
21	на другой день	1	2
22	той или иной	1	1
23	дело в том	1	1
24	в настоящее время	2	1
25	и все же	1	1
26	тот или иной	1	1
27	в том случае	1	1
28	бы то ни	1	1
29	было бы так	1	1
30	ни одна не	1	1
31	мы знаем что	1	1
32	если бы эти	1	1
33	и не было	1	1
34	это не более	1	1
35	все более и	1	1
36	он уже не	1	1
37	в этом случае	1	1
38	с самого начала	3	1
39	более и более	1	1
40	но все же	1	1
41	но ведь это	1	1
42	из этих двух	1	1
