N	3gram	Tiupa_Narr_1	Mirosoze
1	не может быть	4	17
2	а не в	1	4
3	но и в	2	4
4	потому что в	1	3
5	заключает в себе	2	3
6	и в самом	1	3
7	по отношению к	3	2
8	уже не только	1	2
9	он не может	1	2
10	до сих пор	2	2
11	и не может	1	2
12	не только в	6	2
13	он уже не	1	2
14	в нем не	1	2
15	для того чтобы	3	2
16	но и от	2	1
17	бросается в глаза	1	1
18	что иное как	1	1
19	никогда не было	1	1
20	в самом деле	2	1
21	так и не	2	1
22	как и все	1	1
23	было для него	1	1
24	том случае если	1	1
25	в зависимости от	2	1
26	в отличие от	2	1
27	у него нет	1	1
28	в том случае	1	1
29	может быть и	1	1
30	и вот я	1	1
31	слова а не	1	1
32	в значительной степени	1	1
33	во всяком случае	2	1
34	лишь в том	1	1
35	одна и та	1	1
36	на людей и	1	1
37	останется для нас	1	1
38	не мог бы	1	1
39	на протяжении всего	1	1
40	о том что	2	1
41	и та же	1	1
42	событие в жизни	1	1
43	в том что	5	1
44	но и с	1	1
45	не только от	2	1
46	стало быть не	1	1
