N	2gram	Vinokur_Ku_3	VeschiIm
1	не есть	3	49
2	т е	32	42
3	не может	6	33
4	не только	17	31
5	может быть	14	29
6	и не	10	28
7	и в	23	26
8	то что	4	24
9	и есть	5	23
10	и т	54	21
11	т д	8	20
12	а не	11	20
13	не просто	2	18
14	что я	1	16
15	в смысле	1	15
16	что она	5	14
17	только в	6	14
18	по себе	6	13
19	и что	7	13
20	того что	11	13
21	и то	1	12
22	есть не	3	12
23	все же	5	12
24	что это	3	12
25	было бы	16	12
26	и ее	1	12
27	но и	3	12
28	сказать что	7	12
29	таким образом	9	11
30	общения с	1	11
31	что же	5	11
32	то же	6	10
33	в ней	3	10
34	не значит	5	10
35	как бы	5	10
36	что такое	4	10
37	потому что	12	10
38	уже не	8	10
39	что мы	2	10
40	бы то	1	9
41	в самом	13	9
42	то ни	1	9
43	и с	3	9
44	в том	22	9
45	что не	4	9
46	еще и	2	9
47	прежде всего	9	9
48	в себе	1	8
49	смысл и	2	8
50	ничего не	6	8
51	она есть	2	8
52	но это	5	8
53	также и	5	7
54	говорить о	6	7
55	в этом	16	7
56	не будет	1	7
57	его в	2	7
58	с другими	2	7
59	том что	11	7
60	в то	3	7
61	в свете	2	7
62	д и	1	7
63	и их	1	7
64	так как	9	7
65	как раз	4	7
66	и пр	3	7
67	смысла и	1	7
68	е в	2	7
69	совершенно не	5	7
70	есть и	1	7
71	со стороны	1	6
72	что они	2	6
73	и как	2	6
74	но в	2	6
75	бы и	3	6
76	это есть	1	6
77	точки зрения	23	6
78	но если	3	6
79	по крайней	1	6
80	она не	3	6
81	отличается от	2	6
82	можно было	11	6
83	ясно что	4	6
84	должно быть	7	6
85	и только	3	6
86	крайней мере	1	6
87	а если	1	6
88	если мы	7	6
89	для него	1	6
90	но что	1	6
91	относится к	2	6
92	то не	2	6
93	когда мы	3	6
94	в результате	3	6
95	что в	13	6
96	того же	4	5
97	это и	3	5
98	в сущности	4	5
99	на себя	2	5
100	в чем	5	5
101	но не	3	5
102	отнюдь не	3	5
103	чем же	2	5
104	как к	2	5
105	должна быть	3	5
106	же это	2	5
107	это не	3	5
108	с тем	6	5
109	не в	5	5
110	тем не	9	5
111	в отношении	3	5
112	не менее	12	5
113	у нас	10	5
114	свою очередь	1	5
115	в ее	4	5
116	должны быть	1	5
117	если бы	8	5
118	для этого	6	5
119	еще не	9	5
120	что для	1	5
121	ни на	2	5
122	с этой	3	5
123	и для	1	5
124	а в	5	5
125	в свою	1	5
126	но тогда	1	4
127	собственном смысле	2	4
128	мы не	3	4
129	так чтобы	1	4
130	я не	5	4
131	как я	2	4
132	то это	3	4
133	в их	6	4
134	точка зрения	4	4
135	нет и	1	4
136	независимо от	5	4
137	с этим	1	4
138	самый смысл	3	4
139	в своем	4	4
140	есть вещь	2	4
141	ведь не	1	4
142	и мы	1	4
143	как и	5	4
144	что значит	4	4
145	с точки	16	4
146	имеет смысл	3	4
147	и более	3	4
148	что есть	2	4
149	на себе	1	4
150	же время	1	4
151	и о	4	4
152	то или	2	4
153	только то	3	4
154	о том	6	4
155	с другой	7	4
156	что и	6	4
157	быть и	1	4
158	этот вопрос	3	4
159	то и	2	4
160	так то	2	4
161	тем что	5	4
162	со всем	1	4
163	как же	3	4
164	знания и	1	4
165	когда я	1	4
166	и потому	1	4
167	мы говорим	4	4
168	в данном	7	4
169	быть не	2	4
170	говорить что	3	4
171	собственно говоря	1	4
172	от того	5	4
173	между ними	1	4
174	сам по	3	3
175	самом деле	14	3
176	в чисто	1	3
177	к другому	2	3
178	отношения к	1	3
179	мы имеем	2	3
180	бы что	1	3
181	вопрос о	11	3
182	из того	2	3
183	собою и	1	3
184	не то	2	3
185	более или	2	3
186	самого смысла	1	3
187	вопроса о	3	3
188	как оно	1	3
189	на этом	2	3
190	между смыслом	1	3
191	несмотря на	1	3
192	значит не	3	3
193	или менее	2	3
194	можно только	1	3
195	в своей	4	3
196	не понимает	3	3
197	все это	2	3
198	есть еще	1	3
199	чтобы она	1	3
200	между прочим	8	3
201	как можно	1	3
202	как о	3	3
203	тогда когда	4	3
204	ее с	1	3
205	в основе	1	3
206	само по	1	3
207	того чтобы	11	3
208	ни о	1	3
209	к тому	3	3
210	на это	1	3
211	можно и	1	3
212	без всякого	1	3
213	в собственном	1	3
214	нет никакой	1	3
215	так и	6	3
216	можно сказать	2	3
217	если это	2	3
218	один из	4	3
219	конечно можно	2	3
220	мы видим	1	3
221	тот же	6	3
222	что он	6	3
223	но как	3	3
224	сама по	2	3
225	мы находим	3	3
226	в одном	2	3
227	отношение к	3	3
228	мы возьмем	1	3
229	никогда не	1	3
230	не буду	1	3
231	а с	3	3
232	вместе с	2	3
233	что именно	3	3
234	в той	4	3
235	тому как	2	3
236	она должна	1	3
237	она может	2	3
238	тем более	5	3
239	хотя бы	9	3
240	я в	3	3
241	имени как	1	3
242	можно говорить	10	2
243	в сфере	1	2
244	как это	7	2
245	и значит	2	2
246	тем же	2	2
247	в первом	5	2
248	ту же	1	2
249	поэтому и	1	2
250	той же	3	2
251	как мы	5	2
252	иметь никакого	1	2
253	оба эти	1	2
254	но она	1	2
255	и самой	1	2
256	конечно и	1	2
257	не нужно	1	2
258	как смысл	1	2
259	мысли и	2	2
260	мы будем	1	2
261	а только	1	2
262	не все	2	2
263	тогда как	1	2
