N	3gram	Losev_Vesc_1	SlovoVZh
1	не может быть	6	7
2	можно сказать что	3	5
3	дело в том	2	4
4	в том что	4	4
5	тем не менее	3	3
6	бы то ни	4	3
7	этой точки зрения	1	3
8	до сих пор	1	3
9	и не в	1	3
10	то ни было	4	3
11	и то же	4	2
12	с другой стороны	2	2
13	то же самое	1	2
14	одной стороны и	1	2
15	с точки зрения	3	2
16	в зависимости от	1	2
17	с этой стороны	1	2
18	одно и то	4	2
19	в данном случае	2	2
20	с одной стороны	3	2
21	тех или иных	1	1
22	для него не	1	1
23	и тому же	1	1
24	они должны быть	1	1
25	с большим трудом	1	1
26	так как будто	1	1
27	или хотя бы	1	1
28	слова и не	1	1
29	все же не	1	1
30	мы имеем дело	2	1
31	то время как	1	1
32	более или менее	1	1
33	во всяком случае	2	1
34	мы уже сказали	1	1
35	в самом деле	4	1
36	то что оно	2	1
37	еще не вполне	1	1
38	самом же деле	1	1
39	самом деле в	1	1
40	в то время	1	1
41	хотя бы только	1	1
42	другой стороны как	1	1
43	а не к	1	1
44	что мы имеем	1	1
45	равно как и	2	1
46	сам по себе	3	1
47	сами по себе	3	1
48	ни в коем	1	1
49	то что мы	2	1
50	и что она	1	1
51	в свою очередь	4	1
52	вещи и не	2	1
53	во всех языках	1	1
54	что мы воспринимаем	1	1
55	на самом же	1	1
56	о том что	4	1
57	только то что	2	1
58	в этом отношении	1	1
59	что не только	1	1
60	то что я	2	1
61	можно было бы	1	1
62	внутренней и внешней	1	1
63	теперь остается только	1	1
64	подобно тому как	4	1
65	и здесь мы	1	1
66	уже не есть	1	1
67	в основе своей	2	1
68	может быть только	3	1
69	по крайней мере	4	1
70	в то же	1	1
71	в коем случае	1	1
72	стороны и с	1	1
73	извне как к	1	1
74	допустим что мы	1	1
75	не есть только	2	1
76	и в частности	1	1
77	сама по себе	3	1
78	в вещи и	2	1
79	этих моментов в	1	1
80	на одно и	1	1
81	так же как	1	1
82	она не может	2	1
83	сих пор мы	1	1
84	одному и тому	1	1
85	и с другой	2	1
