1	не может быть	4	7
2	можно сказать что	1	5
3	до сих пор	5	3
4	и не может	1	3
5	бы мы ни	1	3
6	тем не менее	2	3
7	может быть и	1	3
8	сколько бы мы	1	3
9	то же самое	2	2
10	в данном случае	3	2
11	с этой стороны	2	2
12	с другой стороны	4	2
13	в зависимости от	1	2
14	одно и то	1	2
15	и то же	1	2
16	но и в	1	1
17	таким образом к	1	1
18	берет на себя	1	1
19	другой ничего не	1	1
20	можно найти в	1	1
21	но уже в	1	1
22	от того кто	1	1
23	когда он не	1	1
24	свою связь с	1	1
25	но то же	1	1
26	жизни и на	1	1
27	на передний план	1	1
28	таким образом мы	1	1
29	мы увидим что	2	1
30	так же как	12	1
31	в основе своей	1	1
32	совершенно ясно что	1	1
33	в то время	1	1
34	но все же	4	1
35	является то что	1	1
36	только одна сторона	1	1
37	же как и	4	1
38	подобно тому как	1	1
39	о том что	2	1
40	это только одна	1	1
41	как и в	1	1
42	может быть только	1	1
43	то время как	1	1
44	в виду не	1	1
45	ничего общего с	1	1
46	мы имеем в	2	1
