N	3gram	Berdyaev_M_1	Psycholo
1	в том что	1	17
2	для того чтобы	2	13
3	в самом деле	1	11
4	и т п	1	8
5	не может быть	17	8
6	до сих пор	2	5
7	что в основе	1	4
8	том случае если	1	4
9	можно было бы	1	4
10	в том случае	1	4
11	о том что	1	4
12	и в самом	3	4
13	с тем что	3	3
14	в конце концов	2	3
15	в то время	2	3
16	никогда не может	2	3
17	в отношении к	1	3
18	что и в	1	3
19	было бы и	1	2
20	он не может	2	2
21	и не может	2	2
22	что он не	2	2
23	то время как	2	2
24	не в том	1	2
25	по сравнению с	1	2
26	все более и	1	2
27	во всяком случае	1	2
28	и в том	1	2
29	и никогда не	1	2
30	это значит что	3	2
31	возможны только в	1	2
32	заключает в себе	3	2
33	более и более	1	2
34	что иное как	1	1
35	потому что в	3	1
36	в русской поэзии	1	1
37	имеем в виду	1	1
38	искусство никогда не	1	1
39	он не только	2	1
40	но не имеет	1	1
41	а не к	1	1
42	и идет к	1	1
43	в зависимости от	1	1
44	в отличие от	1	1
45	но и в	4	1
46	и та же	1	1
47	по своему значению	2	1
48	не было бы	5	1
49	но он не	2	1
50	что в то	1	1
51	нему и много	1	1
52	и различие между	1	1
53	вместе с тем	5	1
54	он никогда не	2	1
55	жизни и в	1	1
56	потому что он	1	1
57	от того что	1	1
58	а не только	2	1
59	ни к какому	1	1
60	он рассказывает о	1	1
61	как будто бы	2	1
62	не могут быть	2	1
63	и ничего не	1	1
64	в смысле психологического	1	1
65	одна и та	1	1
66	тем что в	1	1
67	есть вместе с	1	1
68	бросается в глаза	1	1
69	том смысле что	1	1
70	нет ничего кроме	1	1
71	всего того что	1	1
72	мы имеем в	1	1
73	на этом основании	1	1
74	и характер его	1	1
75	с того что	1	1
76	к нему и	1	1
77	ли может быть	2	1
78	нужно сказать что	1	1
79	оно не может	1	1
80	выходит за пределы	1	1
81	не может найти	1	1
82	в том смысле	2	1
83	не значит что	1	1
84	не что иное	1	1
85	быть отнесена к	1	1
86	в высшей степени	2	1
87	один из самых	4	1
88	мы увидим что	3	1
89	не так как	1	1
